CANNOT PLAY\n|KANN NICHT SPIELEN\n
oa_cutoff_dist|oa_cutoff_dist
Keybind for Player 4.|Tastenkombination für Spieler 4.
pearlcat_9|Pearlcat_9
Let us see what- oh, again?|Mal sehen, was – oh, schon wieder?
To cycle between pearls, use (|Um zwischen Perlen zu wechseln, verwenden Sie (
Difficulty|Schwierigkeit
Efi|Efi
You. Again. I still remember what you did...|Du. Nochmal. Ich erinnere mich noch daran, was du getan hast...
Commons|Commons
SS_AI|SS_AI
Given your unique abilities, if you are curious as to the contents of those pearls -|Wenn Sie angesichts Ihrer einzigartigen Fähigkeiten neugierig auf den Inhalt dieser Perlen sind –
Hello, again. You are very curious. Very curious indeed.|Hallo wieder. Du bist sehr neugierig. Wirklich sehr neugierig.
pearlactive|perlaktiv
Button West|Knopf West
Oh, hello <PlayerName>!|Oh, hallo <Spielername>!
Press (JUMP + GRAB) while in the air to perform a double jump|Drücken Sie (JUMP + GRAB), während Sie in der Luft sind, um einen Doppelsprung durchzuführen
oa_cutoff_max_speed|oa_cutoff_max_speed
active_object_offset|aktiver_Objekt_Offset
sweat|Schweiß
- Artwork|- Kunstwerk
Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|Zeit in Frames, die der Laser einer roten Perle benötigt, um nach dem Erfassen eines Ziels abzufeuern. Standardmäßig 1,5 Sekunden.
ear_l|Graf
Number of revive pearls (green). Effective only when Inventory Override? is checked.|Anzahl der Wiederbelebungsperlen (grün). Nur wirksam, wenn Bestandsüberschreibung? wird geprüft.
.txt|.txt
When checked, disables the spear creation effect granted by an active pearl.|Wenn diese Option aktiviert ist, wird der durch eine aktive Perle gewährte Speererstellungseffekt deaktiviert.
And who is your little friend? They are quite adorable!|Und wer ist dein kleiner Freund? Sie sind ganz bezaubernd!
PlayerArm|PlayerArm
The choice is yours.|Es ist deine Entscheidung.
When checked, some abilties will show the inventory when recharged or depleted.|Wenn diese Option aktiviert ist, wird bei einigen Fähigkeiten das Inventar angezeigt, wenn es aufgeladen oder erschöpft ist.
pearlcat_spire3|pearlcat_spire3
Revive Pearl Count|Belebe Pearl Count wieder
oa_min_fric_speed|oa_min_fric_speed
Another? And I shall read this one to you as well...|Andere? Und das werde ich Ihnen auch vorlesen...
And a third? So it is...|Und ein dritter? So ist es...
T1_CAR1|T1_CAR1
Keyboard|Klaviatur
Number of camo pearls (black). Effective only when Inventory Override? is checked.|Anzahl der Tarnperlen (schwarz). Nur wirksam, wenn Bestandsüberschreibung? wird geprüft.
300|300
I have tried to reconstruct it from memory many times, fruitlessly.|Ich habe viele Male erfolglos versucht, es aus dem Gedächtnis zu rekonstruieren.
OnModsInit:\n|OnModsInit:\n
TitleCard_Pearlcat|TitleCard_Pearlcat
2: |2:
The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|Die Kraft, die Sie besitzen, ist faszinierend. So etwas habe ich noch nie von Ihrer Art gesehen.
Disable Tutorials?|Tutorials deaktivieren?
.NET Framework 4.8|.NET Framework 4.8
Failed to parse color {objectType} : {ex.Message}|Farbe {objectType} konnte nicht analysiert werden: {ex.Message}
GateHologram|GateHologramm
Cheats|Betrüger
Disable Rage Effect?|Wuteffekt deaktivieren?
Shield Pearl Count|Anzahl der Schildperlen
Intro_Roll_C_|Intro_Roll_C_
Your biology... it is both familiar and foreign to me. How curious.|Ihre Biologie... sie ist mir sowohl vertraut als auch fremd. Wie neugierig.
A curious scholar with the unusual ability to harness pearls to their advantage.<LINE><LINE>Configure inputs, difficulty, cheats and more via the Remix config!<LINE><LINE>More Slugcats is optional, but strongly recommended.|Ein neugieriger Gelehrter mit der ungewöhnlichen Fähigkeit, Perlen zu seinem Vorteil zu nutzen.<LINE><LINE>Konfigurieren Sie Eingaben, Schwierigkeitsgrad, Cheats und mehr über die Remix-Konfiguration!<LINE><LINE>Mehr Slugcats ist optional, wird aber dringend empfohlen.
tail_segment_velocities|tail_segment_velocities
pearlcat_2|Pearlcat_2
PostModsInit:\n|PostModsInit:\n
SL|SL
This one again? I have better things to do... but...|Das schon wieder? Ich habe Besseres zu tun... aber...
Something new to read... it has been too long...|Etwas Neues zum Lesen... es ist zu lange her...
moreslugcats|noch mehr Schnecken
haloGlyph6|haloGlyph6
pearlcat_4|Pearlcat_4
Oh, and for direction - there is a gate to the far west of here, where the ground fissues...|Oh, und als Orientierungshilfe gibt es ein Tor weit westlich von hier, wo der Boden spaltet ...
), or the triggers on controller|) oder die Trigger auf dem Controller
Spear Pearl Count|Speerperlenanzahl
BigGlyph11|BigGlyph11
sleeve|Ärmel
Custom Spear Keybind?|Benutzerdefinierte Speer-Tastenkombination?
Midground|Mittelgrund
TheSacrifice|Das Opfer
Get... get away... strange... thing.|Verschwinde... verschwinde... seltsame... Sache.
DschockHorizontalRight|DschockHorizontalRechts
You must be very brave to have made it all the way here. Very brave indeed...|Sie müssen sehr mutig sein, es bis hierher geschafft zu haben. Wirklich sehr mutig...
T1_CAR3|T1_CAR3
Feet|Füße
The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|Die Weite dahinter wäre ein sicherer Ort für Sie, um Ihre Familie großzuziehen – und sich von meinem Geschäft fernzuhalten.
Background|Hintergrund
There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|Ich kann nichts tun, um dich aufzuhalten, also hier meine Bitte:<LINE>Lass mich in Ruhe oder beende es schnell.
mergedmods|zusammengeführte Mods
LC_T1_S01|LC_T1_S01
Water|Wasser
- Floppy Ears, Scarf|- Schlappohren, Schal
Hello again, <PlayerName>!|Hallo nochmal, <Spielername>!
Back again? You do visit often...|Wieder zurück? Du kommst oft vorbei...
pearlcat_structure2|pearlcat_structure2
TEXT ERROR|TEXTFEHLER
.png|.png
pearlcat_5|Pearlcat_5
MergeFix Error:\n|MergeFix-Fehler:\n
head|Kopf
com.rainworldgame.garrakx.crs.mod|com.rainworldgame.garrakx.crs.mod
And why... to me?|Und warum... für mich?
I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|Da Sie die darauf gespeicherten Informationen nicht lesen können, nehme ich an, dass ich sie auf Wunsch für Sie lesen kann.
---------------------------------------------------------------|-------------------------------------------------- -------------
Pearlcat|Perlenkatze
pearlcat_structure5|pearlcat_structure5
pearlcat_hudshadow|pearlcat_hudshadow
LW_Coast|LW_Küste
The Pearlcat|Die Perlenkatze
\nPoleClimb |\nPoleClimb
Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|Mit ihrer unstillbaren Neugier wagt sich Pearlcat erneut daran, ihre Sammlung zu erweitern
Joystick[0-9]Button|Joystick[0-9]Taste
Keybind to swap to the stored pearl to the left. Limited to Player 1.|Mit einer Tastenkombination können Sie zur gespeicherten Perle auf der linken Seite wechseln. Beschränkt auf Spieler 1.
Pebbles_AS_PearlGreen|Pebbles_AS_PearlGreen
You're welcome to stay a while... your ability is fascinating.|Sie können gerne eine Weile bleiben... Ihr Können ist faszinierend.
I have nothing for you, I'm afraid... but I hope you find the answers you seek.|Ich fürchte, ich habe nichts für Sie ... aber ich hoffe, Sie finden die Antworten, die Sie suchen.
Rage Pearl Count|Rage Pearl Count
What do you want? To take away more of my life...?|Was willst du? Um mehr von meinem Leben wegzunehmen ...?
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Wenn diese Option aktiviert ist, werden die Startperlen mit der folgenden Option überschrieben. Im Gegensatz zur Inventarüberschreibung nur zu Beginn eines neuen Spiels wirksam?
BigGlyph6|BigGlyph6
WillowWisp|WillowWisp
Swap Input|Eingabe vertauschen
Input a shelter name to have it override where Pearlcat starts a new game.|Geben Sie einen Tierheimnamen ein, damit dieser überschreibt, wo Pearlcat ein neues Spiel startet.
pearlcat_daysky|pearlcat_daysky
 SAVE|SPEICHERN
oa_cutoff_min_speed|oa_cutoff_min_speed
Oh, hello! Hello!|Oh Hallo! Hallo!
You. I didn't forget...|Du. Ich habe es nicht vergessen...
Cloud|Wolke
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Ein Gelehrter unbekannter Herkunft, bewaffnet mit einer rätselhaften Energie und einem Wissensdurst.<LINE>Körperlich gebrechlich, aber mit Perlen als Verbündeten – was werden Sie auf Ihren Reisen entdecken?
soundeffects/ambient|Soundeffekte/Umgebung
pearlcat|Perlkatze
pearlcat_glyphcooldown|pearlcat_glyphcooldown
Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|Der Laser jeder roten Perle verursacht pro Schuss Schaden. Speerschaden des Überlebenden = 1,0
T1_S01|T1_S01
Laser Damage|Laserschaden
slime-cubed.slugbase|schleimwürfelförmig.Slugbase
Version|Ausführung
pearlcat_structure3|pearlcat_structure3
pearlcat_flyingclouds|pearlcat_flyingclouds
... |...
Enables custom keybinds below, as opposed to the default (UP + PICKUP).|Aktiviert unten benutzerdefinierte Tastenkombinationen im Gegensatz zur Standardeinstellung (AUF + PICKUP).
scarf|Schal
Waiver|Verzicht
Accent|Akzent
1: |1:
pupear_r|pupear_r
oa_min_speed|oa_min_speed
Welcome back, I suppose.|Willkommen zurück, nehme ich an.
-----------------------------------------|-----------------------------------------
strange|seltsam
SS_S04|SS_S04
pearlcat_spear|pearlcat_spear
Visibility Multiplier|Sichtbarkeitsmultiplikator
Music|Musik
JaggedSquare|JaggedSquare
-------------------|-------------------
Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|Anzahl der Schildperlen (gelb). Nur wirksam, wenn Bestandsüberschreibung? wird geprüft.
Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|Anzahl der Speer-Erschaffungsperlen (weiß). Nur wirksam, wenn Bestandsüberschreibung? wird geprüft.
Looping SFX Error, Outsider often likes to cause this:\n|Looping-SFX-Fehler, Outsider verursacht oft Folgendes:\n
pixel|Pixel
Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|Zeit in Bildern, die der Laser einer roten Perle nach dem Abfeuern benötigt, um sich wieder aufzuladen. Standardmäßig 1,5 Sekunden.
Storage limit reached (|Speicherlimit erreicht (
Player 2|Spieler 2
Clearly artificial creations. But from where? Sent by who?|Offensichtlich künstliche Kreationen. Aber woher? Von wem gesendet?
I do not know what to make of this.|Ich weiß nicht, was ich davon halten soll.
3.0|3,0
So curious... I wonder what it is you're searching for?|So neugierig ... Ich frage mich, wonach Sie suchen?
Prefer to use the custom keybinds below for agility double jump.|Verwenden Sie für den Agilitäts-Doppelsprung lieber die unten aufgeführten benutzerdefinierten Tastenkombinationen.
NA_19 - Halcyon Memories|NA_19 – Halcyon-Erinnerungen
bro.mergefix|bro.mergefix
All times here are in frames.\n40 frames = 1 second.|Alle Zeiten sind hier in Frames angegeben.\n40 Frames = 1 Sekunde.
T1_END|T1_END
I do enjoy the company of you and your friend though, <PlayerName>.|Ich genieße jedoch die Gesellschaft von dir und deinem Freund, <Spielername>.
Sleeve|Ärmel
Pebbles_SS_Pearlcat|Pebbles_SS_Pearlcat
legs|Beine
When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|Wenn diese Option aktiviert ist, gewähren Perlen keine aktiven oder sonstigen Statusänderungen mehr und die Basisstatistiken ähneln denen von Jäger.
SB|SB
APPLIED MERGEFIX|MERGEFIX ANGEWENDET
You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|Du hast mir einen ziemlichen Schrecken eingejagt! Ich bekomme heutzutage nicht mehr so ​​oft Besuch; <LINE>geschweige denn Besucher wie Sie, mit denen ich reden kann ...
YOU!|DU!
BigGlyph2|BigGlyph2
pearlcat_hudcircle|pearlcat_hudcircle
CloudDistant|CloudDistant
_textures|_texturen
HUD|HUD
arm|Arm
Please... this all I have left... you have so much... ...why take mine?|Bitte... das ist alles, was mir noch bleibt... Du hast so viel... ...warum meins nehmen?
...that pearl you carry, the purple one, where did you find it?|...die Perle, die du trägst, die violette, wo hast du sie gefunden?
_sprites|_Sprites
\nDoes not save over the current inventory - it is returned to when unchecked.|\Speichert nicht über dem aktuellen Inventar – es wird dorthin zurückgekehrt, wenn es nicht aktiviert ist.
If only I had my memories, I might have a clue...|Wenn ich nur meine Erinnerungen hätte, hätte ich vielleicht eine Ahnung ...
\r\n|\r\n
Compact Inventory HUD?|Kompaktes Inventar-HUD?
oa_max_fric_mult|oa_max_fric_mult
Atlas not found! ({uniqueName})|Atlas nicht gefunden! ({einzigartiger Name})
Store Input|Eingabe speichern
Player 3|Spieler 3
Pearlpup Respawn?|Perlwelpen-Respawn?
PEARLCAT WARP END|PEARLCAT-KETTENENDE
) & use the (LEFT) & (RIGHT) directional inputs|) & verwenden Sie die Richtungseingänge (LINKS) und (RECHTS).
...one which still means a lot to me.|...eines, das mir immer noch viel bedeutet.
Pebbles_AS_PearlYellow|Pebbles_AS_PearlYellow
But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|Aber ... das Zeichen, das Sie besitzen, ist sehr ungewöhnlich.<LINE>Nichts, was irgendjemand in der lokalen Gruppe verleihen könnte ...
Disable Shield Effect?|Schildeffekt deaktivieren?
And now here you are, with a perfect copy.|Und jetzt sind Sie hier, mit einer perfekten Kopie.
...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...Oh? Nehmen Sie sie, die darin enthaltenen Daten sind für mich wertlos. Ich nehme an, sie wären für Sie weitaus nützlicher ...
1.0.0.0|1.0.0.0
pearlcat_light2|pearlcat_light2
pearlcat_0|pearlcat_0
General|Allgemein
GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|GRÜN symbolisiert Vitalität. Jede gespeicherte grüne Perle kann pro Zyklus eine Kreatur wiederbeleben, einschließlich dir
Keybind for Keyboard.|Tastenkombination für Tastatur.
When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|Wenn diese Option aktiviert ist, erzwingen die meisten Perlen (sofern sie aktiv sind) das Bedrohungsthema für alle Regionen auf das Thema der Region, aus der sie ursprünglich stammen.
Something else new? Allow me to see...|Noch etwas Neues? Erlaube mir zu sehen...
pearlcat_1|Pearlcat_1
#|#
MSC|MSC
SH|Sch
I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|Ich freue mich immer noch sehr über die Perlen, die Sie mir bringen;<LINE>besonders angesichts Ihrer einzigartigen Fähigkeiten.
Hips|Hüften
pearlcat_6|Pearlcat_6
To retrieve pearls, have an empty main hand, and hold (|Um Perlen zu holen, haben Sie eine leere Haupthand und halten Sie (
If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to ppass the time.|Wenn Sie einen Moment Zeit haben, würde ich mich sehr freuen, diese Perlen zu lesen ...<LINE>Es gibt nicht viel anderes, was man tun kann, um sich die Zeit zu vertreiben.
pearlcat_structure4|pearlcat_structure4
Body|Körper
And just who might you be?|Und wer könntest du sein?
Keybind for Player 2.|Tastenkombination für Spieler 2.
PEARLCAT WARP|PEARLCAT WARP
3600|3600
_windDir|windSor
And just who might you two be?|Und wer seid ihr zwei?
Disable Minor Effects?|Kleinere Effekte deaktivieren?
pupear_l|pupear_l
Head|Kopf
BigGlyph10|BigGlyph10
Slugcat_Pearlcat_Ascended|Slugcat_Pearlcat_Ascended
DS|DS
Nevermind... this anger is useless...|Egal... diese Wut ist nutzlos...
OE_SEXTRA|OE_SEXTRA
Number of rage pearls (red). Effective only when Inventory Override? is checked.|Anzahl der Wutperlen (rot). Nur wirksam, wenn Bestandsüberschreibung? wird geprüft.
