START|INIZIO
I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|Suppongo che l'unica cosa che apprezzi in queste perle sia quanto sia puro il loro reticolo? Ti sostituirò con uno molto più raffinato di questo.
{Plugin.MOD_ID}:sentry_pearl|{Plugin.mod_id}: Sentry_pearl
Number of revive pearls (green). Effective only when Inventory Override? is checked.|Numero di perle ravvivanti (verde). Efficace solo quando l'override dell'inventario? è controllato.
Sentry Pearl|Sentry Pearl
...there is nothing I can do for your pup at present. I am sorry. I will... think on it.|...non c'è niente che io possa fare per il tuo cucciolo al momento. Mi dispiace. Ci penserò.
_sprites|_sprite
Intro6|Intro6
Player Hooks IL Exception: \n|Gancio del giocatore IL Eccezione: \ n
Geahgeah |Geahgeah
There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|Non c'è niente che io possa fare per fermarti, quindi ecco la mia richiesta:<LINE>Lasciami in pace o falla finita in fretta.
You... I still remember what you did.|Tu ... Ricordo ancora quello che hai fatto.
Deploys the active pearl as a sentry, or returns it if it is already deployed.|Distribuisce la perla attiva come sentinella o la restituisce se è già distribuita.
))}\n|))}\N
{Plugin.MOD_ID}:swap_pearl|{Plugin.mod_id}: swap_pearl
If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to pass the time.|Se ti capita di avere un momento da risparmiare, sarei più che felice di leggere quelle perle ... <line> non c'è molto altro da fare per passare il tempo.
View|Visualizzazione
GW|GW
Foreground|Primo piano
slime-cubed.slugbase|slime-cubed.slugbase
) with an active common pearl to convert it into a pearl spear|) con una perla comune attiva per convertirla in una lancia di perle
pearlcat_sentryhalo|pearlcat_sentryhalo
PFace|PFace
pearlpup_sleeve|Pearlpup_sleeve
I still don't have much to offer, sadly... aside from my pearl readings, and company of course! ~|Non ho ancora molto da offrire, purtroppo ... a parte le mie letture di perle e ovviamente compagnia!~
pearlcat_9|perlacat_9
Number of rage pearls (red). Effective only when Inventory Override? is checked.|Numero di perle di rabbia (rosse). Efficace solo quando l'override dell'inventario? è controllato.
Ability P3|Abilità P3
LC|LC
Please... this all I have left... you have so much... ...why take mine?|Per favore... questo è tutto ciò che mi resta... tu hai così tanto... ...perché prendere il mio?
{nameof(SaveMiscProgression.IsMSCSave)}: {pearlcatMiscProg.IsMSCSave}\n|{nameof (savemiscprogression.ismscsave)}: {pearlcatmiscprog.ismscsave} \ n
Old Red Pearl Ability?|Old Red Pearl Abilità?
SLUGBASE VERSION: {ModManager.ActiveMods.FirstOrDefault(x => x.id == |Versione slugbase: {modmanager.activemods.firsterDodefault (x => x.id ==
Assembly-CSharp|Assemblaggio-CSharp
You are welcome to stay as long as you like. Anything to ease the pain.|Siete invitati a rimanere quanto volete. Qualsiasi cosa per alleviare il dolore.
pearlcat_light0|pearlcat_light0
Button West|Bottone Ovest
Clearly artificial creations. But from where? Sent by who?|Creazioni chiaramente artificiali. Ma da dove? Inviato da chi?
Feet|Piedi
This illness, it is unlike any I have seen before - I can say it is likely fatal.|Questa malattia, è diversa da tutte quelle che ho visto prima - posso dire che è probabilmente fatale.
Pebbles_AS_PearlBlack|Pebbles_AS_PearlBlack
CRS VERSION: {ModManager.ActiveMods.FirstOrDefault(x => x.id == |Versione CRS: {ModManager.ActiveMods.FirsterGofAult (x => x.id ==
T1_S01|T1_S01
face|viso
The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|La distesa al di là sarebbe un posto sicuro dove crescere la tua famiglia... e stare lontano dai miei affari.
{nameof(SaveMiscProgression.JustAscended)}: {pearlcatMiscProg.JustAscended}\n|{nameof (savemiscprogression.justascended)}: {PearlcatMiscprog.justascended} \ n
pearlcat_spire4|pearlcat_spire4
{Plugin.MOD_ID}:store_pearl|{Plugin.mod_id}: store_pearl
So curious...|Così curioso...
DistantBkgObjectAlpha|DistantBkgObjectAlpha
pearlcatSleeve0|perlacatSleeve0
I hope the cycles have been treating you well... it must be hard to take care of eachother out there.|Spero che i cicli ti stiano trattando bene... dev'essere difficile prendersi cura l'uno dell'altro là fuori.
Let us see what- oh, again?|Vediamo cosa... oh, di nuovo?
pearlcat_structure5|pearlcat_structure5
pearlcat_glyphheart|Pearlcat_glyphheart
Read this one too? Yes, yes, here it is...|Leggi anche questo? Sì, sì, eccolo...
I think I may still have some use left after all!~|Penso che dopo tutto potrei avere ancora un po' di utilità!~
Release|Pubblicazione
However, given a lack of other options, this is the best I can do.|Tuttavia, data la mancanza di altre opzioni, questo è il meglio che posso fare.
Custom keybind to perform certain pearl abilities, configure which use the custom bind in Pearlcat's Remix config.|KeyBind personalizzato per eseguire determinate abilità di Pearl, configurare che utilizzano il bind personalizzato nella configurazione remix di Pearlcat.
{nameof(SaveMiscWorld.PearlIDsBroughtToPebbles)}: {string.Join(|{nameof (saveMiscworld.pearlidsBroughtopeBles)}: {String.Join (
What do you want? To take away more of my life...?|Cosa vuoi? Per portarmi via più della mia vita...?
OE_|OE_
Disable Camoflague Effect?|Disabilitare l'effetto mimetico?
-|-
pearlcat_support|pearlcat_support
pearlcat_clouds|pearlcat_clouds
{nameof(SaveMiscWorld.PebblesMeetCount)}: {pearlcatMiscWorld.PebblesMeetCount}\n|{nameof (savemiscworld.pebblesmeetCount)}: {Pearlcatmiscworld.pebblesmeetCount} \ n
Intro6_Mira|Intro6_mira
strange|strano
I do enjoy the company of you and your friend though, <PlayerName>.|Però mi piace la tua compagnia e il tuo amico, <PlayerName>.
body|corpo
Oh...? Hello! Hello...|OH...?Ciao!Ciao...
But it's best not to dwell on the past, don't you agree <PlayerName>?|Ma è meglio non soffermarsi sul passato, non sei d'accordo <PlayerName>?
PEBBLESWAIT|CIOTTOLI ASPETTA
PEARLCAT|GATTO PERLE
) & use the (LEFT) & (RIGHT) directional inputs|) e utilizzare gli ingressi direzionali (LEFT) e (RIGHT).
- Chinese Translation|- Traduzione cinese
q|Q
...help... please...|...aiuto per favore...
Sentry P3|Sentry P3
In any case, you are welcome to stay as long as you like. Anything to ease the pain.|In ogni caso, sei il benvenuto a rimanere quanto vuoi. Qualsiasi cosa per alleviare il dolore.
Oh, hello <PlayerName>!|Oh, ciao <PlayerName>!
Play around with sentries to see what they do!|Gioca con le sentinelle per vedere cosa fanno!
Extra Cheats|Trucchi extra
ear_r|orecchio_r
CC|CC
{nameof(SaveMiscProgression.HasOEEnding)}: {pearlcatMiscProg.HasOEEnding}\n|{nameof (savemiscprogression.hasoending)}: {Pearlcatmiscprog.hasoending} \ n
NA_19 - Halcyon Memories|NA_19 - Ricordi d'Alcione
!PEARLCAT DEBUG INFO LOG!\n|! Log di informazioni di debug di perle! \ N
, pearlcatMiscProg.StoredPearlColors)}\n|, PearlCatMiscprog.StoredPearlColors)} \ n
If you were able to reach me via the transit system, I can only assume that you may be able to reach others far beyond.|Se sei stato in grado di raggiungermi tramite il sistema di transito, posso solo supporre che potresti essere in grado di raggiungere gli altri ben oltre.
Pebbles_AS_PearlGreen|Pebbles_AS_PearlGreen
I very much enjoy the company though... you and your little friend are always welcome here.|Mi piace molto la compagnia però... tu e il tuo piccolo amico siete sempre i benvenuti qui.
Keybind to swap to the stored pearl to the left. Limited to Player 1.|Keybind per passare alla perla memorizzata a sinistra. Limitato al giocatore 1.
{Plugin.MOD_ID}:swap_right|{Plugin.mod_id}: swap_right
...well, given your unique set of skills... if you ever need something read...|... beh, dato il tuo set unico di abilità ... se hai mai bisogno di qualcosa letta ...
pearlcat_spire5|pearlcat_spire5
Disable Shield Effect?|Disabilitare l'effetto scudo?
Basic|Di base
He is much better equipped than me at present - I would recommend paying him a visit, if you can.<LINE>Although he was not designed as a medical facility, he may be able to aid you, in some way.|Al momento è molto meglio equipaggiato di me - consiglierei di fargli visita, se puoi.<LINE>Sebbene non sia stato progettato come struttura medica, potrebbe essere in grado di aiutarti, in qualche modo.
Transit System|Sistema di transito
Ability P2|Abilità P2
I do enjoy the company though... it gets lonely out here.|Però mi piace la compagnia... qui fuori ci si sente soli.
- Floppy Ears, Scarf|- Orecchie flosce, sciarpa
pearlcat_structure6|pearlcat_structure6
PlayerArm|GiocatoreArm
0.0|0.0
AS|COME
PREVENTED PEARLPUP GRASP RELEASE|Rilascio di cutanea di Pearlpup prevenuto
T1_CAR2|T1_CAR2
SB_L01|SB_L01
When checked, enables Pearlcat to carry a backspear.|Se selezionato, permette a Pearlcat di portare una lancia posteriore.
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Se selezionata, sovrascrive le perle iniziali con l'opzione sottostante. Efficace solo all'inizio di una nuova partita, a differenza di Inventory Override?
- Dialogue, SFX|- Dialogo, SFX
You're more than welcome to stay a while... your ability will always be a miracle to me...|Sei più che benvenuto per rimanere un po '... La tua abilità sarà sempre un miracolo per me ...
...hello?|...Ciao?
BigGlyph2|BigGlyph2
pearlcat_structure4|pearlcat_structure4
NON-MSC|NON MSC
pearlpup_face|pearlpup_face
Scarf|Sciarpa
You are just a lot to take in for little old me! A fascinating power, the gift of communication;|Sei solo molto da prendere per me!Un potere affascinante, il dono della comunicazione;
Menu|Menù
Is the implant... painful? Not that it matters, of course. Just noting some common ground.|L'impianto è ... doloroso?Non che sia importante, ovviamente.Basta notare un terreno comune.
Disable Agility Effect?|Disabilitare l'effetto di agilità?
Hold (GRAB) with an active common pearl to convert it into a pearl spear|Tieni premuto (PRENDI) una perla comune attiva per convertirla in una lancia di perle
Hips|Fianchi
Agility Pearl Count|Agilità Pearl Count
Software|Software
1.2.1|1.2.1
Has it really been so long...? And considering your current state, you've been through a lot...|È passato così tanto tempo ...?E considerando il tuo stato attuale, hai passato molto ...
Custom Keybind?|Combinazione di tasti personalizzata?
SL|SL
So curious... I wonder what it is you're searching for?|Così curioso... mi chiedo cosa stai cercando?
Ah. So you've returned.|Ah. Quindi sei tornato.
Pebbles_AS_PearlBlue|Pebbles_AS_PearlBlue
_MultiplyColor|_MultiplyColor
I've accepted my fate - and one day, you will meet an end too...|Ho accettato il mio destino - e un giorno, incontrerai anche una fine ...
pearlcat_shieldsentry|pearlcat_shieldsentry
Compact Inventory HUD?|Inventario compatto HUD?
I very much enjoy the company though... you and your family are always welcome here.|Mi piace molto la compagnia però ... Tu e la tua famiglia siete sempre i benvenuti qui.
Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|Tempo in frame impiegato dallo scudo di perle gialle per ricaricarsi dopo l'attivazione. Predefinito 40 secondi.
And just who might you be?|E chi potresti essere?
I am so sorry.|Mi dispiace tanto.
pearlcat_5|perlacat_5
And who is your little friend? They are...|E chi è il tuo piccolo amico? Sono...
I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|Suppongo che, visto che non puoi leggere le informazioni memorizzate su di essi, posso leggerli per te, se lo desideri.
pearlcat_spire8|pearlcat_spire8
Shield Recharge Time|Tempo di ricarica dello scudo
The surviving scholar returns once more... how poetic.|Lo studioso sopravvissuto ritorna ancora una volta ... quanto poetico.
283b2c|283b2c
Button North|Bottone Nord
R-Stick|Bastone R
Keybind to swap to the stored pearl to the right. Limited to Player 1.|Keybind per passare alla perla memorizzata a destra. Limitato al giocatore 1.
PEARLCAT LOG DEBUG INFO ERROR: \n|Errore informazioni di debug del registro Pearlcat: \ n
pearlactivehalo|pearlactivehalo
Press (JUMP + GRAB) while in the air to perform a double jump|Premi (JUMP + GRAB) mentre sei in aria per eseguire un doppio salto
I... I have nothing more to say...|Io ... non ho altro da dire ...
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|GIALLO simboleggia protezione. Ogni perla gialla immagazzinata fornirà una carica di scudo
Oh, hello! Hello...|Oh, ciao!Ciao...
And a third? So it is...|E un terzo? Così è...
If you do not plan to provide me with any meaningful data, that is your best course of action;|Se non hai intenzione di fornirmi dati significativi, questa è la tua migliore linea d'azione;
pearlcat_structure1|pearlcat_structure1
Hello again.|Ciao di nuovo.
MSC: {ModManager.MSC}\n|MSC: {ModManager.msc} \ n
ca471b|CA471B
{nameof(SaveMiscProgression.HasTrueEnding)}: {pearlcatMiscProg.HasTrueEnding}\n|{nameof (savemiscprogression.hastruending)}: {Pearlcatmiscprog.hastruending} \ n
To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|Per recuperare le perle, tieni la mano principale vuota e tieni premuto (GRAB + UP)
Pearlpup|Pearlpup
...that pearl you carry, the purple one, where did you find it?|...quella perla che porti, quella viola, dove l'hai trovata?
Ah... you seem, familiar...? ...but in such a strange way...|Ah ... sembri, familiare ...?... ma in un modo così strano ...
VERSION WARNING<LINE>Mira Installation requires Pearlcat version 1.3.0 or above! Please update...|Avviso della versione <Fine> L'installazione Mira richiede Pearlcat versione 1.3.0 o superiore!Per favore aggiornare...
GATE_UW_LC|GATE_UW_LC
Oh, and for direction - there is a gate to the far west of here, where the ground fissures...|Oh, e per la direzione - c'è un cancello all'estremo ovest di qui, dove il terreno si spacca...
Ah, I hope you both stay safe out there...|Ah, spero che stiate entrambi al sicuro là fuori...
pearlpup_head|pearlpup_head
by|di
pearlcat_daysky|pearlcat_daysky
zbiotr |ZBiotr
(unfortunately for Pearlpup to spawn, it requires the Downpour DLC to be enabled)|(Sfortunatamente per la spawn di Pearlpup, richiede che il DLC dell'acconto sia abilitato)
You have a knack for finding these pearls, yes?|Hai un talento per trovare queste perle, vero?
RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|Il ROSSO simboleggia il potere. Con una perla rossa attiva, la creatura ostile più vicina verrà presa di mira
Another? And I shall read this one to you as well...|Un altro? E vi leggerò anche questo...
pearlpup_feet|Pearlpup_feet
pearlcat_spire2|pearlcat_spire2
Welcome back, you two!|Bentornati, voi due!
Some time ago now, I encountered a scholar and their dying pup...|Qualche tempo fa, ho incontrato uno studioso e il loro cucciolo morente ...
pupheartcore|PUPHEARTCORE
Legs|Gambe
pearlcat_hudpearl|pearlcat_hudpearl
You are... so familiar...|Sei ... così familiare ...
Mira Installation requires Pearlcat version 1.3.0 or above! Please update...|L'installazione di Mira richiede PearlCat versione 1.3.0 o superiore!Per favore aggiornare...
pearlcat_hudlockedshortcut|pearlcat_hudlockedshortcut
{nameof(SaveMiscProgression.HasPearlpup)}: {pearlcatMiscProg.HasPearlpup}\n|{nameof (savemiscprogression.haspearlpup)}: {pearlcatmiscprog.haspearlpup} \ n
My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|I miei sorveglianti non hanno fatto pace con il tuo arrivo: avevo l'impressione che il sistema di transito fosse per lo più inutilizzabile.
ERROR UPDATING SAVE ON CYCLE COMPLETION:\n|Errore aggiornamento Salva al completamento del ciclo: \ n
Songs|Canzoni
): swap out a pearl, or change the limit in the Remix options|): scambia una perla o cambia il limite nelle opzioni Remix
Who... who is there?|Chi ... chi c'è?
You're more than welcome to stay a while... your ability will always be a little miracle to me...|Sei più che benvenuto per rimanere un po '... La tua abilità sarà sempre un po' miracolo per me ...
Your survival gives me some hope, little one.|La tua sopravvivenza mi dà qualche speranza, piccola.
T1_CAR1|T1_CAR1
BigGlyph10|BigGlyph10
Otherwise, I must resume my work, it seems the path to my own cure is unfortunately much longer...|Altrimenti, devo riprendere il mio lavoro, sembra che il percorso per la mia cura sia purtroppo molto più lungo ...
{nameof(SaveMiscWorld.HasPearlpupWithPlayer)}: {pearlcatMiscWorld.HasPearlpupWithPlayer}\n|{nameof (savemiscworld.haspearlpupwithplayer)}: {Pearlcatmiscworld.haspearlpupwithplayer} \ n
Starting Inventory Override?|Avvio dell'override dell'inventario?
PEARLCAT VERSION: {Plugin.VERSION}\n|Versione di Pearlcat: {plugin.version} \ n
pearlpup_scarf|pearlpup_scarf
Sorry, I shouldn't be so intrusive, I am in quite the state myself after all.|Mi dispiace, non dovrei essere così invadente, dopo tutto sono abbastanza nello stato.
warp|ordito
BigGlyph11|BigGlyph11
_|_
Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|A quale giocatore verrà applicato lo scambio di trigger del controller. 0 disabilita lo scambio di trigger. Tieni premuto e trascina verso l'alto o verso il basso per cambiare.
...I am not sure if this is comforting, but...|...non sono sicuro che questo sia confortante, ma...
I do enjoy the company of you and your friend though, strange scholar.|Mi piace la compagnia di te e del tuo amico, strano studioso.
pearlcat_glyphsentry|pearlcat_glyphsentry
To cycle between pearls, use (|Per scorrere tra le perle, utilizzare (
PEARLCAT MISC WORLD:\n|Pearlcat Misc World: \ n
When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|Se selezionata, la maggior parte delle perle (se attive) costringerà il tema della minaccia per tutte le regioni al tema della regione da cui provenivano originariamente.
Inventory Pings?|Ping di inventario?
...are you alright, little one? The modifications to your body are quite... extreme.|... Stai bene, piccolo?Le modifiche al tuo corpo sono abbastanza ... estreme.
pearlcat_light2|pearlcat_light2
Think of this mutually, I can 'see' a little further outside this can...|Pensaci reciprocamente, posso "vedere" un po' più al di fuori di questo può...
When checked, disables improved input config support, reverting to Remix config. Exit and re-enter the Remix menu to take effect.|Se selezionato, disabilita il supporto di configurazione di input migliorato, ripristinando a Remix Config.Esci e rientri nel menu Remix per avere effetto.
Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|Numero di perle scudo (giallo). Efficace solo quando l'override dell'inventario? è controllato.
Pearlcat_Amnesia|Pearlcat_amnesia
UW|UW
MS|SM
The Pearlcat|Il gatto delle perle
When checked, disables the shield effect granted by an active pearl.|Quando selezionato, disabilita l'effetto scudo fornito da una perla attiva.
I would love to study it, to help treat my own affliction, however it would require... removal of the augment.|Mi piacerebbe studiarlo, aiutare a trattare la mia afflizione, tuttavia richiederebbe ... rimozione dell'aumento.
pcat_nopup|pcat_nopup
SS_T1_S01|SS_T1_S01
Failed to parse color {objectType} : {ex.Message}|Impossibile analizzare il colore {objectType}: {ex.Message}
When checked, disables the spear creation effect granted by an active pearl.|Se selezionato, disabilita l'effetto di creazione della lancia concesso da una perla attiva.
Joystick[0-9]Button|Joystick[0-9]Pulsante
Hide Pearls?|Nascondere le perle?
DistantBkgObject|DistantBkgObject
Start Shelter Override|Avvia l'override del rifugio
3600|3600
{Plugin.MOD_ID}:swap_left|{Plugin.mod_id}: swap_left
...and you have brought your little friend along, of course.|...e naturalmente hai portato con te il tuo piccolo amico.
mayhemmm|caosmm
Left Bumper|Paraurti sinistro
Your biology... it is both familiar and foreign to me. How curious.|La tua biologia... mi è sia familiare che estranea. Che curioso.
Ability P4|Abilità P4
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...tu hai il dono della comunicazione!<LINE>Forse hai fatto visita al mio vicino, Five Pebbles...?
I assure you it will be a more than suitable replacement for your primitive needs.|Ti assicuro che sarà un sostituto più che adatto alle tue primitive esigenze.
T1|T1
You. Again. I still remember what you did...|Voi. Ancora. Ricordo ancora cosa hai fatto...
And a nasty scar, poor thing... I can't imagine where you got that, or even where you came from...?|E una brutta cicatrice, una cosa povera ... Non riesco a immaginare dove l'hai preso, o anche da dove vieni ...?
Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|Numero di perle creazione lancia (bianche). Efficace solo quando l'override dell'inventario? è controllato.
sleep1|Sleep1
Ability Input|Input capacità
You must be very brave to have made it all the way here. Very brave indeed...|Devi essere molto coraggioso per essere arrivato fin qui. Davvero molto coraggioso...
You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|Vieni da molto lontano? Puoi comunicare con noi, ma il marchio che possiedi mi è estraneo...
ffffff|ffffff
)?.version ?? |)?. Versione ??
You. I didn't forget...|Voi. non ho dimenticato...
pearlcat_topshutter|pearlcat_topshutter
.NETFramework,Version=v4.8|.NETFramework, Versione=v4.8
Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|Danneggia il laser di ogni perla rossa per colpo. Danno della lancia del sopravvissuto = 1,0
...ah... are those still a fascination to you? You really are no different from your mother...|... Ah ... quelli sono ancora un fascino per te?Non sei davvero diverso da tua madre ...
TEXT ERROR|ERRORE DI TESTO
664054|664054
I see you have not found a cure for their illness. Not yet...|Vedo che non hai trovato una cura per la loro malattia. Non ancora...
, pearlcatMiscWorld.PearlIDsBroughtToPebbles.Keys)}\n|, PearlCatmiscworld.pearlidsBroughtopeBbles.keys)} \ n
DS|DS
pearlpup_face_sick|pearlpup_face_sick
\n-------------------\n|\ n ----------------------- \ n
_windDir|windsor
Water|Acqua
Disable Tutorials?|Disattivare i tutorial?
pearlcat_milock|Pearlcat_milock
SS_AI|SS_AI
To retrieve pearls, have an empty main hand, and hold (|Per recuperare le perle, tieni la mano principale vuota e tieni premuto (
3: |3:
And just who might you two be?|E chi potreste essere voi due?
No, I am not so selfish as to sacrifice you on a whim for this - a cure is not even guaranteed.|No, non sono così egoista da sacrificarti per un capriccio per questo: una cura non è nemmeno garantita.
...did they have a child? ...could you be?|... avevano un figlio?...potresti essere?
pearlcat_topshutter_night|Pearlcat_topshutter_night
pearlcat_spire9|pearlcat_spire9
The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|Il potere che possiedi è affascinante. Non ho mai visto niente di simile dalla tua specie.
1.0.0|1.0.0
...you can manipulate our storage medium in unforseen ways...|...puoi manipolare il nostro supporto di memorizzazione in modi imprevisti...
Swaps the active pearl to the right.|Scambia la perla attiva a destra.
pearlcat_structure2|pearlcat_structure2
...we were built to solve problems. It is a shame not every problem has a solution.|...siamo fatti per risolvere i problemi. È un peccato che non tutti i problemi abbiano una soluzione.
I do not know what to make of this.|Non so cosa fare di questo.
22385c|22385C
VANILLA SAVE STATE:\n|Vanilla Save State: \ n
.meta|.meta
pearlcat_hudcooldown|pearlcat_hudcooldown
haloGlyph6|haloGlyph6
Ah, I'm sorry... it's wrong to be so invasive, and I shouldn't be so sentimental anyways.|Ah, mi dispiace ... è sbagliato essere così invasivi e non dovrei essere così sentimentale.
Alternatively, hold (|In alternativa, tieni premuto (
