You... I didn't forget...|Ты... я не забыл...

If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to pass the time.|Если у вас будет мгновенный момент, я был бы более чем счастлив прочитать эти жемчужины ... <Line> больше нечего сделать, чтобы провести время.

Oh, and for direction - there is a gate to the far west of here, where the ground fissures...|Да, и для направления - далеко на запад отсюда есть ворота, где земля растрескивается...

Pearls may also be deployed as temporary sentries. Press (|Жемчужины также могут использоваться в качестве временных часовых. Нажимать (

When checked, the inventory HUD will be replaced with a more compact version.|При включении HUD инвентаря будет заменен на более компактную версию.

All times here are in frames.<LINE>40 frames = 1 second.|Все время здесь указано в кадрах.<LINE>40 кадров = 1 секунда.

Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|Время перезарядки желтого жемчужного щита в кадрах после активации. По умолчанию 40 секунд.

Your attachment to that thing is unavoidable, I suppose.|Ваша привязанность к этой штуке неизбежна, я полагаю.

Inventory Override?|Переопределение инвентаря?

Oh...? Hello! Hello...|Ой...?Привет!Привет...

If only I had my memories, I might have a clue...|Если бы у меня были воспоминания, я мог бы догадаться...

Efi|Эфи

Button West|Баттон Вест

I have sent a request for the stationary cargo transports in my city to resume operation.|Я отправил запрос на стационарные грузовые транспорты в моем городе, чтобы возобновить операцию.

 SAVE|СОХРАНЯТЬ

Your HEART will let you possess others, with it active, maintain line of sight with a creature and try to retrieve the pearl to possess|Ваше сердце позволит вам обладать другими, с его активным, сохранить линию зрений с существами и попытаться получить жемчужину, чтобы обладать

Yes, help yourself. They are not edible.|Да помоги себе. Они несъедобны.

Disable Cosmetics?|Отключить косметику?

Considering the state you left in, I thought it impossible I would see you again... and yet here you are.|Учитывая состояние, в котором вы уехали, я подумал, что это невозможно, я увижу вас снова ... и все же вы здесь.

) & (|) & (

You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|Вы меня здорово напугали! В последнее время ко мне нечасто приходят посетители;<LINE>гораздо меньше таких посетителей, как вы, с которыми я могу поговорить...

I very much enjoy the company though... you and your family are always welcome here.|Я очень наслаждаюсь компанией ... вы и ваша семья всегда рады здесь.

Disable Tutorials?|Отключить учебники?

Prefer to use the custom keybinds below for spear creation, instead of the default (GRAB)|Предпочитаю использовать приведенные ниже пользовательские сочетания клавиш для создания копий вместо стандартных (GRAB).

Keybind for Player 4.|Связка клавиш для игрока 4.

The Gutter|Желоб

...there.|...там.

RED symbolizes power. With a red pearl active, all stored red pearls will circle you|Красный символизирует власть.С активацией красной жемчужины, все хранится красные жемчужины

I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|Я полагаю, поскольку вы не можете прочитать информацию, хранящуюся на них, я могу прочитать их для вас, если хотите.

When checked, disables the revive effect granted by an active pearl.|Если флажок установлен, отключает эффект возрождения, предоставляемый активной жемчужиной.

Sentry P3|Часовой P3

Welcome back, <PlayerName>!|Добро пожаловать назад, <Playername>!

...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...ой? Возьми их, содержащиеся в них данные для меня бесполезны. Я полагаю, они были бы гораздо полезнее для вас...

...there is nothing I can do for your pup at present. I am sorry. I will... think on it.|...в настоящее время я ничего не могу сделать для вашего щенка. Мне жаль. Я... подумаю об этом.

Let us see what- oh, again?|Давайте посмотрим, что- о, опять?

And who is your little friend? They are...|А кто твой маленький друг? Они есть...

acursed|проклятый

Sorry, I shouldn't be so intrusive, I am in quite the state myself after all.|Извините, я не должен быть таким навязчивым, в конце концов, я сам нахожусь в состоянии.

Improved Input Config is active!|Улучшенная конфигурация ввода активна!

BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|СИНИЙ символизирует ловкость. Каждая сохраненная синяя жемчужина обеспечивает дополнительный двойной прыжок.

Spear Pearl Count|Жемчуг копья

And a third? So it is...|А третий? Так что, это...

Visibility Multiplier|Множитель видимости

Hello again, <PlayerName>!|Еще раз здравствуйте, <PlayerName>!

Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Максимальное количество жемчужин, которые можно хранить одновременно, включая активную жемчужину. По умолчанию 9. Удерживайте и перетащите вверх или вниз, чтобы изменить.

Lolight2|Лолайт2

You. I didn't forget...|Ты. Я не забыл...

- Dialogue, SFX|- Диалог, звуковые эффекты

I'll always enjoy your company... it gets lonely out here.|Я всегда наслаждаюсь вашей компанией ... здесь станет одиноко.

You would be a hard one to forget after all, <PlayerName>!|В конце концов, тебя будет трудно забыть, <PlayerName>!

), or the triggers on controller|), или триггеры на контроллере

Mira Installation requires a more recent version of Pearlcat! Please update...|Установка MIRA требует более поздней версии Pearlcat!Пожалуйста, обновите ...

Given your unique abilities, if you are curious as to the contents of those pearls -|Учитывая ваши уникальные способности, если вас интересует содержимое этих жемчужин...

Enable Backspear?|Включить Backspear?

When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|Если флажок установлен, большинство жемчужин (когда они активны) заставят тему угроз для всех регионов соответствовать теме региона, из которого они были изначально.

Why did you come back here...? I can only imagine it brings back some painful memories.|Почему ты вернулся сюда ...?Я могу только представить, что это возвращает некоторые болезненные воспоминания.

When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|Если флажок установлен, Жемчужный щенок будет возрождаться в следующем убежище в следующем цикле всякий раз, когда они теряются.

I will tolerate your pressence, so long as you bring me something meaningful.|Я буду терпеть твое присутствие, если ты принесешь мне что-то значимое.

And just who might you be?|И кем бы вы могли быть?

I'm sorry... it's wrong to be so invasive, it's none of my business really.|Мне жаль ... это неправильно, быть таким инвазивным, это не мое дело на самом деле.

Ability P3|Способность P3

Player 3|Игрок 3

Welcome back, you two!|С возвращением, вы двое!

Old Red Pearl Ability?|Способность старой красной жемчужины?

It doesn't matter I suppose, you may stay, so long as you don't disturb my work...|Я полагаю, это не имеет значения, вы можете остаться, пока вы не беспокоите мою работу ...

Right Bumper|Правый бампер

Ability P1|Способность P1

So curious...|Так любопытно...

Disable Agility Effect?|Отключить эффект ловкости?

I do so wish you could tell me what happened on your travels... I hardly remember the last time I saw beyond this chamber...|Я так хочу, чтобы вы могли сказать мне, что случилось в ваших путешествиях ... Я едва помню, когда в последний раз я видел за пределами этой камеры ...

Ability P4|Способность P4

Noir |Нуар

View|Вид

I see you have not found a cure for their illness. Not yet...|Я вижу, вы не нашли лекарства от их болезни. Еще нет...

I have tried to reconstruct it from memory many times, fruitlessly.|Я много раз пытался восстановить его по памяти, но безрезультатно.

VERSION WARNING<LINE>Mira Installation requires a more recent version of Pearlcat! Please update...|Версия Warning <Line> MIRA Установка требует более поздней версии Pearlcat!Пожалуйста, обновите ...

pearl|жемчуг

You are welcome to stay as long as you like. Anything to ease the pain.|Вы можете оставаться так долго, как вам нравится. Что угодно, лишь бы облегчить боль.

You are... so familiar...|Ты ... так знаком ...

Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|К какому триггеру контроллера проигрывателя будет применено переключение. 0 отключает перестановку триггеров. Удерживайте и перетащите вверх или вниз, чтобы изменить.

Oh, hello there!|О, привет!

Ability KB|Способность KB

PEARLPUP|Жемчужина

Laser Damage (OLD)|Лазерное повреждение (старое)

Hello. Again.|Привет.Снова.

Player 2|Игрок 2

Custom keybind to perform certain pearl abilities, configure which use the custom bind in Pearlcat's Remix config.|Пользовательский корзин для выполнения определенных жемчужных способностей, настройка, которые используют Custom Bind в конфигурации Remix от Pearlcat.

FIND MIRA...|Найди Мира ...

Shield Duration|Длительность щита

I know that quite well.|Я это хорошо знаю.

He is much better equipped than me at present - I would recommend paying him a visit, if you can.<LINE>Although he was not designed as a medical facility, he may be able to aid you, in some way.|В настоящее время он оснащен гораздо лучше меня — я бы порекомендовал нанести ему визит, если сможете.<LINE>Хотя он не был задуман как медицинское учреждение, он может каким-то образом помочь вам.

When checked, disables improved input config support, reverting to Remix config. Exit and re-enter the Remix menu to take effect.|При проверке отключает улучшенную поддержку конфигурации ввода, возвращаясь к конфигурации ремиксов.Выйдите и повторно введите меню ремикса, чтобы вступить в силу.

Pearlcat|Жемчужная кошка

I do enjoy the company though... it gets lonely out here.|Хотя мне нравится компания... здесь становится одиноко.

VERSION WARNING|Версия предупреждение

Press (|Нажимать (

I do not have much else to occupy my time with these days...|В эти дни мне особо нечем заняться...

The company of you and your friend makes my day, strange scholar.|Компания вас и вашего друга делают мой день, странный ученый.

I am so sorry.|Мне очень жаль.

Nevermind... this anger is useless...|Неважно... этот гнев бесполезен...

- Chinese Translation|- Китайский перевод

...that pearl you carry, the purple one, where did you find it?|...та жемчужина, что ты носишь, пурпурная, где ты ее нашла?

- Spanish Translation|- Испанский перевод

Is that you, little scholar? I'm speechless...|Это ты, маленький ученый?У меня нет слов...

TurtleMan27|Черепаха27

Disable Rage Effect?|Отключить эффект ярости?

I believe that child was you.|Я считаю, что ребенок был тобой.

Ah, you didn't happen to find a way to tell me about your travels, did you?|Ах, тебе не случайно найти способ рассказать мне о своих путешествиях, не так ли?

Read this one too? Yes, yes, here it is...|Эту тоже читали? Да, да, вот...

You're more than welcome to stay a while... your ability will always be a miracle to me...|Ты более чем рад остаться ... твоя способность всегда будет для меня чудом ...

Get... get away... strange... thing.|Уйди... уйди... странная... штука.

You. Again. I still remember what you did...|Ты. Снова. Я до сих пор помню, что ты сделал...

And a nasty scar, poor thing... I can't imagine where you got that, or even where you came from...?|И противный шрам, бедная вещь ... Я не могу представить, откуда ты это получил, или даже откуда ты пришел ...?

Store Pearl|Магазин Жемчужина

But it's best not to dwell on the past, don't you agree <PlayerName>?|Но лучше не зацикливаться на прошлом, не так ли, <PlayerName>?

Button East|Кнопка Восток

...but, you are not like I remember them? Am I misremembering so badly?|... но ты не так, как я их помню?Я так сильно запоминаю?

There is nothing I can do - I am not a medical facility, and even if I were, my equipment is far from pristine.|Я ничего не могу сделать - я не медицинское учреждение, а даже если бы и был, мое оборудование далеко не в первозданном виде.

This one again? I have better things to do... but...|Опять этот? У меня есть дела поважнее... но...

Keybind for Player 1.|Связка клавиш для игрока 1.

 Pearlpup will be revived.|Жемчужина будет возрождена.

Reverts to the old red pearl mechanics - auto targeting lasers.|Возвращается к старой механике красной жемчужины - автоматической таргетинг -лазеры.

Custom Spear Keybind?|Пользовательская привязка к копью?

Rage Pearl Count|Количество жемчужин ярости

Look at yourself! You know how it feels, to be within an inch of death...|Посмотрите на себя!Вы знаете, каково это, быть в пределах дюйма смерти ...

Oh, hello! Hello...|О, привет!Привет...

Swaps the active pearl to the left.|Поменяет активную жемчужину влево.

Custom Keybind?|Пользовательская привязка клавиш?

What do you want? To take away more of my life...?|Что ты хочешь? Чтобы забрать больше моей жизни...?

Lin |Lin

Welc- Hello. Hello again.|Welc- Привет.И снова здравствуйте.

I do enjoy the company of you and your friend though, strange scholar.|Мне очень нравится компания вас и вашего друга, странный ученый.

Keybind to swap to the stored pearl to the right. Limited to Player 1.|Keybind для переключения на сохраненную жемчужину справа. Ограничено игроком 1.

Stores the pearl in your main hand, or retrieves the current active pearl if your main hand is empty.|Хранят жемчужину в своей главной руке или извлекает текущую активную жемчужину, если ваша главная рука пуста.

Sidera |Сидера

I noticed the augment keeping you alive as soon as you returned here - I don't say this lightly, but it is beyond me how it works.|Я заметил, что дополнение поддерживает вас, как только вы вернулись сюда - я не говорю это легкомысленно, но это не так, как это работает.

Your biology... it is both familiar and foreign to me. How curious.|Ваша биология... она мне и знакома, и чужда. Как любопытно.

So curious... I wonder what it is you're searching for?|Так любопытно... Интересно, что ты ищешь?

Hello, again. You are very curious. Very curious indeed.|И снова здравствуйте. Вы очень любопытны. Действительно очень любопытно.

Custom Sentry Keybind?|Пользовательская привязка клавиш Sentry?

You're welcome to stay a while... your ability is fascinating.|Вы можете остаться на некоторое время... ваши способности очаровательны.

... |...

Laser Recharge Time (OLD)|Лазерное время перезарядки (старое)

You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|Ты приехал издалека? Ты можешь общаться с нами, но метка, которой ты обладаешь, мне чужда...

Start Shelter Override|Начать переопределение убежища

Pearlpup Respawn?|Жемчужный респаун?

Pearl Ability|Способность жемчужины

L-Stick|L-образный стержень

Extra Cheats|Дополнительные читы

To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|Чтобы достать жемчуг, возьмите пустую основную руку и удерживайте (ЗАХВАТИТЬ + ВВЕРХ).

The choice is yours.|Выбор ваш.

Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|Количество щитовых жемчужин (желтых). Действует только при переопределении инвентаря? проверено.

...and what happened to your parent...|... и что случилось с вашим родителем ...

YOU!|ТЫ!

...are you alright, little one? The modifications to your body are quite... extreme.|... ты в порядке, малыш?Модификации вашего тела довольно ... экстремальные.

Oh! It is good to see you two again!|Ой! Приятно видеть вас двоих снова!

Ah... you seem, familiar...? ...but in such a strange way...|Ах ... ты выглядишь, знакомо ...?... но таким странным образом ...

So... anything for me to read?|Итак ... что -нибудь для меня, чтобы читать?

Agility Pearl Count|Жемчуг ловкости

Multiple red pearls may chain this effect together - and yes, these batflies are VERY HOSTILE!|Многократные красные жемчужины могут объединить этот эффект вместе - и да, эти батфильсы очень враждебны!

Welcome back, <PlayerName>, and your little one too.|С возвращением, <PlayerName>, и ваш малыш тоже.

Number of camo pearls (black). Effective only when Inventory Override? is checked.|Количество камуфляжных жемчужин (черных). Действует только при переопределении инвентаря? проверено.

Is my memory so bad to forget how your little one looks? They seem paler...|У меня настолько плохая память, что я забыл, как выглядит твой малыш? Они кажутся бледнее...

Misfortune does not discriminate, sadly. I hope a better fate awaits you, in time.|Несчастья не различают, к сожалению. Я надеюсь, что со временем тебя ждет лучшая судьба.

Your survival gives me some hope, little one.|Ваше выживание дает мне надежду, малыш.

Something new to read... it has been too long...|Что-то новое для чтения... это было слишком долго...

Good luck, mysterious scholar.|Удачи, таинственный ученый.

I have nothing for you, I'm afraid... but I hope you find the answers you seek.|Боюсь, у меня для вас ничего нет... но я надеюсь, что вы найдете ответы, которые ищете.

When checked, disables the rage effect granted by an active pearl.|Если флажок установлен, отключает эффект ярости, даруемый активной жемчужиной.

Ability P2|Способность P2

I'll be self.Waiting right here - not like I can go far, anyways~|Я буду сами.

Swaps the active pearl to the right.|Поменяет активную жемчужину вправо.

When checked, disables the camoflague effect granted by an active pearl.|Если флажок установлен, отключает эффект маскировки, предоставляемый активной жемчужиной.

Ah, you have returned? You look about as sickly as I remember.|Ах, ты вернулся?Ты выглядишь так же болезненно, как я помню.

Is the implant... painful? Not that it matters, of course. Just noting some common ground.|Имплантат ... болезнен?Не то чтобы это важно, конечно.Просто отмечая какую -то общую почву.

Player 4|Игрок 4

Intended to make gameplay more challenging, may change gameplay significantly!|Предназначено для того, чтобы сделать игровой процесс более сложным, может значительно изменить игровой процесс!

...and you have brought your little friend along, of course.|...и вы, конечно же, привели с собой своего маленького друга.

- Floppy Ears, Scarf|- Висячие уши, шарф

When checked, disables the agility effect granted by an active pearl.|Если флажок установлен, отключает эффект ловкости, предоставляемый активной жемчужиной.

The surviving scholar returns once more... how poetic.|Выживший ученый возвращается еще раз ... как поэтично.

CREDITS|Кредиты

thing|вещь

mayhemmm|беспредел

) while in the air to perform a double jump|) находясь в воздухе для выполнения двойного прыжка

Hello again.|И снова здравствуйте.

I'm just so glad you're safe, too many things have come into my memory, only to be washed away...|Я просто так рад, что ты в безопасности, в моей памяти вошло слишком много вещей, только чтобы смыть ...

Who... who is there?|Кто ... кто там?

...and you can gather more of that data you so clearly desire.|...и вы сможете собрать больше данных, которые вам так нужны.

Well, if my memory is serving me correctly, it is nice to see you again... strange scholar.|Что ж, если моя память служит мне правильно, приятно видеть тебя снова ... Странный ученый.

Play around with sentries to see what they do!|Поиграйте с часовыми, чтобы увидеть, что они делают!

Hides the visuals of inactive pearls and turns you into... cat.|Скрывает визуальные эффекты неактивных жемчужин и превращает вас в... кошку.

And now here you are, with a perfect copy.|И вот вы здесь, с идеальной копией.

MSC|МСК

Starting Inventory Override?|Запуск переопределения инвентаря?

When checked, enables Pearlcat to carry a backspear.|Если этот флажок установлен, Pearlcat может нести копье.

) to deploy, and again to return.|) развернуть и снова вернуться.

Something else new? Allow me to see...|Что-то еще новое? Позвольте мне увидеть...

)|)

- Artwork|- Работа

If you do not plan to provide me with any meaningful data, that is your best course of action;|Если вы не планируете предоставлять мне какие-либо значимые данные, это ваш лучший план действий;

Sentry KB|Sentry KB

If you were able to reach me via the transit system, I can only assume that you may be able to reach others far beyond.|Если вы смогли связаться со мной через транзитную систему, я могу только предположить, что вы сможете достичь других далеко за пределами.

Death is not the end... even death that seems permanent.|Смерть — это не конец... даже смерть, которая кажется постоянной.

I may not have the facilities to aid you, however...|У меня может не быть возможности, чтобы помочь вам, однако ...

Prefer to use the custom keybinds below for agility double jump, instead of the default (GRAB + JUMP)|Для двойного прыжка на ловкость лучше использовать пользовательские сочетания клавиш, указанные ниже, вместо стандартных (GRAB + JUMP).

Please... this all I have left... you have so much... ...why take mine?|Пожалуйста... это все, что у меня осталось... у тебя так много... ...зачем забирать мое?

.  .  .|. . .

Keybind for Player 3.|Связка клавиш для третьего игрока.

I remember this one... don't you? Well...|Я помню это... а ты? Хорошо...

...well, given your unique set of skills... if you ever need something read...|... ну, учитывая ваш уникальный набор навыков ... если вам когда -нибудь нужно что -то прочитать ...

You have a knack for finding these pearls, yes?|Ты умеешь находить эти жемчужины, да?

You would be a hard one to forget after all, strange scholar!|В конце концов, вам было бы трудно забыть, странный ученый!

Opens the inventory UI when held, allowing the active pearl to be swapped with the movement keys.|Откроет пользовательский интерфейс инвентаризации при проведении, позволяя поменять активную жемчужину на ключи движения.

Revive Pearl Count|Возродить Жемчужину

Surely it must be another little beast with a pearl for a heart?|Конечно, это должен быть еще один маленький зверь с жемчугом для сердца?

...I am not sure if this is comforting, but...|...Я не уверен, что это утешительно, но...

The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|Сила, которой вы обладаете, завораживает. Я никогда не видел ничего подобного от вашего рода.

Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|Процентный множитель общей видимости Pearlcat влияет на привлекательность хищника. По умолчанию Pearlcat значительно более заметен, чем даже Hunter.

Enables custom keybinds below, as opposed to the default (UP + PICKUP).|Включает пользовательские сочетания клавиш ниже, в отличие от значения по умолчанию (UP + PICKUP).

Button North|Кнопка Север

Chimney Canopy|Навес дымохода

...you can manipulate our storage medium in unforseen ways...|...вы можете манипулировать нашим носителем непредвиденными способами...

Has it really been so long...? And considering your current state, you've been through a lot...|Это действительно так долго ...?И, учитывая ваше текущее состояние, вы многое пережили ...

Ah, I'm sorry... it's wrong to be so invasive, and I shouldn't be so sentimental anyways.|Ах, мне жаль ... это неправильно быть таким инвазивным, и я не должен быть таким сентиментальным.

They are unwell, <PlayerName>, very unwell indeed.|Им нездоровится, <PlayerName>, очень нездоровится.

...ah... are those still a fascination to you? You really are no different from your mother...|... ах ... это все еще увлечение тебе?Ты действительно ничем не отличается от своей матери ...

zbiotr |Zbiotr

Swap Input|Поменять вход

It would be pointless to ask why...|Было бы бессмысленно спрашивать, почему ...

I cannot guarantee anything - these locomotives have not been operational since my facility was placed into lockdown...|Я ничего не могу гарантировать - эти локомотивы не работали, так как мое средство было помещено в блокировку ...

When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Если флажок установлен, заменяет начальные жемчужины параметром ниже. Действует только в начале новой игры, в отличие от переопределения инвентаря?

Custom Agility Keybind?|Пользовательская привязка клавиш Agility?

I... I have nothing more to say...|Я ... мне больше нечего сказать ...

Disable Improved Input Config?|Отключить улучшенную конфигурацию ввода?

Transit System|Транзитная система

Difficulty|Сложность

You...|Ты...

Input a shelter name to have it override where Pearlcat starts a new game.|Введите название убежища, чтобы оно переопределяло место, где Pearlcat начинает новую игру.

...we were built to solve problems. It is a shame not every problem has a solution.|...мы были созданы для решения проблем. Жаль, что не у каждой проблемы есть решение.

...but... I will think on your problem, for now. Perhaps I can find a solution for both of us.|...но... пока я подумаю над твоей проблемой. Возможно, я смогу найти решение для нас обоих.

Cheats|Читы

I can only hope you have not come... to hurt me more.|Я могу только надеяться, что ты пришел не для того, чтобы причинить мне еще большую боль.

I'm kidding, of course! My imagination will suffice, though the curiosity does burn me up inside...|Я шучу, конечно!Моего воображения будет достаточно, хотя любопытство сжигает меня внутри ...

And who is your little friend? They are quite adorable!|А кто твой маленький друг? Они довольно очаровательны!

Disable Shield Effect?|Отключить эффект щита?

Pearls may also be deployed as temporary sentries. Press (GRAB + JUMP + DOWN) to deploy, and again to return.|Жемчужины также могут использоваться в качестве временных часовых. Нажмите (GRAB + JUMP + DOWN), чтобы развернуться, и еще раз, чтобы вернуться.

You seem to be doing well for yourself nonetheless, your tenacity from whatever occurred is admirable!|Кажется, что вы, тем не менее, чувствуете себя хорошо для себя, ваше упорство от того, что произошло, восхитительно!

Pearl Threat Music?|Музыка жемчужной угрозы?

Disable Spear Effect?|Отключить эффект копья?

No, I do not care for your little one.|Нет, я не забочусь о вашей малышке.

...scholar?|... ученый?

Oh... oh no...|О... о нет...

I do enjoy the company of you and your friend though, <PlayerName>.|Тем не менее, мне нравится общество тебя и твоего друга, <PlayerName>.

Shield Recharge Time|Время перезарядки щита

I hope you are staying safe out there...|Надеюсь, ты в безопасности там...

Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|Время в кадрах для срабатывания лазера красной жемчужины после захвата цели. По умолчанию 1,5 секунды.

I already read this one. I can read it again, I suppose.|Я уже прочитал это. Полагаю, я могу прочитать это снова.

I have so little... please don't take... this... this is all I have...|У меня так мало ... пожалуйста, не берите ... это ... это все, что у меня есть ...

My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|Мои надзиратели не успокоились из-за вашего прибытия — у меня сложилось впечатление, что транзитная система почти не работает.

I do not know what to make of this.|Я не знаю, что с этим делать.

So please, bring me more, as long as it isn't too dangerous for you... these visits really are the highlight of my days here...|Так что, пожалуйста, принесите мне больше, если это не слишком опасно для вас ... эти визиты действительно являются основным моментом моих дней здесь ...

Clearly artificial creations. But from where? Sent by who?|Явно искусственные создания. Но откуда? Прислано кем?

Oh... the memories can hurt a little... but I shouldn't well on them.|Ох ... воспоминания могут немного повредить ... но я не должен хорошо на них.

...one which still means a lot to me.|...тот, который до сих пор много значит для меня.

Disable Minor Effects?|Отключить второстепенные эффекты?

pupheart|Кульс

When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|Если флажок установлен, жемчуг больше не будет изменять характеристики, активные или нет, а базовые характеристики будут аналогичны Охотнику.

Sentry P4|Часовой P4

Laser Windup TIme (OLD)|Время лазерного намотчика (старое)

You and your family are always welcome here - please visit often!|Вы и ваша семья всегда рады здесь - пожалуйста, часто посещайте!

GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|ЗЕЛЕНЫЙ символизирует жизненную силу. Каждая сохраненная зеленая жемчужина может оживить одно существо за цикл, включая вас.

