pearlcatScarfA0|珍珠猫围巾A0
Pebbles_AS_PearlBlack|卵石_AS_PearlBlack
pearlcat_flyingclouds|珍珠猫_飞云
Oh, hello! Hello!|哦你好！你好！
pearlcat_spire8|Pearlcat_spire8
Oh, hello <PlayerName>!|哦，你好<玩家名>！
\nThrowSkill |\n投掷技能
ear_r|耳朵_r
GateHologram|门全息图
Button East|巴顿东
arm|手臂
If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to ppass the time.|如果您恰好有空闲时间，我会非常乐意阅读这些珍珠...<LINE>没有太多其他事情可做来打发时间。
SS_S04|SS_S04
Water|水
Button South|巴顿南
body|身体
pearlcat_hudshadow|Pearlcat_hudshadow
You're welcome to stay a while... your ability is fascinating.|欢迎您留下来一段时间……您的能力令人着迷。
loadedsoundeffects/ambient|加载音效/ambien
Intended for fun,\nmay change gameplay significantly!|旨在娱乐，\n可能会显着改变游戏玩法！
Software|软件
Keybind for Player 3.|玩家 3 的按键绑定。
Starting Inventory Override?|开始库存覆盖？
pearlcat_spire4|Pearlcat_spire4
When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|选中后，珍珠将不再授予统计数据更改（无论是主动还是其他），并且基本统计数据设置为与猎人类似。
When checked, disables the camoflague effect granted by an active pearl.|选中后，会禁用活跃珍珠所赋予的迷彩效果。
And who is your little friend? They are quite adorable!|谁是你的小朋友？他们非常可爱！
) & use the (LEFT) & (RIGHT) directional inputs|）并使用（左）和（右）方向输入
Cheats|秘籍
...that pearl you carry, the purple one, where did you find it?|……你带着的那颗珍珠，紫色的，你在哪里找到的？
.NETFramework,Version=v4.8|.NETFramework，版本=v4.8
BigGlyph12|大字形12
But it's best not to dwell on the past, don't you agree <PlayerName>?|但最好不要沉溺于过去，你同意吗<玩家名字>？
Spear Pearl Count|矛珍珠计数
It appears to contain a hymn that once meant a lot to the inhabitants of my city...|它似乎包含一首曾经对我的城市居民意义重大的赞美诗......
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|一次可以存储的最大珍珠数量，包括活跃珍珠。默认值为 9。按住并向上或向下拖动进行更改。
Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|盾珍珠数量（黄色）。仅在库存覆盖时有效？已检查。
PEBBLESWAIT|卵石等待
pixel|像素
PEARLCAT WARP END|珍珠猫经纱末端
When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|选中后，每当珍珠幼崽迷路时，它们都会在下一个周期中在下一个庇护所重生。
Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|珍珠猫的好奇心永无止境，他们再次冒险<LINE>追求扩大他们的收藏
LizardBubble6|蜥蜴泡泡6
Ah, yet another one? You are even better at finding these than I imagined...|啊，还有一个吗？你比我想象的更擅长找到这些......
scarf|围巾
Disable Minor Effects?|禁用次要效果？
DM|DM
.meta|.元
pearlcat_7|珍珠猫_7
pearlcat_topshutter|Pearlcat_topshutter
legs|腿
PEARLCAT PEBBLES MEETING: |珍珠猫卵石会议​​：
pearlcat_3|珍珠猫_3
pearlcat_light1|珍珠猫_light1
\nLungsFac |\n肺Fac
DschockHorizontalRight|Dschock水平右
oa_daze_max_speed|oa_daze_最大速度
Background|背景
I do not have much else to occupy my time with these days...|这些天我没有太多其他的时间可以消磨……
Ah. So you've returned.|啊。所以你回来了。
Disable Spear Effect?|禁用长矛效果？
Disable Revive Effect?|禁用复活效果？
haloGlyph5|晕字形5
_MultiplyColor|_多重颜色
), or the triggers on controller|)，或控制器上的触发器
JaggedSquare|锯齿方形
train_view_yshift|train_view_yshift
I have nothing for you, I'm afraid... but I hope you find the answers you seek.|恐怕我没有什么可以给你的……但我希望你能找到你想要的答案。
Slugcat_Pearlcat|鼻涕虫_珍珠猫
A curious scholar with the unusual ability to harness pearls to their advantage.<LINE><LINE>Configure inputs, difficulty, cheats and more via the Remix config!<LINE><LINE>More Slugcats is optional, but strongly recommended.|一位好奇的学者，拥有利用珍珠发挥优势的非凡能力。<LINE><LINE>通过 Remix 配置来配置输入、难度、作弊等！<LINE><LINE>更多 Slugcats 是可选的，但强烈推荐。
Four! Well, if you insist...|四！好吧，如果你坚持的话...
This one again? I have better things to do... but...|又是这个？我还有更重要的事情要做……但是……
daze_duration|发呆持续时间
Something else new? Allow me to see...|还有什么新东西吗？让我看看...
And why... to me?|为什么……对我来说？
---------------------------------------------------------------|-------------------------------------------------- -------------
pearlcat_cloak|珍珠猫斗篷
T1_CAR0|T1_CAR0
Scarf|围巾
pearlcat|珍珠猫
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|选中后，Pearlcat 的外观将被禁用，旨在允许通过 DMS 自定义精灵。这不包括珍珠本身。
Player 1|玩家1
): swap out a pearl, or change the limit in the Remix options|)：更换珍珠，或更改混音选项中的限制
