START|COMEÇAR
GAME VERSION: {RainWorld.GAME_VERSION_STRING}\n|Versão do jogo: {Rainworld.game_version_string} \ n
You're welcome to stay a while... your ability is fascinating.|Fique à vontade para ficar um pouco... sua habilidade é fascinante.
1: |1:
\r\n|\r\n
PEARLPUP|Pearlpup
{nameof(SaveMiscProgression.ActivePearlColor)}: {pearlcatMiscProg.ActivePearlColor}\n|{nameof (savemiscProgression.activePearlColor)}: {PearlcatmiscProg.activePearlColor} \ n
This one again? I have better things to do... but...|Este de novo? Tenho coisas melhores para fazer, mas...
feet|pés
sleeve|manga
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle. Does not save over the current inventory - it is returned to when unchecked.|Quando verificado, define o inventário para os números especificados de pérolas coloridas abaixo de cada ciclo.Não economiza sobre o inventário atual - ele é devolvido quando desmarcado.
I'll be waiting right here - not like I can go far, anyways~|Estarei esperando aqui - não como se eu pudesse ir longe, de qualquer maneira ~
SU|SU
Pearlcat|Pearlcat
When checked, all tutorials will be disabled.|Quando marcada, todos os tutoriais serão desativados.
Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|Sua curiosidade insaciável, Pearlcat se aventura mais uma vez em <LINE>em busca de expandir sua coleção
PEARLCAT STATISTICS SCREEN: |Tela de estatísticas Pearlcat:
I'll always enjoy your company... it gets lonely out here.|Sempre apreciarei sua empresa ... fica sozinho aqui.
And now here you are, with a perfect copy.|E agora aqui está você, com uma cópia perfeita.
I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|Suponho que a única coisa que você valoriza nessas pérolas é a pureza de sua estrutura? Vou substituí-lo por um muito mais refinado do que este.
{Plugin.MOD_ID}:sentry_pearl|{Plugin.mod_id}: Sentry_pearl
Number of revive pearls (green). Effective only when Inventory Override? is checked.|Número de pérolas reviver (verde). Efetivo somente quando Substituição de estoque? está checado.
Sentry Pearl|Sentry Pearl
...there is nothing I can do for your pup at present. I am sorry. I will... think on it.|...não há nada que eu possa fazer por seu filhote no momento. Sinto muito. Eu vou... pensar nisso.
_sprites|_sprites
Intro6|Intro6
Player Hooks IL Exception: \n|O jogador ganha a exceção: \ n
Geahgeah |Geahgeah
There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|Não há nada que eu possa fazer para impedi-lo, então aqui está o meu pedido:<LINE>Deixe-me em paz ou acabe com isso rapidamente.
You... I still remember what you did.|Você ... eu ainda me lembro do que você fez.
Deploys the active pearl as a sentry, or returns it if it is already deployed.|Implanta a pérola ativa como uma sentinela ou a devolve se já estiver implantada.
))}\n|))} \ n
{Plugin.MOD_ID}:swap_pearl|{Plugin.mod_id}: swap_pearl
If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to pass the time.|Se você tiver um momento de sobra, ficaria mais do que feliz em ler essas pérolas ... <line> Não há muito mais o que fazer para passar o tempo.
View|Visualizar
GW|GW
Foreground|Primeiro plano
slime-cubed.slugbase|slime-cubed.slugbase
) with an active common pearl to convert it into a pearl spear|) com uma pérola comum ativa para convertê-la em uma lança de pérola
pearlcat_sentryhalo|pearlcat_sentryhalo
PFace|Face
pearlpup_sleeve|Pearlpup_sleeve
I still don't have much to offer, sadly... aside from my pearl readings, and company of course! ~|Ainda não tenho muito a oferecer, infelizmente ... além das minhas leituras de pérolas e da companhia, é claro!~
pearlcat_9|pearlcat_9
Number of rage pearls (red). Effective only when Inventory Override? is checked.|Número de pérolas de raiva (vermelhas). Efetivo somente quando Substituição de estoque? está checado.
Ability P3|Habilidade p3
LC|CL
Please... this all I have left... you have so much... ...why take mine?|Por favor... isso tudo que me resta... você tem tanto... ...por que tirar o meu?
{nameof(SaveMiscProgression.IsMSCSave)}: {pearlcatMiscProg.IsMSCSave}\n|{Nameof (SavemiscProgression.ismscSave)}: {PearlcatmiscProg.ismscSave} \ n
Old Red Pearl Ability?|Capacidade de pérola vermelha velha?
SLUGBASE VERSION: {ModManager.ActiveMods.FirstOrDefault(x => x.id == |Versão slugbase: {modmanager.activeMods.firstordefault (x => x.id ==
Assembly-CSharp|Montagem-CSharp
You are welcome to stay as long as you like. Anything to ease the pain.|Você está convidado a ficar o tempo que quiser. Qualquer coisa para aliviar a dor.
pearlcat_light0|pearlcat_light0
Button West|Botão Oeste
Clearly artificial creations. But from where? Sent by who?|Criações claramente artificiais. Mas de onde? Enviado por quem?
Feet|Pés
This illness, it is unlike any I have seen before - I can say it is likely fatal.|Esta doença é diferente de qualquer outra que já vi antes - posso dizer que é provavelmente fatal.
Pebbles_AS_PearlBlack|Pebbles_AS_PearlBlack
CRS VERSION: {ModManager.ActiveMods.FirstOrDefault(x => x.id == |Versão CRS: {modmanager.activemods.firstordefault (x => x.id ==
T1_S01|T1_S01
face|face
The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|A vastidão além seria um lugar seguro para você criar sua família - e ficar longe dos meus negócios.
{nameof(SaveMiscProgression.JustAscended)}: {pearlcatMiscProg.JustAscended}\n|{nameof (savemiscProgression.JustasCended)}: {PearlcatmiscProg.JustasCended} \ n
pearlcat_spire4|pearlcat_spire4
{Plugin.MOD_ID}:store_pearl|{Plugin.mod_id}: store_pearl
So curious...|Tão curioso...
DistantBkgObjectAlpha|DistantBkgObjectAlpha
pearlcatSleeve0|pearlcatSleeve0
I hope the cycles have been treating you well... it must be hard to take care of eachother out there.|Espero que os ciclos estejam te tratando bem... deve ser difícil cuidar uns dos outros por aí.
Let us see what- oh, again?|Vamos ver o que- oh, de novo?
pearlcat_structure5|pearlcat_structure5
pearlcat_glyphheart|Pearlcat_glyphheart
trueend|Truend
Read this one too? Yes, yes, here it is...|Leu este também? Sim, sim, aqui está...
I think I may still have some use left after all!~|Acho que ainda posso ter alguma utilidade, afinal!~
Release|Liberar
However, given a lack of other options, this is the best I can do.|No entanto, dada a falta de outras opções, essa é a melhor que posso fazer.
Custom keybind to perform certain pearl abilities, configure which use the custom bind in Pearlcat's Remix config.|O KeyBind personalizado para executar certas habilidades de pérolas, configure que usam o vínculo personalizado na configuração Remix do Pearlcat.
{nameof(SaveMiscWorld.PearlIDsBroughtToPebbles)}: {string.Join(|{nameof (savemiscworld.pearlidsbreoughttopebbles)}: {string.join (
What do you want? To take away more of my life...?|O que você quer? Tirar mais da minha vida...?
OE_|OE_
Disable Camoflague Effect?|Desativar o efeito de camuflagem?
-|-
pearlcat_support|pearlcat_support
pearlcat_clouds|pearlcat_clouds
{nameof(SaveMiscWorld.PebblesMeetCount)}: {pearlcatMiscWorld.PebblesMeetCount}\n|{nameof (savemiscworld.pebblesmeetCount)}: {Pearlcatmiscworld.pebblesmeetCount} \ n
Intro6_Mira|Intro6_mira
strange|estranho
I do enjoy the company of you and your friend though, <PlayerName>.|Eu gosto da companhia de você e de seu amigo, <PlayerName>.
body|corpo
Oh...? Hello! Hello...|Oh...?Olá!Olá...
But it's best not to dwell on the past, don't you agree <PlayerName>?|Mas é melhor não ficar pensando no passado, não concorda <PlayerName>?
PEBBLESWAIT|PEBBLESWAIT
PEARLCAT|Pearlcat
) & use the (LEFT) & (RIGHT) directional inputs|) e use as entradas direcionais (ESQUERDA) e (DIREITA)
- Chinese Translation|- Tradução chinesa
q|q
...help... please...|...ajuda por favor...
Sentry P3|Sentry P3
In any case, you are welcome to stay as long as you like. Anything to ease the pain.|De qualquer forma, você pode ficar o tempo que quiser. Qualquer coisa para aliviar a dor.
Oh, hello <PlayerName>!|Olá, <PlayerName>!
Play around with sentries to see what they do!|Brinque com as sentinelas para ver o que elas fazem!
Extra Cheats|Truques extras
ear_r|orelha_r
CC|CC
{nameof(SaveMiscProgression.HasOEEnding)}: {pearlcatMiscProg.HasOEEnding}\n|{nameof (savemiscProgression.hasoending)}: {PearlcatmiscProg.hasoending} \ n
NA_19 - Halcyon Memories|NA_19 - Memórias Halcyon
!PEARLCAT DEBUG INFO LOG!\n|! Log de informações de depuração de Pearlcat! \ N
, pearlcatMiscProg.StoredPearlColors)}\n|, PearlcatmiscProg.StoredPearlColors)} \ n
If you were able to reach me via the transit system, I can only assume that you may be able to reach others far beyond.|Se você conseguiu me alcançar através do sistema de trânsito, só posso assumir que você pode alcançar os outros muito além.
Pebbles_AS_PearlGreen|Pebbles_AS_PearlGreen
I very much enjoy the company though... you and your little friend are always welcome here.|Mas eu gosto muito da companhia... você e seu amiguinho são sempre bem-vindos aqui.
Keybind to swap to the stored pearl to the left. Limited to Player 1.|Keybind para trocar para a pérola armazenada à esquerda. Limitado ao Jogador 1.
{Plugin.MOD_ID}:swap_right|{Plugin.mod_id}: swap_right
...well, given your unique set of skills... if you ever need something read...|... bem, dado seu conjunto único de habilidades ... se você precisar de algo lido ...
pearlcat_spire5|pearlcat_spire5
Disable Shield Effect?|Desativar efeito de escudo?
Basic|básico
He is much better equipped than me at present - I would recommend paying him a visit, if you can.<LINE>Although he was not designed as a medical facility, he may be able to aid you, in some way.|Ele está muito melhor equipado do que eu no momento - eu recomendaria fazer uma visita a ele, se puder.<LINE>Embora ele não tenha sido projetado para ser um centro médico, ele pode ajudá-lo de alguma forma.
Transit System|Sistema de trânsito
Ability P2|Habilidade P2
I do enjoy the company though... it gets lonely out here.|Mas eu gosto da companhia... fica solitário aqui fora.
- Floppy Ears, Scarf|- Orelhas de abano, Cachecol
pearlcat_structure6|pearlcat_structure6
PlayerArm|PlayerArm
0.0|0,0
AS|COMO
PREVENTED PEARLPUP GRASP RELEASE|Liberação de Grass de Pearlpup
T1_CAR2|T1_CAR2
SB_L01|SB_L01
When checked, enables Pearlcat to carry a backspear.|Quando marcada, permite que Pearlcat carregue uma lança traseira.
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Quando marcada, substitui as pérolas iniciais pela opção abaixo. Eficaz apenas no início de um novo jogo, ao contrário do Inventory Override?
- Dialogue, SFX|- Diálogo, SFX
You're more than welcome to stay a while... your ability will always be a miracle to me...|Você é mais do que bem -vindo para ficar um pouco ... sua capacidade sempre será um milagre para mim ...
...hello?|...olá?
BigGlyph2|BigGlyph2
pearlcat_structure4|pearlcat_structure4
NON-MSC|NÃO-MSC
pearlpup_face|pearlpup_face
Scarf|Lenço
You are just a lot to take in for little old me! A fascinating power, the gift of communication;|Você é apenas muito o que apreciar para me velho!Um poder fascinante, o dom da comunicação;
Menu|Cardápio
Is the implant... painful? Not that it matters, of course. Just noting some common ground.|O implante é doloroso?Não que isso importa, é claro.Apenas observando algum terreno comum.
Disable Agility Effect?|Desativar o efeito de agilidade?
Hold (GRAB) with an active common pearl to convert it into a pearl spear|Segure (GRAB) com uma pérola comum ativa para convertê-la em uma lança de pérola
Hips|Quadris
Agility Pearl Count|Contagem de pérolas de agilidade
Software|Programas
1.2.1|1.2.1
Has it really been so long...? And considering your current state, you've been through a lot...|Já faz tanto tempo ...?E considerando seu estado atual, você passou por muita coisa ...
Custom Keybind?|Tecla de atalho personalizada?
SL|SL
So curious... I wonder what it is you're searching for?|Tão curioso... Eu me pergunto o que é que você está procurando?
Ah. So you've returned.|Ah. Então você voltou.
Pebbles_AS_PearlBlue|Pebbles_AS_PearlBlue
_MultiplyColor|_MultiplyColor
I've accepted my fate - and one day, you will meet an end too...|Aceitei meu destino - e um dia você também encontrará um fim ...
pearlcat_shieldsentry|pearlcat_shieldsentry
Compact Inventory HUD?|HUD de inventário compacto?
I very much enjoy the company though... you and your family are always welcome here.|Eu gosto muito da empresa ... você e sua família são sempre bem -vindos aqui.
Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|Tempo em quadros que o escudo de pérola amarela leva para recarregar após a ativação. Padrão 40 segundos.
And just who might you be?|E quem poderia ser você?
I am so sorry.|Sinto muito.
pearlcat_5|pearlcat_5
And who is your little friend? They are...|E quem é seu amiguinho? Eles são...
I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|Suponho que, visto que você não pode ler as informações armazenadas neles, posso lê-los para você, se desejar.
pearlcat_spire8|pearlcat_spire8
Shield Recharge Time|Tempo de recarga do escudo
The surviving scholar returns once more... how poetic.|O estudioso sobrevivente retorna mais uma vez ... que poético.
283b2c|283B2C
Button North|Botão Norte
R-Stick|R-stick
Keybind to swap to the stored pearl to the right. Limited to Player 1.|Keybind para trocar para a pérola armazenada à direita. Limitado ao Jogador 1.
PEARLCAT LOG DEBUG INFO ERROR: \n|Pearlcat Log Debug Informações Erro: \ n
pearlactivehalo|halo perolado
Press (JUMP + GRAB) while in the air to perform a double jump|Pressione (JUMP + GRAB) enquanto estiver no ar para executar um salto duplo
I... I have nothing more to say...|Eu ... não tenho mais nada a dizer ...
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|AMARELO simboliza proteção. Cada pérola amarela armazenada fornecerá uma carga de escudo
Oh, hello! Hello...|Oh, olá!Olá...
And a third? So it is...|E um terceiro? Então é...
If you do not plan to provide me with any meaningful data, that is your best course of action;|Se você não planeja me fornecer nenhum dado significativo, esse é o seu melhor curso de ação;
pearlcat_structure1|pearlcat_structure1
Hello again.|Olá de novo.
MSC: {ModManager.MSC}\n|MSC: {ModManager.msc} \ n
ca471b|CA471B
{nameof(SaveMiscProgression.HasTrueEnding)}: {pearlcatMiscProg.HasTrueEnding}\n|{nameof (savemiscProgression.hastruending)}: {PearlcatmiscProg.hastruending} \ n
To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|Para recuperar as pérolas, mantenha a mão principal vazia e segure (GRAB + UP)
Pearlpup|Pearlpup
...that pearl you carry, the purple one, where did you find it?|...aquela pérola que você carrega, a roxa, onde você achou?
Ah... you seem, familiar...? ...but in such a strange way...|Ah ... parece familiar ...?... mas de uma maneira tão estranha ...
VERSION WARNING<LINE>Mira Installation requires Pearlcat version 1.3.0 or above! Please update...|Versão AVISO <Linha> A instalação do Mira requer o Pearlcat versão 1.3.0 ou superior!Por favor atualize...
GATE_UW_LC|GATE_UW_LC
Oh, and for direction - there is a gate to the far west of here, where the ground fissures...|Ah, e para orientação - há um portão no extremo oeste daqui, onde o solo se divide...
Ah, I hope you both stay safe out there...|Ah, espero que vocês dois fiquem seguros por aí...
pearlpup_head|pearlpup_head
by|por
pearlcat_daysky|pearlcat_daysky
zbiotr |zbiotr
(unfortunately for Pearlpup to spawn, it requires the Downpour DLC to be enabled)|(Infelizmente para o Pearlpup Spown, exige que o DLC da chuva seja ativado)
You have a knack for finding these pearls, yes?|Você tem jeito para encontrar essas pérolas, não é?
RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|VERMELHO simboliza o poder. Com uma pérola vermelha ativa, a criatura hostil mais próxima será o alvo
Another? And I shall read this one to you as well...|Outro? E vou ler este para você também...
pearlpup_feet|Pearlpup_feet
pearlcat_spire2|pearlcat_spire2
Welcome back, you two!|Bem-vindos de volta, vocês dois!
Some time ago now, I encountered a scholar and their dying pup...|Algum tempo atrás agora, encontrei um estudioso e seu filhote moribundo ...
pupheartcore|pupheartcore
Legs|pernas
pearlcat_hudpearl|pearlcat_hudpearl
You are... so familiar...|Você é ... tão familiar ...
Mira Installation requires Pearlcat version 1.3.0 or above! Please update...|A instalação do Mira requer Pearlcat versão 1.3.0 ou acima!Por favor atualize...
pearlcat_hudlockedshortcut|pearlcat_hudlockedshortcut
{nameof(SaveMiscProgression.HasPearlpup)}: {pearlcatMiscProg.HasPearlpup}\n|{nameof (savemiscProgression.haspearlpup)}: {PearlcatmiscProg.haspearlpup} \ n
My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|Meus supervisores não fizeram as pazes com a sua chegada - eu tinha a impressão de que o sistema de trânsito estava quase inoperante.
ERROR UPDATING SAVE ON CYCLE COMPLETION:\n|Erro Atualização Salvar na conclusão do ciclo: \ n
Songs|Músicas
): swap out a pearl, or change the limit in the Remix options|): troque uma pérola ou altere o limite nas opções Remix
Who... who is there?|Quem ... quem está lá?
You're more than welcome to stay a while... your ability will always be a little miracle to me...|Você é mais do que bem -vindo para ficar um pouco ... sua capacidade sempre será um pouco milagre para mim ...
Your survival gives me some hope, little one.|Sua sobrevivência me dá alguma esperança, pequena.
T1_CAR1|T1_CAR1
BigGlyph10|BigGlyph10
Otherwise, I must resume my work, it seems the path to my own cure is unfortunately much longer...|Caso contrário, devo retomar meu trabalho, parece que o caminho para minha próprio cura é infelizmente muito mais tempo ...
{nameof(SaveMiscWorld.HasPearlpupWithPlayer)}: {pearlcatMiscWorld.HasPearlpupWithPlayer}\n|{nameof (savemiscworld.haspearlpupwithplayer)}: {Pearlcatmiscworld.haspearlpupwithplayer} \ n
Starting Inventory Override?|Iniciando Substituição de Estoque?
PEARLCAT VERSION: {Plugin.VERSION}\n|Versão Pearlcat: {plugin.version} \ n
pearlpup_scarf|pearlpup_scarf
Sorry, I shouldn't be so intrusive, I am in quite the state myself after all.|Desculpe, eu não deveria ser tão intrusivo, estou em um estado, afinal.
warp|urdidura
BigGlyph11|BigGlyph11
_|_
Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|A qual troca de gatilho do controlador de jogador será aplicada. 0 desativa a troca de gatilho. Segure e arraste para cima ou para baixo para alterar.
...I am not sure if this is comforting, but...|...Não tenho certeza se isso é reconfortante, mas...
I do enjoy the company of you and your friend though, strange scholar.|Gosto da companhia de você e de seu amigo, estranho estudioso.
pearlcat_glyphsentry|pearlcat_glyphsentry
To cycle between pearls, use (|Para alternar entre as pérolas, use (
PEARLCAT MISC WORLD:\n|Pearlcat Misc World: \ n
When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|Quando marcada, a maioria das pérolas (quando ativas) forçará o tema de ameaça para todas as regiões ao tema da região de origem.
Inventory Pings?|Pings de inventário?
...are you alright, little one? The modifications to your body are quite... extreme.|... você está bem, pequeno?As modificações para o seu corpo são bastante ... extremas.
pearlcat_light2|pearlcat_light2
Think of this mutually, I can 'see' a little further outside this can...|Pense nisso mutuamente, eu posso 'ver' um pouco mais além dessa lata...
When checked, disables improved input config support, reverting to Remix config. Exit and re-enter the Remix menu to take effect.|Quando verificado, desativa o suporte de configuração de entrada aprimorado, revertindo para o Remix Config.Saia e reentre o menu Remix para entrar em vigor.
Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|Número de pérolas de escudo (amarelo). Efetivo somente quando Substituição de estoque? está checado.
Pearlcat_Amnesia|Pearlcat_amnesia
UW|UW
MS|EM
The Pearlcat|o Pearlcat
When checked, disables the shield effect granted by an active pearl.|Quando marcada, desativa o efeito de escudo concedido por uma pérola ativa.
I would love to study it, to help treat my own affliction, however it would require... removal of the augment.|Eu adoraria estudá -lo, para ajudar a tratar minha própria aflição, mas exigiria ... remoção do aumento.
pcat_nopup|pcat_nopup
SS_T1_S01|SS_T1_S01
Failed to parse color {objectType} : {ex.Message}|Falha ao analisar a cor {objectType}: {ex.Message}
When checked, disables the spear creation effect granted by an active pearl.|Quando marcado, desativa o efeito de criação de lança concedido por uma pérola ativa.
Joystick[0-9]Button|Joystick[0-9]Botão
Hide Pearls?|Esconder Pérolas?
DistantBkgObject|DistantBkgObject
Start Shelter Override|Iniciar Substituição de Abrigo
3600|3600
{Plugin.MOD_ID}:swap_left|{Plugin.mod_id}: swap_left
...and you have brought your little friend along, of course.|...e você trouxe seu amiguinho junto, é claro.
mayhemmm|desordemmm
Left Bumper|Pára-choques Esquerdo
Your biology... it is both familiar and foreign to me. How curious.|Sua biologia... é familiar e estranha para mim. Que curioso.
Ability P4|Habilidade P4
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...você tem o dom da comunicação!<LINE>Talvez você tenha visitado meu vizinho, Five Pebbles...?
I assure you it will be a more than suitable replacement for your primitive needs.|Garanto que será um substituto mais do que adequado para suas necessidades primitivas.
T1|T1
You. Again. I still remember what you did...|Você. De novo. Ainda me lembro do que você fez...
And a nasty scar, poor thing... I can't imagine where you got that, or even where you came from...?|E uma cicatriz desagradável, coisa pobre ... Não consigo imaginar onde você conseguiu, ou mesmo de onde veio ...?
Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|Número de pérolas de criação de lança (brancas). Efetivo somente quando Substituição de estoque? está checado.
sleep1|Sleep1
Ability Input|Entrada de habilidade
You must be very brave to have made it all the way here. Very brave indeed...|Você deve ser muito corajoso para chegar até aqui. Muito corajoso mesmo...
You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|Você vem de muito longe? Você pode se comunicar conosco, mas a marca que você possui é estranha para mim...
ffffff|ffffff
)?.version ?? |) ?. versão ??
You. I didn't forget...|Você. eu não esqueci...
pearlcat_topshutter|pearlcat_topshutter
.NETFramework,Version=v4.8|.NETFramework,Versão=v4.8
Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|Dano que o laser de cada pérola vermelha causa por tiro. Dano da lança do sobrevivente = 1,0
...ah... are those still a fascination to you? You really are no different from your mother...|... Ah ... esses ainda são um fascínio por você?Você realmente não é diferente da sua mãe ...
TEXT ERROR|ERRO DE TEXTO
664054|664054
I see you have not found a cure for their illness. Not yet...|Vejo que você não encontrou uma cura para a doença deles. Ainda não...
, pearlcatMiscWorld.PearlIDsBroughtToPebbles.Keys)}\n|, Pearlcatmiscworld.pearlidsbreoughttopebbles.keys)} \ n
DS|DS
pearlpup_face_sick|pearlpup_face_sick
\n-------------------\n|\ n ------------------- \ n
_windDir|ventoSor
Water|Água
Disable Tutorials?|Desativar tutoriais?
pearlcat_milock|Pearlcat_milock
SS_AI|SS_AI
To retrieve pearls, have an empty main hand, and hold (|Para recuperar as pérolas, mantenha a mão principal vazia e segure (
3: |3:
And just who might you two be?|E quem vocês dois podem ser?
No, I am not so selfish as to sacrifice you on a whim for this - a cure is not even guaranteed.|Não, eu não sou tão egoísta que o sacrifique por um capricho por isso - uma cura nem é garantida.
...did they have a child? ...could you be?|... eles tiveram um filho?... você poderia ser?
pearlcat_topshutter_night|Pearlcat_topshutter_night
pearlcat_spire9|pearlcat_spire9
The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|O poder que você possui, é fascinante. Nunca vi nada parecido vindo de sua espécie.
1.0.0|1.0.0
...you can manipulate our storage medium in unforseen ways...|...você pode manipular nosso meio de armazenamento de maneiras imprevistas...
Swaps the active pearl to the right.|Troque a pérola ativa para a direita.
pearlcat_structure2|pearlcat_structure2
...we were built to solve problems. It is a shame not every problem has a solution.|...fomos construídos para resolver problemas. É uma pena que nem todo problema tem solução.
I do not know what to make of this.|Eu não sei o que fazer com isso.
22385c|22385C
VANILLA SAVE STATE:\n|Vanilla Save State: \ n
.meta|.meta
pearlcat_hudcooldown|pearlcat_hudcooldown
haloGlyph6|haloGlyph6
Ah, I'm sorry... it's wrong to be so invasive, and I shouldn't be so sentimental anyways.|Ah, me desculpe ... é errado ser tão invasivo, e eu não deveria ser tão sentimental de qualquer maneira.
Alternatively, hold (|Como alternativa, segure (
Welcome back, <PlayerName>!|Bem -vindo de volta, <Playername>!
s|s
Whichever path you take, I hope you find the help that you seek.|Qualquer que seja o caminho que você segue, espero que você encontre a ajuda que procura.
Cheats|Fraudes
...familiar ...help... please...|... familiar ... ajuda ... por favor ...
HUD|HUD
