CANNOT PLAY\n|재생할 수 없습니다.\n
...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|...당신은... 나를 먹었습니다. 가버려. 당신과... 대화하지 않겠습니다.<LINE>나는... 당신과 대화할 수 없습니다... 왜냐면... 당신이... 나를... 먹었기 때문입니다... ...그리고 왜요?
I very much enjoy the company though... you and your little friend are always welcome here.|나는 회사를 매우 좋아하지만... 당신과 당신의 작은 친구는 언제나 환영합니다.
When checked, disables the agility effect granted by an active pearl.|체크하면 활성화된 진주가 부여하는 민첩성 효과를 비활성화합니다.
When checked, disables the rage effect granted by an active pearl.|체크하면 활성화된 진주가 부여하는 분노 효과를 비활성화합니다.
pearlcat_light1|pearlcat_light1
LC|엘씨
OE_|OE_
oa_max_dist|oa_max_dist
pearlcat_over9|pearlcat_over9
max_tail_offset|max_tail_offset
Press (|누르다 (
Elliot|엘리엇
LW_Tower|LW_타워
T1_CAREND|T1_CAREND
Clearly an artifical creation. But from where? Sent by who?|분명히 인공적인 창조물입니다. 하지만 어디에서? 누가 보냈습니까?
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle.|체크하면 인벤토리를 주기마다 지정된 수의 유색 진주로 설정합니다.
Player 1|플레이어 1
DistantBkgObjectAlpha|DistantBkg객체알파
AS-IS|있는 그대로
) while in the air to perform a double jump|) 공중에서 더블 점프를 수행하는 동안
oa_min_time|oa_min_time
puptail|새끼 꼬리
Ah, I hope you both stay safe out there...|아, 두 분 모두 밖에서 안전하시길 바랍니다...
Intended to make gameplay more challenging, may change gameplay significantly!|게임 플레이를 더 어렵게 만들기 위해 게임 플레이를 크게 변경할 수 있습니다!
.  .  .|. . .
face|얼굴
Camo Pearl Count|카모 진주 수
VS|VS
US_Tower|US_타워
I will tolerate your pressence, so long as you bring me something meaningful.|당신이 나에게 의미 있는 무언가를 가져오는 한 나는 당신의 존재를 참을 것입니다.
pearlcat_hudpearl|pearlcat_hudpearl
Menu|메뉴
Slugcat_Pearlcat_Sleep|슬러그캣_펄캣_잠
_MultiplyColor|_MultiplyColor
0.0|0.0
When checked, disables the revive effect granted by an active pearl.|체크 시 활성 진주가 부여하는 소생 효과를 비활성화합니다.
pearlcat_spire8|pearlcat_spire8
Disable Camoflague Effect?|위장 효과를 비활성화하시겠습니까?
So curious...|너무 궁금해...
_atlases|_atlases
Hello! I remember you! I remember...|안녕하세요! 나는 당신을 기억합니다! 기억해...
ruffian|악당
Four! Well, if you insist...|넷! 글쎄, 당신이 주장한다면 ...
1.0.0|1.0.0
LOAD SAVE DATA IN PLAYER MODULE|플레이어 모듈에 저장 데이터 로드
PEARLCAT PEBBLES MEETING: |PEARLCAT 자갈 회의:
When checked, the inventory HUD will be replaced with a more compact version.|선택하면 인벤토리 HUD가 더 작은 버전으로 대체됩니다.
3: |삼:
Pebbles_AS_PearlRed|Pebbles_AS_PearlRed
Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|노란색 진주 보호막이 활성화된 후 재충전되는 데 걸리는 프레임 시간입니다. 기본 40초.
pearlactivehalo|펄액티브할로
Yes, help yourself. They are not edible.|예, 스스로 도와주십시오. 그들은 먹을 수 없습니다.
CC|CC
tail|꼬리
Lolight2|로라이트2
I remember this one... don't you? Well...|이거 기억나는데...아니지? 잘...
5|5
122626|122626
)|)
Disable Agility Effect?|민첩성 효과를 비활성화하시겠습니까?
ear_r_offset|ear_r_offset
When checked, enables Pearlcat to carry a backspear.|선택하면 Pearlcat이 백스피어를 휴대할 수 있습니다.
Trigger Player|트리거 플레이어
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|노란색은 보호를 상징합니다. 저장된 각 노란색 진주는 보호막 충전을 제공합니다.
strings.txt|strings.txt
pearlcat_spire9|pearlcat_spire9
inventory_ui_offset|inventory_ui_offset
oa_max_time|oa_max_time
by|~에 의해
You... I didn't forget...|너... 잊지 않았어...
oa_daze_max_speed|oa_daze_max_speed
\nCorridorClimb |\n복도 오르기
Laser Windup TIme|레이저 와인드업 시간
I would guess they will grow up into quite the scholar themself, someday...|나는 그들이 언젠가는 상당한 학자로 성장할 것이라고 생각합니다 ...
BigGlyph8|BigGlyph8
Assembly-CSharp|어셈블리-CSharp
NON-MSC|비 MSC
LW_Grotto|LW_동굴
Pearl Threat Music?|진주 위협 음악?
Disable Cosmetics?|화장품을 비활성화하시겠습니까?
Button North|버튼 노스
Grab a creature and hold (GRAB) with an active green pearl to revive them|생물을 잡고 활성화된 녹색 진주로 잡아(GRAB) 그들을 소생시키십시오.
Sidera |시데라
Prefer to use the custom keybinds below for spear creation.|창 생성을 위해 아래의 사용자 지정 키 바인딩을 사용하는 것을 선호합니다.
Noir |느와르
When checked, disables the shield effect granted by an active pearl.|체크 시 활성 진주가 부여하는 보호막 효과를 비활성화합니다.
Disable Spear Effect?|창 효과를 비활성화하시겠습니까?
When checked, all tutorials will be disabled.|선택하면 모든 튜토리얼이 비활성화됩니다.
daze_duration|daze_duration
I do enjoy the company though... it gets lonely out here.|그래도 나는 회사를 즐긴다... 여기 밖에서는 외로워진다.
body|몸
ACK|ACK
4: |4:
pearlactiveplaceholder|진주 활성 자리 표시자
\nThrowSkill |\n스킬 던지기
pearlcat_spire2|pearlcat_spire2
Left Bumper|왼쪽 범퍼
pearlcat_8|pearlcat_8
pearlcat_3|pearlcat_3
RW_Outro_Theme_B|RW_Outro_Theme_B
Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|보호를 제공하기 위해 요금이 소비됩니다. 각 진주는 일정 시간이 지나면 개별적으로 충전을 보충합니다.
pearlcat_hudcooldown|pearlcat_hudcooldown
Hello again.|안녕하세요.
PEBBLESWAIT|페블스웨이트
Extra Cheats|추가 요령
Button South|버튼 사우스
View|보다
License|특허
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|선택하면 Pearlcat의 화장품이 비활성화되어 DMS를 통해 사용자 정의 스프라이트를 허용합니다. 이것은 진주 자체를 포함하지 않습니다.
pearlcat_spire4|pearlcat_spire4
pearlcatScarfA0|진주고양이스카프A0
Slugcat_Pearlcat|슬러그캣_펄캣
I can only hope you have not come... to hurt me more.|당신이 나를 더 아프게 하려고... 오지 않았길 바랄 뿐입니다.
But it's best not to dwell on the past, don't you agree <PlayerName>?|하지만 과거에 연연하지 않는 것이 가장 좋습니다. <PlayerName>님도 동의하지 않으세요?
DESTROY|파괴하다
Hide Pearls?|진주를 숨기시겠습니까?
.NETFramework,Version=v4.8|.NETFramework, 버전=v4.8
Cloak|망토
You have a knack for finding these pearls, yes?|당신은 이 진주를 찾는 요령이 있습니다, 그렇죠?
feet|피트
I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|당신이 이 진주에 대해 가치를 두는 유일한 것은 그들의 격자가 얼마나 순수한가? 이것보다 훨씬 세련된 것으로 대체하겠습니다.
I see you've returned, yet again.|다시 돌아오셨군요.
q|큐
Basic|기초적인
LF|LF
Start Shelter Override|쉘터 오버라이드 시작
HologramBehindTerrain|홀로그램뒤에지형
- Dialogue, SFX|- 대화, SFX
TurtleMan27|터틀맨27
T1_CAR0|T1_CAR0
Disable Revive Effect?|부활 효과를 비활성화하시겠습니까?
ModManager.RefreshModsLists:\n|ModManager.RefreshModsLists:\n
ear_l_offset|ear_l_offset
 - |-
AS|처럼
Hides the visuals of inactive peparls and turns you into... cat.|비활성 peparls의 영상을 숨기고 당신을 ... 고양이로 바꿉니다.
\nRunspeedFac |\nRunspeedFac
Right Bumper|오른쪽 범퍼
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|민첩성 진주의 수(파란색). 재고 무시 시에만 유효합니까? 확인됩니다.
Oracle Hooks Error:\n|Oracle 후크 오류:\n
Geahgeah |게아게아
...you can manipulate our storage medium in unforseen ways...|...예기치 않은 방식으로 저장 매체를 조작할 수 있습니다...
oa_cutoff_dist|oa_cutoff_dist
Keybind for Player 4.|플레이어 4용 단축키.
pearlcat_9|pearlcat_9
Let us see what- oh, again?|다시 볼까요?
To cycle between pearls, use (|진주 사이를 순환하려면 (
Difficulty|어려움
Efi|에피
You. Again. I still remember what you did...|너. 다시. 나는 아직도 당신이 한 일을 기억합니다 ...
Commons|평민
SS_AI|SS_AI
Given your unique abilities, if you are curious as to the contents of those pearls -|당신의 고유한 능력을 감안할 때, 그 진주의 내용물이 궁금하다면-
Hello, again. You are very curious. Very curious indeed.|안녕하세요. 당신은 매우 궁금합니다. 정말 궁금합니다.
pearlactive|펄액티브
Button West|버튼 웨스트
Oh, hello <PlayerName>!|오, 안녕하세요 <PlayerName>님!
Press (JUMP + GRAB) while in the air to perform a double jump|공중에서 (JUMP + GRAB)을 누르면 2단 점프를 합니다.
oa_cutoff_max_speed|oa_cutoff_max_speed
active_object_offset|활성_객체_오프셋
sweat|땀
- Artwork|- 삽화
Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|붉은 진주의 레이저가 대상을 획득한 후 발사되는 프레임의 시간입니다. 기본값은 1.5초입니다.
ear_l|백작
Number of revive pearls (green). Effective only when Inventory Override? is checked.|소생 진주의 수(녹색). 재고 무시 시에만 유효합니까? 확인됩니다.
.txt|.txt
When checked, disables the spear creation effect granted by an active pearl.|체크 시 활성 진주가 부여하는 창 생성 효과를 비활성화합니다.
And who is your little friend? They are quite adorable!|그리고 당신의 작은 친구는 누구입니까? 그들은 꽤 귀엽다!
PlayerArm|PlayerArm
The choice is yours.|선택은 당신의 것입니다.
When checked, some abilties will show the inventory when recharged or depleted.|선택하면 일부 능력이 충전되거나 고갈될 때 인벤토리가 표시됩니다.
pearlcat_spire3|pearlcat_spire3
Revive Pearl Count|리바이브 펄 카운트
oa_min_fric_speed|oa_min_fric_speed
Another? And I shall read this one to you as well...|또 다른? 그리고 나는 이것을 당신에게도 읽어 줄 것입니다 ...
Work|일하다
And a third? So it is...|그리고 세 번째? 그래서...
T1_CAR1|T1_CAR1
Keyboard|건반
Number of camo pearls (black). Effective only when Inventory Override? is checked.|카모 진주 수(검은색). 재고 무시 시에만 유효합니까? 확인됩니다.
300|300
I have tried to reconstruct it from memory many times, fruitlessly.|나는 그것을 기억으로부터 여러 번 재구성하려고 노력했지만 결실을 맺지 못했습니다.
OnModsInit:\n|OnModsInit:\n
TitleCard_Pearlcat|TitleCard_Pearlcat
2: |2:
The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|당신이 가진 힘, 그것은 매혹적입니다. 나는 당신과 같은 종류의 것을 본 적이 없습니다.
Disable Tutorials?|튜토리얼을 비활성화하시겠습니까?
.NET Framework 4.8|.NET 프레임워크 4.8
Failed to parse color {objectType} : {ex.Message}|색상 {objectType} 구문 분석 실패: {ex.Message}
GateHologram|게이트홀로그램
Cheats|치트
Disable Rage Effect?|분노 효과를 비활성화하시겠습니까?
Shield Pearl Count|방패 진주 수
Intro_Roll_C_|Intro_Roll_C_
Your biology... it is both familiar and foreign to me. How curious.|당신의 생물학... 그것은 나에게 익숙하면서도 낯설다. 얼마나 궁금합니다.
A curious scholar with the unusual ability to harness pearls to their advantage.<LINE><LINE>Configure inputs, difficulty, cheats and more via the Remix config!<LINE><LINE>More Slugcats is optional, but strongly recommended.|진주를 활용하는 비범한 능력을 가진 호기심 많은 학자입니다.<LINE><LINE>Remix 구성을 통해 입력, 난이도, 치트 등을 구성하세요!<LINE><LINE>더 많은 Slugcats는 선택 사항이지만 적극 권장합니다.
tail_segment_velocities|tail_segment_velocities
pearlcat_2|pearlcat_2
PostModsInit:\n|PostModsInit:\n
SL|에스엘
This one again? I have better things to do... but...|이거 또? 더 좋은 일이 있지만...
Something new to read... it has been too long...|새로운 걸 읽을 수 있어... 너무 오래됐어...
moreslugcats|더 많은 슬러그캣
haloGlyph6|할로글리프6
pearlcat_4|pearlcat_4
Oh, and for direction - there is a gate to the far west of here, where the ground fissues...|아, 그리고 방향을 알려드리자면 여기서 서쪽 끝으로 땅이 갈라지는 문이 있습니다...
), or the triggers on controller|) 또는 컨트롤러의 트리거
Spear Pearl Count|스피어 펄 카운트
BigGlyph11|빅글리프11
sleeve|소매
Custom Spear Keybind?|커스텀 스피어 키바인드?
Midground|미드그라운드
TheSacrifice|희생
Get... get away... strange... thing.|가... 가... 이상한... 것.
DschockHorizontalRight|Dschock수평오른쪽
You must be very brave to have made it all the way here. Very brave indeed...|여기까지 오셨다니 정말 용감하시네요. 정말 용감하다...
T1_CAR3|T1_CAR3
Feet|피트
The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|그 너머는 당신이 가족을 키우고 내 사업에서 멀리 떨어져 있을 수 있는 안전한 장소가 될 것입니다.
Background|배경
There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|내가 당신을 막을 수 있는 방법은 없습니다. 그래서 제 요청은 다음과 같습니다.<LINE>날 가두거나 빨리 끝내세요.
mergedmods|mergedmods
LC_T1_S01|LC_T1_S01
Water|물
- Floppy Ears, Scarf|- 플로피 귀, 스카프
Hello again, <PlayerName>!|안녕하세요, <PlayerName> 님!
Back again? You do visit often...|다시? 자주 방문하시네요...
pearlcat_structure2|pearlcat_structure2
TEXT ERROR|텍스트 오류
.png|.png
pearlcat_5|pearlcat_5
MergeFix Error:\n|병합 수정 오류:\n
head|머리
com.rainworldgame.garrakx.crs.mod|com.rainworldgame.garrakx.crs.mod
And why... to me?|그리고 왜... 나한테?
I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|나는 당신이 그것들에 저장된 정보를 읽을 수 없기 때문에 당신이 원한다면 내가 당신을 위해 그것들을 읽을 수 있다고 생각합니다.
---------------------------------------------------------------|-------------------------------------------------- -------------
Pearlcat|펄캣
pearlcat_structure5|pearlcat_structure5
pearlcat_hudshadow|pearlcat_hudshadow
LW_Coast|LW_Coast
The Pearlcat|펄캣
\nPoleClimb |\n폴 클라이밍
Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|채울 수 없는 호기심, Pearlcat은 컬렉션 확장을 위해<LINE>다시 한 번 모험을 떠납니다.
Joystick[0-9]Button|조이스틱[0-9]버튼
Keybind to swap to the stored pearl to the left. Limited to Player 1.|왼쪽에 저장된 진주로 교체할 키바인드. 플레이어 1로 제한됩니다.
Pebbles_AS_PearlGreen|Pebbles_AS_PearlGreen
You're welcome to stay a while... your ability is fascinating.|잠시 머물다 가세요... 당신의 능력은 매력적입니다.
I have nothing for you, I'm afraid... but I hope you find the answers you seek.|유감스럽게도 나는 당신에게 줄 것이 없습니다... 하지만 당신이 원하는 답을 찾길 바랍니다.
Rage Pearl Count|레이지 펄 카운트
What do you want? To take away more of my life...?|당신은 무엇을 원하십니까? 내 인생을 더 빼앗기 위해...?
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|선택하면 아래 옵션으로 시작 진주를 재정의합니다. Inventory Override와 달리 새 게임을 시작할 때만 효과적입니까?
BigGlyph6|빅글리프6
WillowWisp|윌로우위스프
Swap Input|입력 바꾸기
Input a shelter name to have it override where Pearlcat starts a new game.|Pearlcat이 새 게임을 시작하는 위치를 재정의하려면 대피소 이름을 입력하세요.
pearlcat_daysky|pearlcat_daysky
 SAVE|구하다
oa_cutoff_min_speed|oa_cutoff_min_speed
Oh, hello! Hello!|오 안녕하세요! 안녕하세요!
You. I didn't forget...|너. 잊지 않았어...
Cloud|구름
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|수수께끼 같은 에너지와 지식에 대한 갈증으로 무장한 모호한 출신의 학자입니다.<LINE>신체는 약하지만 진주를 아군으로 삼고 있습니다. 여행 중에 무엇을 발견하게 될까요?
soundeffects/ambient|음향 효과/주변
pearlcat|펄캣
pearlcat_glyphcooldown|pearlcat_glyphcooldown
Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|각 레드 펄의 레이저는 샷당 피해를 입힙니다. 생존자 창 손상 = 1.0
T1_S01|T1_S01
Laser Damage|레이저 손상
slime-cubed.slugbase|슬라임 큐브.슬러그베이스
Version|버전
pearlcat_structure3|pearlcat_structure3
pearlcat_flyingclouds|pearlcat_flyingclouds
... |...
Enables custom keybinds below, as opposed to the default (UP + PICKUP).|기본값(UP + PICKUP)과 달리 아래의 사용자 지정 키 바인딩을 활성화합니다.
scarf|스카프
Waiver|기권
Accent|악센트
1: |1:
pupear_r|pupear_r
oa_min_speed|oa_min_speed
Welcome back, I suppose.|다시 오신 것을 환영합니다.
-----------------------------------------|-----------------------------------------
strange|이상한
SS_S04|SS_S04
pearlcat_spear|pearlcat_spear
Visibility Multiplier|가시성 승수
Music|음악
JaggedSquare|들쭉날쭉한 사각형
-------------------|-------------------
Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|방패 진주의 수(노란색). 재고 무시 시에만 유효합니까? 확인됩니다.
Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|창 생성 진주의 수(흰색). 재고 무시 시에만 유효합니까? 확인됩니다.
Looping SFX Error, Outsider often likes to cause this:\n|루핑 SFX 오류, 아웃사이더는 종종 다음과 같은 원인을 좋아합니다.\n
pixel|픽셀
Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|붉은 진주의 레이저가 발사 후 재충전되는 프레임의 시간입니다. 기본값은 1.5초입니다.
Storage limit reached (|스토리지 한도 도달(
Player 2|플레이어 2
Clearly artificial creations. But from where? Sent by who?|분명히 인공적인 창조물입니다. 하지만 어디에서? 누가 보냈습니까?
I do not know what to make of this.|나는 이것에 대해 무엇을 해야할지 모르겠습니다.
3.0|3.0
So curious... I wonder what it is you're searching for?|너무 궁금해서요... 당신이 찾고 있는 것이 무엇인지 궁금합니다.
Prefer to use the custom keybinds below for agility double jump.|민첩성 이중 점프를 위해 아래의 사용자 지정 키 바인딩을 사용하는 것이 좋습니다.
NA_19 - Halcyon Memories|NA_19 - Halcyon 추억
bro.mergefix|bro.mergefix
All times here are in frames.\n40 frames = 1 second.|여기에 있는 모든 시간은 프레임 단위입니다.\n40프레임 = 1초입니다.
T1_END|T1_END
I do enjoy the company of you and your friend though, <PlayerName>.|그래도 당신과 당신의 친구와 함께 있는 것이 즐겁습니다, <PlayerName>.
Sleeve|소매
Pebbles_SS_Pearlcat|자갈_SS_펄캣
legs|다리
When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|선택하면 진주는 더 이상 활성 여부에 관계없이 능력치 변경을 부여하지 않으며 기본 능력치는 헌터와 유사하게 설정됩니다.
SB|SB
APPLIED MERGEFIX|적용된 MERGEFIX
You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|당신은 나에게 꽤 공포를 주었다! 요즘 방문자가 자주 없네요;<LINE>대화할 수 있는 당신과 같은 방문자는 훨씬 적습니다...
YOU!|너!
BigGlyph2|빅글리프2
pearlcat_hudcircle|pearlcat_hudcircle
CloudDistant|CloudDistant
_textures|_텍스처
HUD|HUD
arm|팔
Please... this all I have left... you have so much... ...why take mine?|제발... 이게 내가 남긴 전부... 당신은 너무 많이... ...왜 내 것을 가져가나요?
...that pearl you carry, the purple one, where did you find it?|...네가 가지고 다니는 그 진주, 보라색 진주, 어디서 찾았니?
_sprites|_sprites
\nDoes not save over the current inventory - it is returned to when unchecked.|\현재 재고를 저장하지 않습니다. 선택하지 않으면 반환됩니다.
If only I had my memories, I might have a clue...|기억만 있다면 단서가 있을지도...
\r\n|\r\n
Compact Inventory HUD?|컴팩트 인벤토리 HUD?
oa_max_fric_mult|oa_max_fric_mult
Atlas not found! ({uniqueName})|아틀라스를 찾을 수 없습니다! ({고유 이름})
Store Input|입력 저장
Player 3|플레이어 3
Pearlpup Respawn?|펄프 리스폰?
PEARLCAT WARP END|펄캣 워프엔드
) & use the (LEFT) & (RIGHT) directional inputs|) & (왼쪽) 및 (오른쪽) 방향 입력 사용
...one which still means a lot to me.|...여전히 저에게 큰 의미가 있는 것입니다.
Pebbles_AS_PearlYellow|Pebbles_AS_PearlYellow
But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|하지만... 당신이 가지고 있는 표식은, 매우 이례적입니다.<LINE>현지 그룹의 누구도 부여할 수 없는 것입니다...
Disable Shield Effect?|실드 효과를 비활성화하시겠습니까?
And now here you are, with a perfect copy.|이제 완벽한 사본이 있습니다.
...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...오? 그것들을 가져가라, 그것들이 담고 있는 데이터는 나에게 가치가 없다. 나는 그들이 당신에게 훨씬 더 유용 할 것 같아요 ...
1.0.0.0|1.0.0.0
pearlcat_light2|pearlcat_light2
pearlcat_0|pearlcat_0
General|일반적인
GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|GREEN은 생명력을 상징합니다. 저장된 각 녹색 진주는 주기당 당신을 포함하여 한 생물을 소생시킬 수 있습니다.
Keybind for Keyboard.|키보드용 키바인드.
When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|선택하면 대부분의 진주(활성화 시)는 모든 지역의 위협 테마를 원래 있던 지역의 테마로 강제 설정합니다.
Something else new? Allow me to see...|다른 새로운 것이 있습니까? 볼 수 있게 해주세요...
pearlcat_1|pearlcat_1
#|#
MSC|MSC
SH|쉿
I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|특히 당신의 독특한 능력을 감안할 때<LINE>당신이 가져온 진주를 읽는 것이 여전히 행복합니다.
Hips|엉덩이
pearlcat_6|pearlcat_6
To retrieve pearls, have an empty main hand, and hold (|진주를 회수하려면 빈 주손으로 (
If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to ppass the time.|시간이 있으시다면 기꺼이 그 진주를 읽어 드리겠습니다...<LINE>시간을 보내기 위해 할 일이 별로 없습니다.
pearlcat_structure4|pearlcat_structure4
Body|몸
And just who might you be?|그리고 당신은 누구일까요?
Keybind for Player 2.|플레이어 2용 단축키.
PEARLCAT WARP|펄캣 워프
3600|3600
_windDir|윈드서
And just who might you two be?|그리고 두 분은 누구일까요?
Disable Minor Effects?|사소한 효과를 비활성화하시겠습니까?
pupear_l|pupear_l
Head|머리
BigGlyph10|빅글리프10
Slugcat_Pearlcat_Ascended|슬러그캣_펄캣_어센디드
DS|DS
Nevermind... this anger is useless...|신경쓰지마라... 이 분노는 소용없다...
OE_SEXTRA|OE_SEXTRA
Number of rage pearls (red). Effective only when Inventory Override? is checked.|분노 진주의 수(빨간색). 재고 무시 시에만 유효합니까? 확인됩니다.
Shield Duration|실드 지속 시간
Inventory Pings?|인벤토리 핑?
_|_
Think of this mutually, I can 'see' a little further outside this can...|이것을 서로 생각하십시오. 이 캔 밖을 조금 더 '볼' 수 있습니다 ...
Face|얼굴
GATE_UW_LC|GATE_UW_LC
Special thanks to the following people!|다음 분들에게 특별히 감사드립니다!
Hold (|잡고 있다 (
Legs|다리
ad2424|ad2424
...and you can gather more of that data you so clearly desire.|...그리고 분명히 원하는 데이터를 더 많이 수집할 수 있습니다.
Max Pearl Count|최대 진주 수
oa_max_fric_speed|oa_max_fric_speed
Balagaga|발라가가
loadedsoundeffects/ambient|로드된 음향 효과/주변
Brought me something to read? Or just wasting my time, as per usual?|읽을거리 가져왔어? 아니면 그냥 평소처럼 시간을 낭비하는 건가요?
Back again? I hope you have brought me something this time.|다시? 이번에는 뭔가 가져왔기를 바랍니다.
pearlcat_7|pearlcat_7
I assure you it will be a more than suitable replacement for your primitive needs.|나는 그것이 당신의 원시적 필요에 대한 적절한 대체물 이상이 될 것이라고 확신합니다.
Pebbles_AS_PearlBlack|Pebbles_AS_PearlBlack
Chimney Canopy|굴뚝 캐노피
I do not have much else to occupy my time with these days...|요즘 다른 시간을 할애할 일이 별로 없네요...
pearlcat_structure1|pearlcat_structure1
warp|경사
LizardBubble6|리자드버블6
pearlcat_structure6|pearlcat_structure6
pearlcat_topshutter|pearlcat_topshutter
GravityDisruptor|중력 교란기
GATE_SL_MS|GATE_SL_MS
L-Stick|엘스틱
Shield Recharge Time|실드 재충전 시간
