When checked, disables the spear creation effect granted by an active pearl.|チェックすると、アクティブパールによって付与された槍の作成効果を無効にします。
In any case, you are welcome to stay as long as you like. Anything to ease the pain.|いずれにせよ、あなたが好きな限り滞在することを歓迎します。痛みを和らげるために何でも。

...scholar?|...学者？

Disable Shield Effect?|シールド効果を無効にしますか？

- Dialogue, SFX|- 対話、SFX

I have so little... please don't take... this... this is all I have...|私は少し持っています...服用しないでください...これ...これは私が持っているすべてです...

I won't be going anywhere any time soon... if you need company, you know who to visit!|私はすぐにどこにも行きません...あなたが会社を必要とするなら、あなたは誰を訪問するかを知っています！

...are you alright, little one? The modifications to your body are quite... extreme.|...あなたは大丈夫ですか、小さなもの？あなたの体の修正はかなり...極端です。

RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|赤は力を象徴しています。赤い真珠がアクティブで、最も近い敵対的な生き物が標的にされます

I cannot guarantee anything - these locomotives have not been operational since my facility was placed into lockdown...|私は何も保証することはできません - これらの機関車は私の施設が封鎖に入れられてから運用されていません...

Improved Input Config is active!|改善された入力構成がアクティブです！

BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|青は敏ility性を象徴しています。保管されている各青い真珠は追加のダブルジャンプを提供します

...but, you are not like I remember them? Am I misremembering so badly?|...しかし、あなたは私がそれらを覚えているようではありませんか？私はそんなにひどく覚えていますか？

Clearly an artifical creation. But from where? Sent by who?|明らかに人工的な創造物。しかし、どこから？誰から送られましたか？

Number of rage pearls (red). Effective only when Inventory Override? is checked.|怒りの真珠の数（赤）。在庫がオーバーライドする場合にのみ効果的ですか？チェックされています。

Another one? I shouldn't be surprised. Let's see...|もう一つ？驚かないはずです。見てみましょう...

Whichever path you take, I hope you find the help that you seek.|どちらの道をとっても、私はあなたが求める助けを見つけることを願っています。

You... I still remember what you did.|あなた...私はまだあなたがしたことを覚えています。

There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|あなたを止めるために私ができることは何もないので、ここに私の要求があります：<LINE>私を残して、またはそれを迅速に終わらせてください。

There is nothing I can do - I am not a medical facility, and even if I were, my equipment is far from pristine.|私にできることは何もありません - 私は医療施設ではありません。たとえ私がそうであっても、私の機器は自然のままではありません。

PEARLPUP|パールプラップ

Press (JUMP + GRAB) while in the air to perform a double jump|空中でダブルジャンプを行うために（ジャンプ +グラブ）を押します

Is my memory so bad to forget how your little one looks? They seem paler...|私の記憶はあなたの小さなものがどのように見えるかを忘れるのはとても悪いですか？彼らは淡く見えます...

Back again? You do visit often...|もう一度？あなたは頻繁に訪問します...

pearlcat-name|パールキャット

I very much enjoy the company though... you and your family are always welcome here.|私は会社をとても楽しんでいます...あなたとあなたの家族はいつもここで大歓迎です。

Hello! Strange scholar, it is good to see you!|こんにちは！奇妙な学者、あなたに会えるのは良いことです！

A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|謎めいたエネルギーと知識への渇望で武装した不明瞭な起源の学者。

I can only hope you have not come... to hurt me more.|私はあなたが来ないことを願っています...もっと私を傷つけるために。

Oh... oh no...|ああ...ああ、いや...

I see you have not found a cure for their illness. Not yet...|あなたは彼らの病気の治療法を見つけていないと思います。まだ...

And just who might you be?|そして、あなたは誰になるのでしょうか？

You have a knack for finding these pearls, yes?|これらの真珠を見つけるためのコツがありますよね？

Enables custom keybinds below, as opposed to the default (UP + PICKUP).|デフォルト（UP +ピックアップ）とは対照的に、以下のカスタムキーバインドを有効にします。

Hello again, strange scholar...|こんにちは、奇妙な学者...

Ah, I'm sorry... it's wrong to be so invasive, and I shouldn't be so sentimental anyways.|ああ、ごめんなさい...そんなに侵略的であることは間違っています、そして、私はとにかくそれほど感傷的ではないはずです。

I am... sorry.|ごめんなさい。

Version|バージョン

The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|あなたが持っている力、それは魅力的です。私はあなたの種類からそれに似たものを見たことがありません。

Keybind to swap to the stored pearl to the right. Limited to Player 1.|keybindは、右側に保存された真珠に交換します。プレーヤー1に限定。

I assume you may find them nearby the area you arrived; that is via the access shaft, if you have forgotten.|あなたが到着したエリアの近くでそれらを見つけるかもしれないと思います。あなたが忘れていれば、それはアクセスシャフトを介して行われます。

Swaps the active pearl to the left.|アクティブパールを左に交換します。

...help... please...|...助けてください...お願いします...

And why... to me?|そして、なぜ...私に？

Start Shelter Override|シェルターオーバーライドを開始します

 Pearlpup will be revived.|Pearlpupが復活します。

Oh, hello! Hello...|ああ、こんにちは！こんにちは...

View|ビュー

I do enjoy the company though... it gets lonely out here.|私は会社を楽しんでいます...それはここで孤独になります。

I would guess they will grow up into quite the scholar themself, someday...|いつか彼らはかなり学者に成長すると思います...

Reverts to the old red pearl mechanics - auto targeting lasers.|古いレッドパールメカニクスに戻ります - 自動ターゲティングレーザー。

Number of revive pearls (green). Effective only when Inventory Override? is checked.|Revive Pearls（緑）の数。在庫がオーバーライドする場合にのみ効果的ですか？チェックされています。

...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|...あなたは食べました...私。離れてください。私はあなたに話しません... <LINE>私はあなたに話すことができません...なぜなら...あなたは食べた...私...そしてなぜですか？

I hope you are staying safe out there...|私はあなたがそこに安全であることを願っています...

The Gutter|溝

I'll be self.Waiting right here - not like I can go far, anyways~|私は自分自身になります。

Prefer to use the custom keybinds below for spear creation, instead of the default (GRAB)|デフォルトではなく、槍の作成には以下のカスタムキービンドを使用することを好む（グラブ）

Pearls may also be deployed as temporary sentries. Press (GRAB + JUMP + DOWN) to deploy, and again to return.|真珠は一時的な歩riesとして展開される場合があります。（グラブ +ジャンプ +ダウン）を押して展開し、再度戻します。

It doesn't matter I suppose, you may stay, so long as you don't disturb my work...|あなたが私の仕事を邪魔しない限り、あなたは私が滞在するかもしれないと思うことは関係ありません...

VERSION WARNING<LINE>Mira Installation requires a more recent version of Pearlcat! Please update...|バージョン警告<LINE>ミラのインストールには、より最近のバージョンのPearlcatが必要です！更新してください...

Sentry P3|セントリーP3

Ability P4|能力P4

You must be very brave to have made it all the way here. Very brave indeed...|あなたはここでずっとそれを作ったことは非常に勇敢でなければなりません。確かに非常に勇敢です...

My neighbour, Five Pebbles, is a little temperamental, but means well.|私の隣人、5つの小石は少し気まぐれですが、よく意味があります。

And please keep your child under control.|そして、あなたの子供をコントロールし続けてください。

Your biology... it is both familiar and foreign to me. How curious.|あなたの生物学...それは私にとって馴染みがあり、外国人です。なんて好奇心が強い。

acursed|呪われた

Opens the inventory UI when held, allowing the active pearl to be swapped with the movement keys.|保持時に在庫UIを開き、アクティブパールをムーブメントキーと交換できます。

To store, hold the same keybind with a pearl in your main hand|保管するには、メインハンドに真珠で同じキービンドを保持します

Oh, and for direction - there is a gate to the far west of here, where the ground fissures...|ああ、そして方向のために - ここの西の西に門があり、そこには地面が裂けます...

Inventory Pings?|在庫のping？

Enable Backspear?|バックスピアを有効にしますか？

I've accepted my fate - and one day, you will meet an end too...|私は自分の運命を受け入れました - そしていつか、あなたも終わりに会います...

Hello! I remember you! I remember...|こんにちは！私はあなたのことを覚えています！私は覚えています...

If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to pass the time.|あなたがたまたま余裕があれば、私はそれらの真珠を読むことを喜んでいます... <LINE>時間を過ごすために他にやることはあまりありません。

Four! Well, if you insist...|4！まあ、あなたが主張するなら...

Ability P3|能力P3

Button North|北にボタン

You seem to be doing well for yourself nonetheless, your tenacity from whatever occurred is admirable!|それにもかかわらず、あなたは自分のためにうまくやっているようです、起こったことからのあなたの粘り強さは賞賛に値します！

Has it really been so long...? And considering your current state, you've been through a lot...|本当に長い時間がかかりましたか...？そして、あなたの現在の状態を考えると、あなたは多くのことを経験してきました...

When checked, disables the rage effect granted by an active pearl.|チェックすると、アクティブパールによって付与された怒り効果を無効にします。

Oh! It is good to see you two again!|おお！またお会いできてうれしいです！

Deploys the active pearl as a sentry, or returns it if it is already deployed.|アクティブパールを歩sentとして展開するか、既に展開されている場合は返品します。

When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|チェックすると、ほとんどの真珠（アクティブな場合）は、すべての地域の脅威テーマを元々出身地のテーマに強制します。

Keybind to swap to the stored pearl to the left. Limited to Player 1.|Keybindは、左に保存された真珠に交換します。プレーヤー1に限定。

Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|アクティブパールを含めて、一度に保管できる真珠の最大数。デフォルトは9です。上下にドラッグして変更します。

I... wish there was more I could do... but even... nevermind in my current state.|私は...私ができることがもっとあればいいのに...しかし、私の現在の状態に決して気にしないでください。

...and what happened to your parent...|...そしてあなたの親に何が起こったのか...

Storage limit reached (|ストレージ制限に達しました（

Multiple red pearls may chain this effect together - and yes, these batflies are VERY HOSTILE!|複数の赤い真珠はこの効果を結びつける可能性があります - そして、はい、これらのバットフリーは非常に敵対的です！

I am not sure if you are aware, but your child appears very unwell...|あなたが知っているかどうかはわかりませんが、あなたの子供は非常に気分が悪く見えます...

I have tried to reconstruct it from memory many times, fruitlessly.|私はそれを記憶から何度も再構築しようとしました。

Rage Pearl Count|レイジパールカウント

Pearls may also be deployed as temporary sentries. Press (|真珠は一時的な歩riesとして展開される場合があります。プレス （

...are you alright, little one? The modifications to your body are quite... unusual.|...あなたは大丈夫ですか、小さなもの？あなたの体の修正は非常に...珍しいです。

You're more than welcome to stay a while... your ability will always be a little miracle to me...|あなたはしばらく滞在することを歓迎します...あなたの能力はいつも私にとって少し奇跡になります...

You are just a lot to take in for little old me! A fascinating power, the gift of communication;|あなたは少し古い私のために取り入れることがたくさんあります！魅力的な力、コミュニケーションの贈り物。

I am so sorry.|申し訳ありません。

Edit keybinds through the normal input menu.|通常の入力メニューを介してキービンドを編集します。

Something else new? Allow me to see...|他に何か新しいもの？私に見せてもらう...

And just who might you two be?|そして、ちょうどあなたは誰になりますか？

Ability Input|能力入力

Revive Pearl Count|パールカウントを復活させます

Trigger Player|トリガープレーヤー

But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|しかし...あなたが持っているマーク、それは非常に珍しいことです。<LINE>地元のグループの誰かが授けることができるものではありません...

Stores the pearl in your main hand, or retrieves the current active pearl if your main hand is empty.|真珠をメインハンドに保管するか、メインハンドが空である場合は現在のアクティブパールを取得します。

Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|ターゲットを獲得した後、赤い真珠のレーザーが発射するためのフレームの時間。デフォルト1.5秒。

Background|背景

Nevermind... this anger is useless...|気にしないで...この怒りは役に立たない...

Shield Recharge Time|シールド充電時間

I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|私は、あなたがそれらに保存されている情報を読むことができないので、あなたが望むなら私はあなたのためにそれらを読むことができると思います。

I will tolerate your pressence, so long as you bring me something meaningful.|あなたが私に意味のあるものを持ってきている限り、私はあなたの存在を容認します。

When checked, the inventory HUD will be replaced with a more compact version.|チェックすると、在庫HUDはよりコンパクトなバージョンに置き換えられます。

YOU!|あなた！

Ah, I won't lie... I am curious as to how you ended up back here, and what happened on your travels...|ああ、私は嘘をつきません...私はあなたがここに戻ってきた方法とあなたの旅行で何が起こったのかについて興味があります...

It would be pointless to ask why...|理由を尋ねるのは無意味です...

Is that you, little scholar? I'm speechless...|それはあなた、小さな学者ですか？私は言葉がありません...

You would be a hard one to forget after all, <PlayerName>!|結局のところ、あなたは忘れるのが難しいでしょう、<PlayName>！

Disable Agility Effect?|敏ility効果を無効にしますか？

Laser Damage (OLD)|レーザー損傷（古い）

Intended to make gameplay more challenging, may change gameplay significantly!|ゲームプレイをより挑戦的にすることを目的としており、ゲームプレイを大幅に変更する可能性があります！

Keybind for Player 2.|プレーヤー2のkeybind。

Your attachment to that thing is unavoidable, I suppose.|そのことへのあなたの愛着は避けられないと思います。

Disable Tutorials?|チュートリアルを無効にしますか？

Who... who is there?|誰...誰がいますか？

) or (|） または （

I already read this one. I can read it again, I suppose.|私はすでにこれを読みました。もう一度読むことができます。

Disable Cosmetics?|化粧品を無効にしますか？

- Artwork|- アートワーク

So... anything for me to read?|だから...私が読むために何か？

Alternatively, hold (|または、保留（

Clearly artificial creations. But from where? Sent by who?|明らかに人工的な作品。しかし、どこから？誰から送られましたか？

I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|これらの真珠であなたが大切にしているのは、彼らの格子がどれほど純粋であるかということだと思いますか？私はこれよりもはるかに洗練されたものであなたを代用します。

Shield Duration|シールド期間

NON-MSC|非MSC

Sentry P2|セントリーP2

I have nothing for you, I'm afraid... but I hope you find the answers you seek.|私はあなたのために何も持っていません、私は恐れています...しかし、私はあなたがあなたが求めている答えを見つけてくれることを願っています。

Number of agility pearls (blue). Effective only when Inventory Override? is checked.|敏ilityパールの数（青）。在庫がオーバーライドする場合にのみ効果的ですか？チェックされています。

Ability KB|能力KB

Oh, hello strange scholar!|ああ、こんにちは奇妙な学者！

I have sent a request for the stationary cargo transports in my city to resume operation.|私は、私の都市の静止貨物輸送のリクエストを、運用を再開するように送りました。

The company of you and your friend makes my day, strange scholar.|あなたとあなたの友人の会社は私の日、奇妙な学者を作ります。

Prefer to use the custom keybinds below for agility double jump, instead of the default (GRAB + JUMP)|デフォルトではなく、敏ility性ダブルジャンプには、以下のカスタムキービンドを使用することを好みます（grab +ジャンプ）

- Additional Artwork|- 追加のアートワーク

Pearlpup|パールプラップ

And now here you are, with a perfect copy.|そして今、あなたは完璧なコピーを持っています。

You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|あなたは私にかなりの恐怖を与えました！私は最近訪問者を頻繁に獲得していません。

No, I am not so selfish as to sacrifice you on a whim for this - a cure is not even guaranteed.|いいえ、私はこのために気まぐれにあなたを犠牲にするほど利己的ではありません - 治療さえ保証されていません。

Ah, you didn't happen to find a way to tell me about your travels, did you?|ああ、あなたはたまたまあなたの旅行について私に話す方法を見つけませんでしたか？

I noticed the augment keeping you alive as soon as you returned here - I don't say this lightly, but it is beyond me how it works.|あなたがここに戻ったらすぐにあなたを生き続けていることに気づきました - 私はこれを軽く言いませんが、それがどのように機能するかは私を超えています。

Grab a creature and hold (GRAB) with an active green pearl to revive them|クリーチャーをつかんで、アクティブな緑の真珠で握って（つかみます）復活させます

Chimney Canopy|煙突の天蓋

My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|私の監督はあなたの到着に対して平和を築きませんでした - 私は輸送システムがほとんど動作不能であるという印象を受けていました。

Input a shelter name to have it override where Pearlcat starts a new game.|シェルター名を入力して、パールキャットが新しいゲームを開始する場所をオーバーライドします。

Pearl Ability|パール能力

Welcome back, <PlayerName>, and your little one too.|ようこそ、<playname>、そしてあなたの小さなものも。

Visibility Multiplier|可視性乗数

Play around with sentries to see what they do!|セントリーと遊んで、彼らが何をしているのかを見てください！

Considering the state you left in, I thought it impossible I would see you again... and yet here you are.|あなたが残した状態を考えると、私は再びあなたに会うことは不可能だと思いました...そしてまだここにいます。

Old Red Pearl Ability?|古い赤パールの能力？

Cheats|チート

I think I may still have some use left after all!~|結局私はまだいくつかの使用が残っているかもしれないと思います！〜

Intended for fun, may change gameplay significantly!|楽しみを目的として、ゲームプレイを大幅に変更する可能性があります！

I still don't have much to offer, sadly... aside from my pearl readings, and company of course! ~|悲しいことに...私の真珠の測定値は別として、そしてもちろん会社を除いて、私はまだ提供することはありません！〜

And who is your little friend? They are quite adorable!|そして、あなたの小さな友達は誰ですか？彼らは非常に愛らしいです！

However, given a lack of other options, this is the best I can do.|ただし、他の選択肢がないことを考えると、これは私ができる最善のことです。

Transit System|トランジットシステム

When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|チェックすると、真珠はアクティブまたはその他の統計変更を許可せず、ベース統計はハンターに似ているように設定されます。

WIP - no new ending yet!<LINE>If you find any bugs, please report them to forthfora!|WIP-新しいエンディングはまだありません！<LINE>バグが見つかった場合は、forthforaに報告してください！

When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|チェックしたら、以下のオプションで最初の真珠をオーバーライドします。在庫オーバーライドとは異なり、新しいゲームの開始時にのみ効果的ですか？

Custom keybind to perform certain pearl abilities, configure which use the custom bind in Pearlcat's Remix config.|特定のパール能力を実行するカスタムキーバインド、PearlcatのRemix Configでカスタムバインドを使用する構成。

You are welcome to stay as long as you like. Anything to ease the pain.|あなたが好きな限り滞在することを歓迎します。痛みを和らげるために何でも。

Ah. So you've returned.|ああ。だからあなたは戻ってきました。

...but... I will think on your problem, for now. Perhaps I can find a solution for both of us.|...しかし...私はあなたの問題について今のところ考えます。おそらく私は私たち二人のための解決策を見つけることができます。

...well, given your unique set of skills... if you ever need something read...|...まあ、あなたのユニークな一連のスキルを考えると...何かを読む必要があるなら...

...there is nothing I can do for your pup at present. I am sorry. I will... think on it.|...現在あなたの子犬のためにできることは何もありません。ごめんなさい。私は...それについて考えます。

I remember this one... don't you? Well...|私はこれを覚えています...あなたはそうしませんか？良い...

Your survival gives me some hope, little one.|あなたの生存は私にいくつかの希望を与えてくれます、小さなもの。

Button West|西のボタン

...I am not sure if this is comforting, but...|...これが慰めかどうかはわかりませんが...

This illness, it is unlike any I have seen before - I can say it is likely fatal.|この病気は、私が以前に見たものとは異なります - 私はそれが致命的であると言えるでしょう。

pearlcat-description|<LINE> <LINE>リミックス構成を介して入力、難易度、チートなどを構成するために真珠を活用する珍しい能力を備えた好奇心scholar盛な学者！

...one which still means a lot to me.|...まだ私にとっては大きな意味があります。

You're more than welcome to stay a while... your ability will always be a miracle to me...|あなたはしばらく滞在することを歓迎します...あなたの能力はいつも私にとって奇跡になります...

Camo Pearl Count|迷彩パールカウント

Oh... the memories can hurt a little... but I shouldn't well on them.|ああ...思い出は少し傷つくことがあります...しかし、私は彼らにうまくいくべきではありません。

)|））

I'm just so glad you're safe, too many things have come into my memory, only to be washed away...|私はあなたが安全であることをとてもうれしく思います、あまりにも多くのものが私の記憶に入ってきました、ただ洗い流されるために...

Hello again.|こんにちは。

You are... so familiar...|あなたは...とても馴染みがあります...

pearlcat|パールキャット

Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|保護を提供するために料金が消費されます。各真珠は、しばらくすると個別にその充電を補充します

PEARLCAT|パールキャット

A scholar with the ability to manipulate pearls...? Oh... yes! I remember!|真珠を操作する能力を持つ学者...？ああ...はい！私は覚えています！

Welc- Hello. Hello again.|welc-こんにちは。こんにちは。

...that pearl you carry, the purple one, where did you find it?|...あなたが運ぶパール、紫色のもの、どこで見つけたの？

...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...あなたはコミュニケーションの贈り物を持っています！<LINE>おそらくあなたは私の隣人、5つの小石を訪問しました...？

Inventory Override?|在庫オーバーライド？

I do enjoy the company of you and your friend though, <PlayerName>.|私はあなたとあなたの友人の会社を楽しんでいます、<PlayName>。

What do you want? To take away more of my life...?|なんでしょう？私の人生をもっと奪うために...？

PLAYTESTERS|PlayTesters

You're welcome to stay a while... your ability is fascinating.|しばらく滞在することを歓迎します...あなたの能力は魅力的です。

Max Pearl Count|マックスパールカウント

I assure you it will be a more than suitable replacement for your primitive needs.|私はあなたがあなたの原始的なニーズに適した交代以上になることを保証します。

I do so wish you could tell me what happened on your travels... I hardly remember the last time I saw beyond this chamber...|私はあなたがあなたの旅行で何が起こったのか教えてくれたらいいのにと思います...私がこの部屋を越えて最後に見たときはほとんど覚えていません...

Good luck, mysterious scholar.|幸運、神秘的な学者。

When checked, disables the shield effect granted by an active pearl.|チェックすると、アクティブパールによって付与されたシールド効果を無効にします。

General|一般的な

It appears to contain a hymn that once meant a lot to the inhabitants of my city...|かつて私の街の住民にとっては大いに意味がある賛美歌が含まれているようです...

Is the implant... painful? Not that it matters, of course. Just noting some common ground.|インプラントは...痛みを伴いますか？もちろん、それが重要ではありません。いくつかの共通の基盤に注目しているだけです。

Was it really so long ago that you were only half my height...?|あなたが私の身長の半分しかなかったのは本当にずっと前でした...？

...and you can gather more of that data you so clearly desire.|...そして、あなたはあなたがとても明確に望んでいるそのデータをもっと収集することができます。

Keybind for Player 1.|プレーヤー1のKeyBind。

I hope the cycles have been treating you well... it must be hard to take care of eachother out there.|サイクルがあなたをよく扱ってきたことを願っています...そこにはお互いの世話をするのは難しいに違いありません。

Extra Cheats|余分なチート

To retrieve pearls, have an empty main hand, and hold (|真珠を取り戻すには、空のメインハンドを持ち、保持します（

JoystickButton|ジョイスティックバットン

- Floppy Ears, Scarf|- フロッピー耳、スカーフ

GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|緑は活力を象徴しています。保管されている各緑の真珠は、あなたを含むサイクルごとに1つの生き物を復活させるかもしれません

Your HEART will let you possess others, with it active, maintain line of sight with a creature and try to retrieve the pearl to possess|あなたの心はあなたが他の人を所有し、それを活動させ、生き物で視界を維持し、所有するために真珠を取り戻そうとします

