START|COMMENCER
I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|Je suppose que la seule chose que vous appréciez dans ces perles est la pureté de leur treillis ? Je vais vous remplacer par un bien plus raffiné que celui-ci.
{Plugin.MOD_ID}:sentry_pearl|{Plugin.mod_id}: Sentry_pearl
Number of revive pearls (green). Effective only when Inventory Override? is checked.|Nombre de perles de relance (vertes). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
Sentry Pearl|Sentry Pearl
...there is nothing I can do for your pup at present. I am sorry. I will... think on it.|... il n'y a rien que je puisse faire pour votre chiot pour le moment. Je suis désolé. Je vais... y réfléchir.
_sprites|_sprites
Intro6|Intro6
Player Hooks IL Exception: \n|Exception des crochets du joueur: \ n
Geahgeah |Geahgeah
There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|Il n'y a rien que je puisse faire pour vous arrêter, alors voici ma demande :<LINE>Laissez-moi tranquille ou arrêtez-la rapidement.
You... I still remember what you did.|Vous ... je me souviens encore de ce que vous avez fait.
Deploys the active pearl as a sentry, or returns it if it is already deployed.|Déploie la perle active en tant que sentinelle ou le renvoie s'il est déjà déployé.
))}\n|))} \ n
{Plugin.MOD_ID}:swap_pearl|{Plugin.mod_id}: swap_pearl
If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to pass the time.|Si vous avez un moment à perdre, je serais plus qu'heureux de lire ces perles ... <line> Il n'y a pas grand-chose d'autre à faire pour passer le temps.
View|Voir
GW|GW
Foreground|Premier plan
slime-cubed.slugbase|slime-cubed.slugbase
) with an active common pearl to convert it into a pearl spear|) avec une perle commune active pour la transformer en perle lance
pearlcat_sentryhalo|pearlcat_sentryhalo
PFace|Visage
pearlpup_sleeve|perlpup_sleeve
I still don't have much to offer, sadly... aside from my pearl readings, and company of course! ~|Je n'ai toujours pas grand-chose à offrir, malheureusement ... à part mes lectures de perles, et compagnie bien sûr!~
pearlcat_9|perlecat_9
Number of rage pearls (red). Effective only when Inventory Override? is checked.|Nombre de perles de rage (rouge). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
Ability P3|Capacité p3
LC|CL
Please... this all I have left... you have so much... ...why take mine?|S'il te plait... c'est tout ce qu'il me reste... tu as tellement... ...pourquoi prendre le mien ?
{nameof(SaveMiscProgression.IsMSCSave)}: {pearlcatMiscProg.IsMSCSave}\n|ot
Old Red Pearl Ability?|Vieille capacité de perle rouge?
SLUGBASE VERSION: {ModManager.ActiveMods.FirstOrDefault(x => x.id == |Version SlugBase: {modManager.ActiveMods.Firstordefault (x => x.id ==
Assembly-CSharp|Assemblage-CSharp
You are welcome to stay as long as you like. Anything to ease the pain.|Vous êtes invités à rester aussi longtemps que vous le souhaitez. Tout pour soulager la douleur.
pearlcat_light0|pearlcat_light0
Button West|Bouton Ouest
Clearly artificial creations. But from where? Sent by who?|Des créations clairement artificielles. Mais d'où ? Envoyé par qui ?
Feet|Pieds
This illness, it is unlike any I have seen before - I can say it is likely fatal.|Cette maladie, elle ne ressemble à aucune de celles que j'ai vues auparavant - je peux dire qu'elle est probablement mortelle.
Pebbles_AS_PearlBlack|Galets_AS_PearlBlack
CRS VERSION: {ModManager.ActiveMods.FirstOrDefault(x => x.id == |Version CRS: {modManager.ActiveMods.Firstordefault (x => x.id ==
T1_S01|T1_S01
face|affronter
The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|L'étendue au-delà serait un endroit sûr pour élever votre famille - et rester loin de mon entreprise.
{nameof(SaveMiscProgression.JustAscended)}: {pearlcatMiscProg.JustAscended}\n|ot
pearlcat_spire4|pearlcat_spire4
{Plugin.MOD_ID}:store_pearl|{Plugin.mod_id}: store_pearl
So curious...|Tellement curieux...
DistantBkgObjectAlpha|DistantBkgObjectAlpha
pearlcatSleeve0|pearlcatSleeve0
I hope the cycles have been treating you well... it must be hard to take care of eachother out there.|J'espère que les cycles vous ont bien traité... ça doit être difficile de prendre soin les uns des autres là-bas.
Let us see what- oh, again?|Voyons quoi- oh, encore ?
pearlcat_structure5|pearlcat_structure5
pearlcat_glyphheart|perlcat_glyphheart
trueend|réalité
Read this one too? Yes, yes, here it is...|Lire celui-ci aussi ? Oui, oui, c'est ici...
I think I may still have some use left after all!~|Je pense qu'il me reste peut-être encore un peu d'utilité après tout ! ~
Release|Libérer
However, given a lack of other options, this is the best I can do.|Cependant, étant donné le manque d'autres options, c'est le mieux que je puisse faire.
Custom keybind to perform certain pearl abilities, configure which use the custom bind in Pearlcat's Remix config.|Custom KeyBind Pour effectuer certaines capacités de perles, configurez qui utilisent la liaison personnalisée dans la configuration de remix de Pearlcat.
{nameof(SaveMiscWorld.PearlIDsBroughtToPebbles)}: {string.Join(|ot
What do you want? To take away more of my life...?|Que veux-tu? Pour m'enlever plus de ma vie...?
OE_|OE_
Disable Camoflague Effect?|Désactiver l'effet camoflague ?
-|-
pearlcat_support|pearlcat_support
pearlcat_clouds|pearlcat_clouds
{nameof(SaveMiscWorld.PebblesMeetCount)}: {pearlcatMiscWorld.PebblesMeetCount}\n|ot
Intro6_Mira|Intro6_mira
strange|étrange
I do enjoy the company of you and your friend though, <PlayerName>.|J'apprécie cependant votre compagnie et celle de votre ami, <PlayerName>.
body|corps
Oh...? Hello! Hello...|Oh...?Bonjour!Bonjour...
But it's best not to dwell on the past, don't you agree <PlayerName>?|Mais il vaut mieux ne pas ressasser le passé, n'est-ce pas <PlayerName> ?
PEBBLESWAIT|GALETSATTENDRE
PEARLCAT|CHAT DE PERLE
) & use the (LEFT) & (RIGHT) directional inputs|) et utilisez les entrées directionnelles (GAUCHE) et (DROITE)
- Chinese Translation|- Traduction chinoise
q|q
...help... please...|...Aidez-moi, s'il vous plaît...
Sentry P3|Sentry P3
In any case, you are welcome to stay as long as you like. Anything to ease the pain.|Dans tous les cas, vous êtes invités à rester aussi longtemps que vous le souhaitez. Tout pour soulager la douleur.
Oh, hello <PlayerName>!|Oh, bonjour <PlayerName> !
Play around with sentries to see what they do!|Jouez avec les sentinelles pour voir ce qu'elles font !
Extra Cheats|Astuces supplémentaires
ear_r|oreille_r
CC|CC
{nameof(SaveMiscProgression.HasOEEnding)}: {pearlcatMiscProg.HasOEEnding}\n|ot
NA_19 - Halcyon Memories|NA_19 - Souvenirs d'Halcyon
!PEARLCAT DEBUG INFO LOG!\n|! Pearlcat Debug Info Log! \ N
, pearlcatMiscProg.StoredPearlColors)}\n|, perlcatmiscprog.storedpearlcolors)} \ n
If you were able to reach me via the transit system, I can only assume that you may be able to reach others far beyond.|Si vous avez pu me joindre via le système de transport en commun, je peux seulement supposer que vous pourrez peut-être atteindre les autres bien au-delà.
Pebbles_AS_PearlGreen|Galets_AS_PearlGreen
I very much enjoy the company though... you and your little friend are always welcome here.|J'apprécie beaucoup la compagnie cependant... vous et votre petit ami êtes toujours les bienvenus ici.
Keybind to swap to the stored pearl to the left. Limited to Player 1.|Keybind pour passer à la perle stockée à gauche. Limité au joueur 1.
{Plugin.MOD_ID}:swap_right|{Plugin.mod_id}: swap_right
...well, given your unique set of skills... if you ever need something read...|... eh bien, étant donné votre ensemble unique de compétences ... si jamais vous avez besoin de quelque chose, lisez ...
pearlcat_spire5|pearlcat_spire5
Disable Shield Effect?|Désactiver l'effet bouclier ?
Basic|Basique
He is much better equipped than me at present - I would recommend paying him a visit, if you can.<LINE>Although he was not designed as a medical facility, he may be able to aid you, in some way.|Il est bien mieux équipé que moi à l'heure actuelle - je vous recommanderais de lui rendre visite, si vous le pouvez.<LINE>Bien qu'il n'ait pas été conçu comme un établissement médical, il pourra peut-être vous aider d'une manière ou d'une autre.
Transit System|Système de transport en commun
Ability P2|Capacité p2
I do enjoy the company though... it gets lonely out here.|J'apprécie la compagnie cependant... on se sent seul ici.
- Floppy Ears, Scarf|- Oreilles souples, écharpe
pearlcat_structure6|pearlcat_structure6
PlayerArm|PlayerArm
0.0|0.0
AS|COMME
PREVENTED PEARLPUP GRASP RELEASE|Empêcher la version de la saisie de Pearlpup
T1_CAR2|T1_CAR2
SB_L01|SB_L01
When checked, enables Pearlcat to carry a backspear.|Lorsqu'il est coché, permet à Pearlcat de porter une contre-lance.
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Lorsqu'elle est cochée, remplace les perles de départ par l'option ci-dessous. Uniquement efficace au début d'une nouvelle partie, contrairement à Inventory Override ?
- Dialogue, SFX|- Dialogues, SFX
You're more than welcome to stay a while... your ability will always be a miracle to me...|Vous êtes plus que bienvenu pour rester un moment ... votre capacité sera toujours un miracle pour moi ...
...hello?|...Bonjour?
BigGlyph2|BigGlyphe2
pearlcat_structure4|pearlcat_structure4
NON-MSC|NON MSC
pearlpup_face|pearlpup_face
Scarf|Foulard
You are just a lot to take in for little old me! A fascinating power, the gift of communication;|Tu es juste beaucoup à prendre pour le petit vieux moi!Un pouvoir fascinant, le don de la communication;
Menu|Menu
Is the implant... painful? Not that it matters, of course. Just noting some common ground.|L'implant est-il ... douloureux?Non pas que cela compte, bien sûr.Notant juste un terrain d'entente.
Disable Agility Effect?|Désactiver l'effet d'agilité ?
Hold (GRAB) with an active common pearl to convert it into a pearl spear|Maintenez (GRAB) avec une perle commune active pour la transformer en perle lance
Hips|Les hanches
Agility Pearl Count|Nombre de perles d'agilité
Software|Logiciel
1.2.1|1.2.1
Has it really been so long...? And considering your current state, you've been through a lot...|Cela fait-il vraiment si longtemps ...?Et compte tenu de votre état actuel, vous avez vécu beaucoup de choses ...
Custom Keybind?|Raccourci clavier personnalisé ?
SL|SL
So curious... I wonder what it is you're searching for?|Tellement curieux... Je me demande ce que vous cherchez ?
Ah. So you've returned.|Ah. Alors tu es revenu.
Pebbles_AS_PearlBlue|Galets_AS_PearlBlue
_MultiplyColor|_MultiplierCouleur
I've accepted my fate - and one day, you will meet an end too...|J'ai accepté mon sort - et un jour, vous rencontrerez aussi une fin ...
pearlcat_shieldsentry|pearlcat_shieldsentry
Compact Inventory HUD?|HUD d'inventaire compact ?
I very much enjoy the company though... you and your family are always welcome here.|J'apprécie beaucoup l'entreprise ... vous et votre famille êtes toujours les bienvenus ici.
Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|Temps en images que le bouclier de perle jaune prend pour se recharger après l'activation. 40 secondes par défaut.
And just who might you be?|Et qui pourriez-vous être ?
I am so sorry.|Je suis tellement désolé.
pearlcat_5|perlecat_5
And who is your little friend? They are...|Et qui est ton petit ami ? Ils sont...
I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|Je suppose que, vu que vous ne pouvez pas lire les informations qui y sont stockées, je peux les lire pour vous, si vous le souhaitez.
pearlcat_spire8|pearlcat_spire8
Shield Recharge Time|Temps de recharge du bouclier
The surviving scholar returns once more... how poetic.|Le savant survivant revient une fois de plus ... comme c'est poétique.
283b2c|283b2c
Button North|Bouton Nord
R-Stick|Bâton R
Keybind to swap to the stored pearl to the right. Limited to Player 1.|Keybind pour passer à la perle stockée à droite. Limité au joueur 1.
PEARLCAT LOG DEBUG INFO ERROR: \n|Erreur d'information de débogage du journal du journal perlcat: \ n
pearlactivehalo|pearlactivehalo
Press (JUMP + GRAB) while in the air to perform a double jump|Appuyez sur (JUMP + GRAB) en l'air pour effectuer un double saut
I... I have nothing more to say...|Je ... je n'ai plus rien à dire ...
If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to ppass the time.|S'il vous arrive d'avoir un moment à perdre, je serais plus qu'heureux de lire ces perles...<LINE>Il n'y a pas grand-chose d'autre à faire pour passer le temps.
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|Le JAUNE symbolise la protection. Chaque perle jaune stockée fournira une charge de bouclier
Oh, hello! Hello...|Oh salut!Bonjour...
And a third? So it is...|Et un troisième ? Donc c'est...
If you do not plan to provide me with any meaningful data, that is your best course of action;|Si vous ne prévoyez pas de me fournir des données significatives, c'est votre meilleur plan d'action ;
pearlcat_structure1|pearlcat_structure1
Hello again.|Bonjour à nouveau.
MSC: {ModManager.MSC}\n|Msc: {modmanager.msc} \ n
ca471b|CA471B
{nameof(SaveMiscProgression.HasTrueEnding)}: {pearlcatMiscProg.HasTrueEnding}\n|ot
To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|Pour récupérer des perles, ayez une main principale vide et maintenez (GRAB + UP)
Pearlpup|Perlpup
...that pearl you carry, the purple one, where did you find it?|...cette perle que tu portes, la violette, où l'as-tu trouvée ?
Ah... you seem, familiar...? ...but in such a strange way...|Ah ... vous semblez, familier ...?... mais d'une manière si étrange ...
VERSION WARNING<LINE>Mira Installation requires Pearlcat version 1.3.0 or above! Please update...|Version AVERTISSEMENT <LINE> L'installation Mira nécessite Pearlcat version 1.3.0 ou plus!Veuillez mettre à jour...
GATE_UW_LC|GATE_UW_LC
Oh, and for direction - there is a gate to the far west of here, where the ground fissues...|Oh, et pour la direction - il y a une porte à l'extrême ouest d'ici, où le sol se fissure...
Ah, I hope you both stay safe out there...|Ah, j'espère que vous restez tous les deux en sécurité là-bas...
pearlpup_head|pearlpup_head
by|par
pearlcat_daysky|pearlcat_daysky
zbiotr |zbiotr
(unfortunately for Pearlpup to spawn, it requires the Downpour DLC to be enabled)|(malheureusement pour que Pearlpup se fasse, il faut activer le DLC des averses)
You have a knack for finding these pearls, yes?|Vous avez le don de trouver ces perles, n'est-ce pas ?
RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|Le ROUGE symbolise le pouvoir. Avec une perle rouge active, la créature hostile la plus proche sera ciblée
Another? And I shall read this one to you as well...|Un autre? Et je vais vous lire celui-ci aussi...
pearlpup_feet|perlpup_feet
pearlcat_spire2|pearlcat_spire2
Welcome back, you two!|Bienvenue, vous deux !
Some time ago now, I encountered a scholar and their dying pup...|Il y a quelque temps maintenant, j'ai rencontré un érudit et leur chiot mourant ...
pupheartcore|pupheartcore
Legs|Jambes
pearlcat_hudpearl|pearlcat_hudpearl
You are... so familiar...|Vous êtes ... si familier ...
Mira Installation requires Pearlcat version 1.3.0 or above! Please update...|L'installation de Mira nécessite Pearlcat version 1.3.0 ou plus!Veuillez mettre à jour...
pearlcat_hudlockedshortcut|pearlcat_hudlockedshortcut
{nameof(SaveMiscProgression.HasPearlpup)}: {pearlcatMiscProg.HasPearlpup}\n|ot
My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|Mes surveillants n'ont pas accepté votre arrivée - j'avais l'impression que le système de transport en commun était pratiquement inutilisable.
ERROR UPDATING SAVE ON CYCLE COMPLETION:\n|MISE À JOUR ERREUR Économiser sur l'achèvement du cycle: \ n
Songs|Chansons
): swap out a pearl, or change the limit in the Remix options|) : échangez une perle ou modifiez la limite dans les options de remix
Who... who is there?|Qui ... qui est là?
You're more than welcome to stay a while... your ability will always be a little miracle to me...|Vous êtes plus que bienvenu pour rester un moment ... votre capacité sera toujours un peu miracle pour moi ...
Your survival gives me some hope, little one.|Votre survie me donne un peu d'espoir, petit.
T1_CAR1|T1_CAR1
BigGlyph10|BigGlyphe10
Otherwise, I must resume my work, it seems the path to my own cure is unfortunately much longer...|Sinon, je dois reprendre mon travail, il semble que le chemin vers mon propre remède soit malheureusement beaucoup plus long ...
{nameof(SaveMiscWorld.HasPearlpupWithPlayer)}: {pearlcatMiscWorld.HasPearlpupWithPlayer}\n|ot
Starting Inventory Override?|Démarrage de l'annulation de l'inventaire ?
PEARLCAT VERSION: {Plugin.VERSION}\n|Version de Pearlcat: {plugin.version} \ n
pearlpup_scarf|pearlpup_scarf
Sorry, I shouldn't be so intrusive, I am in quite the state myself after all.|Désolé, je ne devrais pas être aussi intrusif, je suis moi-même dans l'état moi-même.
warp|chaîne
BigGlyph11|BigGlyphe11
_|_
Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|À quel contrôleur de joueur l'échange de déclencheur s'appliquera. 0 désactive l'échange de déclencheurs. Maintenez et faites glisser vers le haut ou vers le bas pour changer.
...I am not sure if this is comforting, but...|... Je ne sais pas si c'est réconfortant, mais...
I do enjoy the company of you and your friend though, strange schoar.|J'apprécie la compagnie de vous et de votre ami, étrange Schoar.
pearlcat_glyphsentry|pearlcat_glyphsentry
To cycle between pearls, use (|Pour passer d'une perle à l'autre, utilisez (
PEARLCAT MISC WORLD:\n|PEARLCAT MISC WORLD: \ n
When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|Lorsqu'elle est cochée, la plupart des perles (lorsqu'elles sont actives) forceront le thème de la menace pour toutes les régions sur le thème de la région dont elles sont originaires.
Inventory Pings?|Ping d'inventaire ?
...are you alright, little one? The modifications to your body are quite... extreme.|... ça va, petit?Les modifications de votre corps sont assez ... extrêmes.
pearlcat_light2|pearlcat_light2
Think of this mutually, I can 'see' a little further outside this can...|Pensez-y mutuellement, je peux 'voir' un peu plus loin à l'extérieur de ce bidon...
When checked, disables improved input config support, reverting to Remix config. Exit and re-enter the Remix menu to take effect.|Lorsqu'il est vérifié, désactive la prise en charge de la configuration d'entrée améliorée, revenant à la configuration de remix.Sortez et rentrez dans le menu Remix pour prendre effet.
Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|Nombre de perles de bouclier (jaunes). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
Pearlcat_Amnesia|Perlcat_amnesia
UW|UW
MS|MS
The Pearlcat|Le chat perlé
When checked, disables the shield effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet de bouclier accordé par une perle active.
I would love to study it, to help treat my own affliction, however it would require... removal of the augment.|J'aimerais l'étudier, pour aider à traiter ma propre affliction, mais cela nécessiterait ... la suppression de l'augmentation.
pcat_nopup|pcat_nopup
SS_T1_S01|SS_T1_S01
Failed to parse color {objectType} : {ex.Message}|Impossible d'analyser la couleur {objectType} : {ex.Message}
When checked, disables the spear creation effect granted by an active pearl.|Lorsque coché, désactive l'effet de création de lance accordé par une perle active.
Joystick[0-9]Button|Joystick [0-9] Bouton
Hide Pearls?|Cacher les perles ?
DistantBkgObject|DistantBkgObjectDistantBkgObject
Start Shelter Override|Démarrage de l'annulation de l'abri
3600|3600
{Plugin.MOD_ID}:swap_left|{Plugin.mod_id}: swap_left
...and you have brought your little friend along, of course.|...et vous avez amené votre petit ami, bien sûr.
mayhemmm|le chaos
Left Bumper|Pare-chocs gauche
Your biology... it is both familiar and foreign to me. How curious.|Votre biologie... elle m'est à la fois familière et étrangère. Quelle curiosité.
Ability P4|Capacité p4
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...vous avez le don de communiquer !<LINE>Peut-être avez-vous rendu visite à mon voisin, Five Pebbles... ?
I assure you it will be a more than suitable replacement for your primitive needs.|Je vous assure que ce sera un remplacement plus que convenable pour vos besoins primitifs.
T1|T1
You. Again. I still remember what you did...|Toi. Encore. Je me souviens encore de ce que tu as fait...
And a nasty scar, poor thing... I can't imagine where you got that, or even where you came from...?|Et une cicatrice désagréable, une pauvre chose ... Je ne peux pas imaginer où vous avez obtenu cela, ou même d'où vous venez ...?
Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|Nombre de perles de création de lance (blanches). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
sleep1|sommeil1
Ability Input|Entrée de capacité
You must be very brave to have made it all the way here. Very brave indeed...|Vous devez être très courageux pour avoir fait tout le chemin jusqu'ici. Vraiment très courageux...
You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|Vous venez d'assez loin ? Vous pouvez communiquer avec nous, mais la marque que vous possédez m'est étrangère...
ffffff|ffffff
)?.version ?? |)?.version ??
You. I didn't forget...|Toi. Je n'ai pas oublié...
pearlcat_topshutter|pearlcat_topshutter
.NETFramework,Version=v4.8|.NETFramework,Version=v4.8
Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|Dommages que le laser de chaque perle rouge fait par tir. Dégâts de la lance du survivant = 1,0
...ah... are those still a fascination to you? You really are no different from your mother...|... Ah ... sont-ils toujours une fascination pour vous?Vous n'êtes vraiment pas différent de votre mère ...
TEXT ERROR|ERREUR DE TEXTE
664054|664054
I see you have not found a cure for their illness. Not yet...|Je vois que vous n'avez pas trouvé de remède à leur maladie. Pas encore...
, pearlcatMiscWorld.PearlIDsBroughtToPebbles.Keys)}\n|, perlcatmiscworld.pearlidsbroughtopebbles.keys)} \ n
DS|DS
pearlpup_face_sick|pearlpup_face_sick
\n-------------------\n|\ n ------------------- \ n
_windDir|ventSor
Water|Eau
Disable Tutorials?|Désactiver les didacticiels ?
pearlcat_milock|perlcat_milock
SS_AI|SS_AI
To retrieve pearls, have an empty main hand, and hold (|Pour récupérer des perles, ayez une main principale vide et maintenez (
3: |3 :
And just who might you two be?|Et qui pourriez-vous être ?
No, I am not so selfish as to sacrifice you on a whim for this - a cure is not even guaranteed.|Non, je ne suis pas si égoïste pour vous sacrifier sur un coup de tête pour cela - une guérison n'est même pas garantie.
...did they have a child? ...could you be?|... avaient-ils un enfant?...pourrais-tu être?
pearlcat_topshutter_night|perlcat_topshutter_night
pearlcat_spire9|pearlcat_spire9
The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|Le pouvoir que vous possédez, c'est fascinant. Je n'ai jamais rien vu de tel de votre espèce.
1.0.0|1.0.0
...you can manipulate our storage medium in unforseen ways...|...vous pouvez manipuler notre support de stockage de manière imprévue...
Swaps the active pearl to the right.|Échange la perle active vers la droite.
pearlcat_structure2|pearlcat_structure2
