Swap Left|Поменять местами слева
When checked, disables the spear creation effect granted by an active pearl.|Если флажок установлен, отключает эффект создания копья, предоставляемый активной жемчужиной.
pearlcat|жемчужная кошка
Disable Agility Effect?|Отключить эффект ловкости?
Custom Spear Keybind?|Пользовательская привязка к копью?
RW_Outro_Theme|RW_Outro_Theme
PEBBLESWAIT|ГАЛКА
) & (|) & (
Keybind to swap to the stored pearl to the right. Limited to Player 1.|Keybind для переключения на сохраненную жемчужину справа. Ограничено игроком 1.
Face|Лицо
GATE_UW_LC|GATE_UW_LC
arm|рука
Difficulty|Сложность
Keyboard|Клавиатура
Agility Pearl Count|Жемчуг ловкости
Input a shelter name to have it override where Pearlcat starts a new game.|Введите название убежища, чтобы оно переопределяло место, где Pearlcat начинает новую игру.
Keybind for Keyboard.|Связка клавиш для клавиатуры.
OE_SEXTRA|OE_SEXTRA
 + Path.DirectorySeparatorChar.ToString() + |+ Путь.DirectorySeparatorChar.ToString() +
Left Bumper|Левый бампер
When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|Если флажок установлен, жемчуг больше не будет изменять характеристики, активные или нет, а базовые характеристики будут аналогичны Охотнику.
When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|Если флажок установлен, Жемчужный щенок будет возрождаться в следующем убежище в следующем цикле всякий раз, когда они теряются.
\nRunspeedFac |\nRunspeedFac
ruffian|хулиган
View|Вид
T1_CAR1|T1_CAR1
Compact Inventory HUD?|Компактный HUD инвентаря?
Ability Input|Ввод способностей
Visibility Multiplier|Множитель видимости
Disable Minor Effects?|Отключить второстепенные эффекты?
Number of camo pearls (black). Effective only when Inventory Override? is checked.|Количество камуфляжных жемчужин (черных). Действует только при переопределении инвентаря? проверено.
Button West|Баттон Вест
PlayerArm|ИгрокРука
Inventory Override?|Переопределение инвентаря?
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|Процентный множитель общей видимости Pearlcat влияет на привлекательность хищника. По умолчанию Pearlcat значительно более заметен, чем даже Hunter.
Atlas not found! ({uniqueName})|Атлас не найден! ({уникальное имя})
Sleeve|Рукав
Chimney Canopy|Навес дымохода
A curious scholar with the unusual ability to harness pearls to their advantage.<LINE><LINE>Configure inputs, difficulty, cheats and more via the Remix config!<LINE><LINE>More Slugcats is optional, but strongly recommended.|Любознательный ученый с необычной способностью использовать жемчуг в своих интересах.<LINE><LINE>Настройте ввод, сложность, читы и многое другое с помощью конфигурации Remix!<LINE><LINE>Больше Slugcats не является обязательным, но настоятельно рекомендуется.
Inventory Pings?|Пинг инвентаря?
Transit System|Транзитная система
T1_END|T1_END
Pearl Threat Music?|Музыка жемчужной угрозы?
Max Pearl Count|Максимальное количество жемчуга
pearlactiveplaceholder|жемчужный активный заполнитель
\nLungsFac |\nLungsFac
Body|Тело
When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|Если флажок установлен, большинство жемчужин (когда они активны) заставят тему угроз для всех регионов соответствовать теме региона, из которого они были изначально.
BM_SS_DOOR|BM_SS_DOOR
sleeve|рукав
moreslugcats|больше слизняков
Rage Pearl Count|Количество жемчужин ярости
Spear Pearl Count|Жемчуг копья
Button North|Кнопка Север
SS_AI|SS_AI
R-Stick|R-стик
-|-
Menu|Меню
PFace|PFace
Pearlpup Respawn?|Жемчужный респаун?
, FrameworkDisplayName = |, FrameworkDisplayName =
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Если флажок установлен, косметика Pearlcat будет отключена, что позволит использовать пользовательские спрайты через DMS. Это не считая самих жемчужин.
JaggedSquare|ДжаггедКвадрат
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Количество жемчужин ловкости (синих). Действует только при переопределении инвентаря? проверено.
General|Общий
Head|Голова
scholar|ученый
Disable Spear Effect?|Отключить эффект копья?
Custom Keybind?|Пользовательская привязка клавиш?
Swap Input|Поменять вход
Keybind to swap to the stored pearl to the left. Limited to Player 1.|Keybind для переключения на сохраненную жемчужину слева. Ограничено игроком 1.
Joystick[0-9]Button|Джойстик[0-9]Кнопка
Store Input|Сохранить ввод
pearlactive|жемчужноактивный
The Pearlcat|Жемчужная кошка
pearlpup_head|жемчужный_голова
When checked, disables the rage effect granted by an active pearl.|Если флажок установлен, отключает эффект ярости, предоставляемый активной жемчужиной.
Player 1|Игрок 1
LC_T1_S01|LC_T1_S01
Legs|Ноги
Disable Cosmetics?|Отключить косметику?
Intended for fun,\nmay change gameplay significantly!|Предназначен для развлечения,\nможет существенно изменить игровой процесс!
T1_START|T1_START
\nThrowSkill |\nНавык броска
Custom Agility Keybind?|Пользовательская привязка клавиш Agility?
RW_Outro_Theme_B|RW_Outro_Theme_B
Right Bumper|Правый бампер
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Если флажок установлен, заменяет начальные жемчужины параметром ниже. Действует только в начале новой игры, в отличие от переопределения инвентаря?
loadedsoundeffects/ambient|загруженные звуковые эффекты/эмбиент
GhostDistortion|GhostDistortion
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Максимальное количество жемчужин, которые можно хранить одновременно, включая активную жемчужину. По умолчанию 9. Удерживайте и перетащите вверх или вниз, чтобы изменить.
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Ученый неизвестного происхождения, вооруженный загадочной энергией и жаждой знаний.<LINE>Хрупкий физически, но с жемчугом в союзниках — что вы откроете для себя в своих путешествиях?
