Menu|Menú
To store, hold the same keybind with a pearl in your main hand|Para almacenarlas, sostén una perla en la mano principal y mantén pulsada la misma acción

Pearlcat|Perlina

Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|Tiempo en fotogramas para que un láser de perlas rojas dispare después de adquirir un objetivo. Predeterminado: 1.5 segundos.

Button North|Botón norte

I see you've returned, yet again.|Veo que has regresado una vez más.

Custom Spear Keybind?|Botón personalizado de lanza

I know that quite well.|Eso lo sé muy bien.

scholar|erudita

): swap out a pearl, or change the limit in the Remix optionsVersion|): intercambie una perla o cambie el límite en la Vida de Opciones Remix

Storage limit reached (|Límite de almacenamiento alcanzado (

Sentry P1|J1: Centin.

Hello again.|Hola otra vez.

I do enjoy the company of you and your friend though, strange scholar.|No obstante, disfruto de tu compañía y la de tu amigo, extraño erudito.

I can only hope you have not come... to hurt me more.|Solo puedo desear que no hayas venido a... lastimarme más.

Button South|Botón sur

This one again? I have better things to do... but...|¿Esta otra vez? Tengo mejores cosas que hacer... pero...

Right Bumper|Bumper derecho

RED symbolizes power. With a red pearl active, all stored red pearls will circle you|ROJO simboliza poder. Con una perla roja activa, todas las perlas rojas almacenadas te circunvolarán

MSC|ARCHIVO~DE GUARDADO CON~MSC

.  .  .|.  .  .

PEARLCAT_MIRA_SKIP|Perlcat_mira_skip

Why did you come back here...? I can only imagine it brings back some painful memories.|¿Por qué volviste aquí?... Solo puedo imaginar que te trae algunos recuerdos dolorosos.

Sorry if I seem a little slow by the way, we are designed to operate with millions of neurons, as opposed to, well...|Por cierto, perdón si parezco un poco lenta, fuimos diseñados para operar con millones de neuronas en lugar de... bueno...

When checked, disables the agility effect granted by an active pearl.|Si se encuentra marcada, desactiva el efecto de agilidad otorgada por una perla activa.

Oh, hello <PlayerName>!|Oh, ¡hola, <PlayerName>!

There is nothing I can do - I am not a medical facility, and even if I were, my equipment is far from pristine.|No hay nada que pueda hacer. No soy una instalación médica,<LINE>e incluso si lo fuera, mi equipo está lejos de ser impecable.

Compact Inventory HUD?|HUD compacto del inventario

Trigger Player|Jugador de los gatillos

You... I didn't forget...|Tú... No lo olvidé...

You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|¿Vienes de muy lejos? Puedes comunicarte con nosotros, pero la marca que posees me es desconocida...

Button East|Botón este

I do enjoy the company though... it gets lonely out here.|No obstante, disfruto de la compañía... aquí fuera se vuelve desolado.

And a third? So it is...|Y aquí va la tercera...

Enable Backspear?|Activar portalanza

Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Número máximo de perlas que se pueden almacenar a la vez, incluyendo la activa. El valor predeterminado es 9. Mantenlo oprimido y arrastra hacia arriba o abajo para cambiar.

Keybind to swap to the stored pearl to the right. Limited to Player 1.|Botón para cambiar la perla almacenada hacia la derecha. Limitado al jugador 1.

Custom Agility Keybind?|Botón person. de agilidad

The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|La extensión que se encuentra más allá será un lugar seguro<LINE>para que críes a tu familia y te mantengas lejos de mis asuntos.

When checked, the inventory HUD will be replaced with a more compact version.|Si se encuentra marcada, el HUD del inventario será reemplazado por una versión más compacta.

Keybind for Player 2.|Botón para el jugador 2.

Store Input|Almacenar

Max Pearl Count|N.º máximo de perlas

...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|... ¿Oh? Llévatelas, los datos que contienen no me sirven de nada. Supongo que serán mucho más útiles para ti...

I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|Supongo que, viendo que no puedes leer la información almacenada en ellas, puedo leerlas por ti, si lo deseas.

I do enjoy the company of you and your friend though, <PlayerName>.|No obstante, disfruto de tu compañía y la de tu amigo, <PlayerName>.

PEARLCAT|PERLINA

Think of this mutually, I can 'see' a little further outside this can...|Considéralo como algo solidario, yo podré «ver» un poco más allá de esta lata...

I have sent a request for the stationary cargo transports in my city to resume operation.|He enviado una solicitud para que los transportes de carga estacionados en mi ciudad reanuden sus operaciones.

 SAVE|﻿

...and you can gather more of that data you so clearly desire.|... y tú podrás reunir más de esos datos que tanto anhelas.

Pearls may also be deployed as temporary sentries. Press (|Pulsa (

I do so wish you could tell me what happened on your travels... I hardly remember the last time I saw beyond this chamber...|Ojalá pudieras contarme qué ocurrió en tus viajes...<LINE>apenas recuerdo la última vez que vi más allá de esta cámara...

Ah, I won't lie... I am curious as to how you ended up back here, and what happened on your travels...|Ah, no te voy a mentir... tengo curiosidad por saber cómo acabaste de vuelta aquí, qué ocurrió en tus viajes...

Press (JUMP + GRAB) while in the air to perform a double jump|Pulsa (SALTAR + AGARRAR) mientras estás en el aire para realizar un doble salto

- Floppy Ears, Scarf|- Orejas<LINE>flexibles y bufanda

When checked, disables the shield effect granted by an active pearl.|Si se encuentra marcada, desactiva el efecto de escudo otorgada por una perla activa.

Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|Tiempo en fotogramas que tarda el escudo de perlas amarillas en recargarse tras ser activado. Predeterminado: 40 segundos.

...that pearl you carry, the purple one, where did you find it?|... Esa perla que llevas, la morada, ¿de dónde la encontraste?

Surely it must be another little beast with a pearl for a heart?|¿Podría ser obvia y seguramente otra pequeña bestia con una perla por corazón?

My own time is limited, after all...|Mi propio tiempo es limitado, después de todo...

I noticed the augment keeping you alive as soon as you returned here - I don't say this lightly, but it is beyond me how it works.|Me di cuenta del suplemento que te mantiene con vida apenas regresaste aquí.<LINE>No digo esto a la ligera, pero está más allá de mi comprensión cómo es que funciona.

When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|Si se encuentra marcada, la Cría de Perlina reaparecerá en el próximo refugio del siguiente ciclo cada vez que esta se pierda.

My neighbour, Five Pebbles, is a little temperamental, but means well.|Mi vecino, Cinco Guijarros, es un poco temperamental, pero tiene buenas intenciones.

Ability P3|J3: Habil.

When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Si se encuentra marcada, los cosméticos de Perlina se desactivarán con la intención de permitir sprites personalizados a través de DMS. Esto no incluye a las perlas en sí.

Disable Revive Effect?|Desactivar efecto de resurr.

And who is your little friend? They are quite adorable!|¿Y quién es tu amiguito? ¡Se ve muy adorable!

I'm kidding, of course! My imagination will suffice, though the curiosity does burn me up inside...|¡Solo bromeo, por supuesto! Con mi imaginación bastará, aunque la curiosidad me quema por dentro...

Was it really so long ago that you were only half my height...?|¿De verdad fue hace tanto tiempo que solo medías la mitad de mi estatura?...

No, I am not so selfish as to sacrifice you on a whim for this - a cure is not even guaranteed.|No, no soy tan egoísta como para sacrificarte por capricho; una cura ni siquiera está garantizada.

And now here you are, with a perfect copy.|Y ahora estás acá con una copia perfecta.

Please... this all I have left... you have so much... ...why take mine?|Por favor... esto es todo lo que me queda... tienes tantas... ¿por qué tomas las mías?

Laser Damage (OLD)|Daño del láser (ANTIGUO)

Oh, hello! Hello...|Oh, ¡hola! Hola...

The company of you and your friend makes my day, strange scholar.|Tu compañía y la de tu amigo me alegran el día, extraño erudito.

I very much enjoy the company though... you and your little friend are always welcome here.|No obstante, disfruto mucho de la compañía... tú y tu amiguito siempre serán bienvenidos aquí.

Press (|Pulsa (

I would guess they will grow up into quite the scholar themself, someday...|Estimo que él crecerá y se convertirá en todo un erudito algún día...

) & use the (LEFT) & (RIGHT) directional inputs|) y usa los direccionales (IZQUIERDA) y (DERECHA)

. . .|. . .

I... wish there was more I could do... but even... nevermind in my current state.|Yo... desearía poder hacer más... pero ni siquiera podría... hacer la diferencia en mi estado actual.

PEARLPUP|CRÍA DE PERLINA

VERSION WARNING|ADVERTENCIA SOBRE LA VERSIÓN

Intended to make gameplay more challenging, may change gameplay significantly!|Diseñado para que la experiencia de juego sea más desafiante, ¡puede cambiar de manera significativa las partidas!

Something new to read... it has been too long...|Algo nuevo que leer... ha pasado tanto tiempo...

), or the triggers on controller|) o los gatillos del control

So please, bring me more, as long as it isn't too dangerous for you... these visits really are the highlight of my days here...|Así que, por favor, tráeme más, siempre y cuando no sea demasiado peligroso para ti...<LINE>Estas visitas realmente son lo más destacado de mis días aquí...

Let us see what- oh, again?|Veamos qué... Oh, ¿otra vez?

Brought me something to read? Or just wasting my time, as per usual?|¿Me trajiste algo para leer? ¿O solo me haces perder el tiempo, como de costumbre?

Play around with sentries to see what they do!|¡Experimenta con los centinelas para ver qué hace cada uno!

Inventory Pings?|Avisos del inventario

Ability Input|Usar habil.

No, I do not care for your little one.|No, no siento cariño por tu pequeño.

I am... sorry.|Yo... lo siento.

...familiar ...help... please...|... Familar... Auxilio... por favor...

Throwing any weapon within a red pearl's radius will cause it to home onto the nearest hostile creature|Lanzar cualquier arma dentro del radio de una perla roja hará que esta se dirija a la criatura hostil más cercana

However, given a lack of other options, this is the best I can do.|Sin embargo, dada la falta de otras opciones, esto es lo mejor que puedo hacer.

Disable Rage Effect?|Desactivar efecto de ira

Whichever path you take, I hope you find the help that you seek.|Sea cual sea el camino que elijas, ojalá encuentres la ayuda que buscas.

When checked, disables the spear creation effect granted by an active pearl.|Si se encuentra marcada, desactiva el efecto de creación de lanzas otorgada por una perla activa.

Pearl Ability|Habil. de perla

Disable Spear Effect?|Desactivar efecto de lanza

R-Stick|Palanca derecha

Considering the state you left in, I thought it impossible I would see you again... and yet here you are.|Teniendo en cuenta el estado en el que te habías ido, pensé que era imposible verte de nuevo... y, aun así, acá estás.

Visibility Multiplier|Multiplicador de visibilidad

...and you have brought your little friend along, of course.|... Y has traído a tu amiguito contigo, por supuesto.

View|Vista

You... I still remember what you did.|Tú... Aún recuerdo lo que hiciste.

Pearl Threat Music?|Mús. de amenazas de perlas

You're more than welcome to stay a while... your ability will always be a little miracle to me...|Siéntete más que libre de quedarte un rato... tu habilidad siempre será un pequeño milagro para mí.

) or (|) o (

Laser Recharge Time (OLD)|Tiempo de recarga del láser (ANTIGUO)

Otherwise, I must resume my work, it seems the path to my own cure is unfortunately much longer...|Si no, debo continuar mi trabajo, parece que el camino hacia mi propia cura es, desafortunadamente, más largo...

I already read this one. I can read it again, I suppose.|Ya he leído esta. Puedo leerla otra vez, supongo.

You have a knack for finding these pearls, yes?|Tienes mucha maña para encontrar estas perlas, ¿verdad?

It doesn't matter I suppose, you may stay, so long as you don't disturb my work...|Supongo que no importa, puedes quedarte siempre y cuando no interrumpas mi trabajo...

I cannot guarantee anything - these locomotives have not been operational since my facility was placed into lockdown...|No puedo garantizar nada, estas locomotoras no han estado operativas desde que mi instalación fue puesta en aislamiento...

You are welcome to stay as long as you like. Anything to ease the pain.|Siéntete libre de quedarte todo el tiempo que quieras. Lo que sea para aliviar el dolor.

Oh...? Hello! Hello...|¿Oh?... ¡Hola! Hola...

PLAYTESTERS|PLAYTESTERS

I'll be self.Waiting right here - not like I can go far, anyways~|Seré yo mismo. ¡Vaya aquí, no como si pudiera ir lejos, de todos modos ~

Prefer to use the custom keybinds for deploying sentry pearls, instead of the default (GRAB + JUMP + DOWN)|Preferir utilizar los botones personalizados para desplegar las perlas centinela, en lugar de los predeterminados (AGARRAR + SALTAR + ABAJO).

Spear Pearl Count|Total de perlas de lanza

Keybind for Player 4.|Botón para el jugador 4.

You're more than welcome to stay a while... your ability will always be a miracle to me...|Siéntete más que libre de quedarte un rato... tu habilidad siempre será un milagro para mí...

My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|Mis supervisores no han hecho las paces con tu llegada,<LINE>tenía la impresión de que el sistema de transporte público estaba prácticamente inoperable.

Keybind for Player 3.|Botón para el jugador 3.

But it's best not to dwell on the past, don't you agree <PlayerName>?|Pero es mejor no obcecarse en el pasado, ¿no estás de acuerdo, <PlayerName>?

I think I may still have some use left after all!~|¡quizás me quede todavía algo de utilidad, después de todo!~

...and what happened to your parent...|... y qué le sucedió a tu madre...

Is that you, little scholar? I'm speechless...|¿Eres tú, pequeño erudito? Estoy sin palabras...

I have tried to reconstruct it from memory many times, fruitlessly.|He intentado, infructuosamente, reconstruirlo de memoria muchas veces.

Prefer to use the custom keybinds below for agility double jump, instead of the default (GRAB + JUMP)|Preferir utilizar los botones personalizados de abajo para la agilidad de doble salto, en lugar de los predeterminados (AGARRAR + SALTAR).

Has it really been so long...? And considering your current state, you've been through a lot...|¿De verdad ha pasado tanto tiempo?... Y teniendo en cuenta tu estado actual, habrás pasado por mucho...

To retrieve pearls, have an empty main hand, and hold (|Para sacar perlas, ten una mano principal vacía y mantén pulsado (

WARNING|ADVERTENCIA:

General|General

Number of revive pearls (green). Effective only when Inventory Override? is checked.|Número de perlas de resurrección (verdes). Solo es efectivo si «Anulación del inventario» está marcada.

pupheart|corazón

CREDITS|CRÉDITOS

Sentry P2|J2: Centin.

Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|Las cargas son consumidas para proveer protección. Cada perla se recarga sola después de un tiempo

Your HEART will let you possess others, with it active, maintain line of sight with a creature and try to retrieve the pearl to possess|Tu CORAZÓN te permitirá poseer a otros. Con él activo, mantén la visual con una criatura e intenta sacar la perla para poseerla

Ah... you seem, familiar...? ...but in such a strange way...|Ah, pareces... familiar... pero de una forma muy extraña...

Camo Pearl Count|Total de perlas de camuflaje

...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|Me... comiste. Por favor, lárgate. No hablaré... contigo.<LINE>Yo... NO puedo hablar contigo... porque... me... comiste... ¿y por qué?

To release possession, try to deploy the pearl as a sentry, or try to retrieve the pearl|Para liberarla de la posesión, intenta desplegar la perla como centinela o intenta sacarla

The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|El poder que posees es fascinante. Nunca he visto nada igual entre los de tu especie.

Hello again, strange scholar...|Hola otra vez, extraño erudito...

...there is nothing I can do for your pup at present. I am sorry. I will... think on it.|... No hay nada que pueda hacer por tu cría actualmente. Lo siento. Veré... qué puedo hacer.

Pearlpup Respawn?|Reaparición de la Cría

Shield Recharge Time|Tiempo de recarga del escudo

You must be very brave to have made it all the way here. Very brave indeed...|Debes ser muy valiente como para haber llegado hasta aquí. Muy valiente, en efecto...

I do not know what to make of this.|No sé qué pensar.

YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|AMARILLO simboliza protección. Cada perla amarilla almacenada proporcionará una carga de escudo

Oh... the memories can hurt a little... but I shouldn't well on them.|Oh... los recuerdos pueden doler un poco... pero no debería obcecarme en ellos.

Nevermind... this anger is useless...|Olvídalo... esta ira es inútil...

...one which still means a lot to me.|... uno que todavía significa mucho para mí.

...but... I will think on your problem, for now. Perhaps I can find a solution for both of us.|... Pero... veré qué puedo hacer, por ahora. Quizás pueda encontrar una solución para los dos.

Your survival gives me some hope, little one.|Tu supervivencia me da algo de esperanza, pequeño.

You. Again. I still remember what you did...|Tú. Otra vez. Aún recuerdo lo que hiciste...

Number of rage pearls (red). Effective only when Inventory Override? is checked.|Número de perlas de ira (rojas). Solo es efectivo si «Anulación del inventario» está marcada.

Rage Pearl Count|Total de perlas de ira

Transit System|Sistema de Transporte Público

It would be pointless to ask why...|Sería inútil preguntar el porqué...

- Artwork|-<LINE>Trabajo artístico

Hide Pearls?|Ocultar perlas

I may not have the facilities to aid you, however...|Puede que yo no tenga las instalaciones para auxiliarte, sin embargo...

- Spanish Translation|- Traducción<LINE>al español

All times here are in frames.<LINE>40 frames = 1 second.|Todos los tiempos aquí están en fotogramas.<LINE>40 fotogramas = 1 segundo.

Improved Input Config is active!|¡Improved Input Config está activado!

OE_SEXTRA|OE_SEXTRA

strange|extraña

(unfortunately for Pearlpup to spawn, it requires the Downpour DLC to be enabled)|(lamentablemente, para que la Cría de Perlina aparezca es necesario que el DLC Downpour esté activado)

- Chinese Translation|-<LINE>Traducción al chino

They are unwell, <PlayerName>, very unwell indeed.|Se encuentra mal, <PlayerName>. Muy mal, de hecho.

) while in the air to perform a double jump|) en el aire para realizar un doble salto

Your biology... it is both familiar and foreign to me. How curious.|Tu biología... es tan familiar como desconocida para mí. Qué curioso.

YOU!|¡TÚ!

I hope you are staying safe out there...|Espero que se mantengan a salvo ahí fuera...

So curious...|Cuánta curiosidad...

Another? And I shall read this one to you as well...|¿Otra más? Te la voy a leer también...

And why... to me?|¿Y por qué... a mí?

Something else new? Allow me to see...|¿Una perla nueva? Déjame ver...

You. I didn't forget...|Tú. No lo olvidé...

Ability P1|J1: Habil.

Given you have inherited your mother's traits, if you want to make these visits worth my time, bring me something to read...|Dado que has heredado las cualidades de tu madre, si quieres hacer<LINE>que estas visitas valgan la pena mi tiempo, tráeme algo para leer...

Laser Windup TIme (OLD)|Tiempo de preparación del láser (ANTIGUO)

Your little friend is still quite sick, unfortunately.|Tu amiguito todavía se encuentra muy enfermo, desgraciadamente.

Hello! I remember you! I remember...|¡Hola! ¡Te recuerdo! Recuerdo...

Multiple red pearls may chain this effect together - and yes, these batflies are VERY HOSTILE!|Múltiples perlas rojas pueden encadenar juntas este efecto; y sí, estos mosca-murciélagos son ¡MUY HOSTILES!

...scholar?|... ¿Erudito?

Alternatively, hold (|Como alternativa, mantén pulsado (

pearlcat|perla

I must resume my work. I will be waiting here, as always.|Debo continuar mi trabajo. Te estaré esperando aquí, como siempre.

So curious... I wonder what it is you're searching for?|Cuánta curiosidad... Me pregunto qué es lo que estás buscando.

If you were able to reach me via the transit system, I can only assume that you may be able to reach others far beyond.|Si pudiste llegar a mí a través del sistema de transporte público,<LINE>solo puedo dar por sentado que también podrás llegar a otros que están mucho más lejos.

Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|Multiplicador del porcentaje sobre cuán visible es Perlina frente a los depredadores. Por defecto, es significativamente más visible que incluso el Cazador.

A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Una erudita de origen incierto, armada de una energía enigmática y sed de conocimiento.<LINE>Frágil físicamente, pero con perlas como aliadas; ¿qué descubrirás en tus viajes?

BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|AZUL simboliza agilidad. Cada perla azul almacenada proporcionará un doble salto adicional

I do not have much else to occupy my time with these days...|No tengo mucho más en lo que pueda ocupar mi tiempo estos días...

Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|Daño que hace cada láser de perlas rojas por disparo. Daño de lanza del Superviviente = 1.0.

Keyboard|Teclado

Clearly an artifical creation. But from where? Sent by who?|Una creación artificial, evidentemente. Pero ¿de dónde? ¿Enviada por quién?

Mira Installation requires a more recent version of Pearlcat! Please update...|¡La instalación de Mira requiere una versión más reciente de PearlCat!Actualice ...

Keybind to swap to the stored pearl to the left. Limited to Player 1.|Botón para cambiar la perla almacenada hacia la izquierda. Limitado al jugador 1.

When checked, disables improved input config support, reverting to Remix config. Exit and re-enter the Remix menu to take effect.|Si se encuentra marcada, desactiva el soporte para Improved Input Config, revirtiendo a los ajustes de Remix. Sal y vuelve a entrar al menú de Remix para que surte efecto.

Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|Número de perlas de escudo (amarillas). Solo es efectivo si «Anulación del inventario» está marcada.

You seem to be doing well for yourself nonetheless, your tenacity from whatever occurred is admirable!|No obstante, parece que te está yendo bien, ¡tu tenacidad ante cualquier adversidad es admirable!

acursed|execrable

Swaps the active pearl to the right.|Cambia la perla activa hacia la derecha.

Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|Número de perlas de creación de lanzas (blancas). Solo es efectivo si «Anulación del inventario» está marcada.

Is the implant... painful? Not that it matters, of course. Just noting some common ground.|¿El implante es... doloroso? Tampoco es que importe, por supuesto. Solo tomo nota de algunos intereses comunes.

Sorry, I shouldn't be so intrusive, I am in quite the state myself after all.|Lo siento, no debería ser tan entrometida. Yo también estoy en un estado lamentable, después de todo.

I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|Todavía estoy más que contenta de leer cualquier perla que me traigas,<LINE>especialmente dadas tus habilidades únicas.

You...|Tú...

Ability KB|T: Habil.

I hope the cycles have been treating you well... it must be hard to take care of eachother out there.|Espero que los ciclos te hayan tratado bien... debe ser difícil cuidarse el uno al otro ahí fuera.

The choice is yours.|La elección es tuya.

Edit keybinds through the normal input menu.|Edita los botones a través del menú de entrada normal.

Which player controller trigger swapping will apply to. 0 disables trigger swapping. Negative player numbers invert the triggers. Hold and drag up or down to change.|A qué intercambio de activadores del controlador del jugador se aplicará.0 deshabilita el intercambio de disparadores.Los números de jugadores negativos invierten los desencadenantes.Mantenga y arrastre hacia arriba o hacia abajo para cambiar.

Difficulty|Dificultad

I will tolerate your pressence, so long as you bring me something meaningful.|Toleraré tu presencia siempre y cuando me traigas algo significativo.

What do you want? To take away more of my life...?|¿Qué es lo que quieres? ¿Pretendes llevarte más de mi vida?...

The Pearlcat|La perlina

Welcome back, I suppose.|Bienvenida de vuelta, supongo.

When checked, all tutorials will be disabled.|Si se encuentra marcada, todos los tutoriales estarán desactivados.

 Pearlpup will be revived.| La Cría de Perlina será resucitada.

Ah, I hope you both stay safe out there...|Ah, confío en que tengan cuidado ahí fuera...

I am glad you found your own solution... even if it is an abhorrent perversion of natural law.|Me alegra que hayas encontrado tu propia solución... incluso si es una perversión aborrecible de la ley natural.

Welc- Hello. Hello again.|Bienve... Hola. Hola otra vez.

...did they have a child? ...could you be?|... ¿Tenía un hijo? ¿Podrías ser tú...?

Disable Agility Effect?|Desactivar efecto de agilidad

...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|... ¡Tienes el don de la comunicación! ¿Acaso le hiciste una visita a mi vecino, Cinco Guijarros?...

Sentry KB|T: Centin.

Ah, yet another one? You are even better at finding these than I imagined...|Ah, ¿otra más? Eres incluso mejor encontrándolas de lo que me esperaba...

Oh! It is good to see you two again!|¡Oh! ¡Un gusto volver a verlos!

)|)

There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|No hay nada que pueda hacer para detenerte, así que te ruego lo siguiente:<LINE>déjame en paz o haz que termine de una vez.

To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|Para sacar perlas, ten una mano principal vacía y mantén pulsado (AGARRAR + ARRIBA)

pearl|perla

When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Si se encuentra marcada, anula las perlas del inicio con los ajustes de abajo. A diferencia de «Anulación del inventario», este solo es efectivo al comienzo de una nueva partida.

Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|Con una curiosidad insaciable, Perlina se aventura una vez más<LINE>en busca de expandir su colección.

You really do remind me so much of your mother...|Me haces acordar muchísimo a tu madre...

For the number of visits you pay me, how could there only be one of you?|Para la cantidad de visitas que me haces, ¿cómo puede haber solo uno de ustedes?

Start Shelter Override|Anulación del refugio inicial

And just who might you be?|¿Y quién podrías ser tú?

Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|Tiempo en fotogramas para que un láser de perlas rojas recargue después de disparar. Predeterminado: 1.5 segundos.

And who is your little friend? They are...|¿Y quién es tu amiguito? ¡Se ve...!

Swap Right|Cambiar der.

I see you have not found a cure for their illness. Not yet...|Veo que no has encontrado una cura para su enfermedad. No aún...

GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|VERDE simboliza vitalidad. Cada perla verde almacenada puede resucitar a una criatura por ciclo, incluyéndote a ti

Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Número de perlas de agilidad (azules). Solo es efectivo si «Anulación del inventario» está marcada.

...I am not sure if this is comforting, but...|... No estoy segura de si sirva como consuelo, pero...

I won't lie, I'm so curious as to how you... survived, and how you ended up back here...?|No te voy a mentir, tengo mucha curiosidad por saber cómo... sobreviviste, cómo acabaste de vuelta aquí...

Revive Pearl Count|Total de perlas de resurrección

You and your family are always welcome here - please visit often!|Tú y tu familia siempre serán bienvenidos aquí. ¡Por favor, visiten más a menudo!

Reverts to the old red pearl mechanics - auto targeting lasers.|Revierte a la habilidad antigua de perlas rojas; láseres de objetivos automáticos.

Cheats|Trucos

Four! Well, if you insist...|¡La cuarta! Bueno, si insistes...

