Swap Left|Links tauschen
BM_SS_DOOR|BM_SS_DOOR
sleeve|Ärmel
moreslugcats|noch mehr Schnecken
Rage Pearl Count|Rage Pearl Count
Spear Pearl Count|Speerperlenanzahl
Button North|Knopf Nord
SS_AI|SS_AI
R-Stick|R-Stick
-|-
Menu|Speisekarte
PFace|PGesicht
Pearlpup Respawn?|Perlwelpen-Respawn?
, FrameworkDisplayName = |, FrameworkDisplayName =
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Wenn diese Option aktiviert ist, werden die Kosmetika von Pearlcat deaktiviert, um benutzerdefinierte Sprites über DMS zu ermöglichen. Die Perlen selbst sind hiervon nicht betroffen.
JaggedSquare|JaggedSquare
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Anzahl der Agility-Perlen (blau). Nur wirksam, wenn Bestandsüberschreibung? wird geprüft.
General|Allgemein
Head|Kopf
scholar|Gelehrte
Disable Spear Effect?|Speereffekt deaktivieren?
Custom Keybind?|Benutzerdefinierte Tastenkombination?
Swap Input|Eingabe vertauschen
Keybind to swap to the stored pearl to the left. Limited to Player 1.|Mit einer Tastenkombination können Sie zur gespeicherten Perle auf der linken Seite wechseln. Beschränkt auf Spieler 1.
Joystick[0-9]Button|Joystick[0-9]Taste
Store Input|Eingabe speichern
pearlactive|perlaktiv
The Pearlcat|Die Perlenkatze
pearlpup_head|Pearlpup_head
When checked, disables the rage effect granted by an active pearl.|Wenn diese Option aktiviert ist, wird der Wuteffekt deaktiviert, der durch eine aktive Perle gewährt wird.
Player 1|Spieler 1
LC_T1_S01|LC_T1_S01
Legs|Beine
Disable Cosmetics?|Kosmetik deaktivieren?
Intended for fun,\nmay change gameplay significantly!|Zum Spaß gedacht,\nkann das Gameplay erheblich verändern!
T1_START|T1_START
\nThrowSkill |\nWurffähigkeit
Custom Agility Keybind?|Benutzerdefinierte Agilitäts-Tastenkombination?
RW_Outro_Theme_B|RW_Outro_Theme_B
Right Bumper|Rechte Stoßstange
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Wenn diese Option aktiviert ist, werden die Startperlen mit der folgenden Option überschrieben. Im Gegensatz zur Inventarüberschreibung nur zu Beginn eines neuen Spiels wirksam?
loadedsoundeffects/ambient|geladene Soundeffekte/Ambien
GhostDistortion|GhostDistortion
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Maximale Anzahl Perlen, die gleichzeitig gespeichert werden können, einschließlich der aktiven Perle. Der Standardwert ist 9. Halten Sie gedrückt und ziehen Sie zum Ändern nach oben oder unten.
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Ein Gelehrter unbekannter Herkunft, bewaffnet mit einer rätselhaften Energie und einem Wissensdurst.<LINE>Körperlich gebrechlich, aber mit Perlen als Verbündeten – was werden Sie auf Ihren Reisen entdecken?
