CANNOT PLAY\n|IMPOSSIBLE DE JOUER\n
To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|Pour récupérer des perles, ayez une main principale vide et maintenez (GRAB + UP)
...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|...Tu as mangé... moi. Partez s'il vous plait. Je... ne te parlerai pas.<LINE>Je... NE PEUX PAS te parler... parce que... tu m'as mangé... ...et pourquoi ?
I very much enjoy the company though... you and your little friend are always welcome here.|J'apprécie beaucoup la compagnie cependant... vous et votre petit ami êtes toujours les bienvenus ici.
When checked, disables the agility effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet d'agilité accordé par une perle active.
When checked, disables the rage effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet de rage accordé par une perle active.
pearlcat_light1|pearlcat_light1
LC|CL
OE_|OE_
oa_max_dist|oa_max_dist
pearlcat_over9|pearlcat_over9
max_tail_offset|max_tail_offset
Press (|Presse (
Elliot|Elliot
LW_Tower|LW_Tour
T1_CAREND|T1_CAREND
Clearly an artifical creation. But from where? Sent by who?|Clairement une création artificielle. Mais d'où ? Envoyé par qui ?
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle.|Lorsque cette case est cochée, définit l'inventaire sur le nombre spécifié de perles colorées sous chaque cycle.
Player 1|Joueur 1
DistantBkgObjectAlpha|DistantBkgObjectAlpha
AS-IS|COMME SI
) while in the air to perform a double jump|) en l'air pour effectuer un double saut
oa_min_time|oa_min_time
puptail|queue de cheval
Ah, I hope you both stay safe out there...|Ah, j'espère que vous restez tous les deux en sécurité là-bas...
Intended to make gameplay more challenging, may change gameplay significantly!|Destiné à rendre le gameplay plus difficile, peut changer le gameplay de manière significative !
.  .  .|. . .
face|affronter
Camo Pearl Count|Nombre de perles camo
VS|CONTRE
US_Tower|US_Tower
I will tolerate your pressence, so long as you bring me something meaningful.|Je tolèrerai votre présence, tant que vous m'apporterez quelque chose de significatif.
pearlcat_hudpearl|pearlcat_hudpearl
Menu|Menu
Slugcat_Pearlcat_Sleep|Slugcat_Pearlcat_Sleep
_MultiplyColor|_MultiplierCouleur
0.0|0.0
When checked, disables the revive effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet de réanimation accordé par une perle active.
pearlcat_spire8|pearlcat_spire8
Disable Camoflague Effect?|Désactiver l'effet camoflague ?
So curious...|Tellement curieux...
_atlases|_atlas
Hello! I remember you! I remember...|Bonjour! Je me souviens de vous! Je me souviens...
ruffian|brute
Four! Well, if you insist...|Quatre ! Eh bien, si vous insistez...
1.0.0|1.0.0
LOAD SAVE DATA IN PLAYER MODULE|CHARGER LES DONNÉES DE SAUVEGARDE DANS LE MODULE DU LECTEUR
PEARLCAT PEBBLES MEETING: |RENCONTRE DES GALETS PEARLCAT :
When checked, the inventory HUD will be replaced with a more compact version.|Lorsqu'il est coché, le HUD d'inventaire sera remplacé par une version plus compacte.
3: |3 :
Pebbles_AS_PearlRed|Galets_AS_PearlRed
Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|Temps en images que le bouclier de perle jaune prend pour se recharger après l'activation. 40 secondes par défaut.
pearlactivehalo|pearlactivehalo
Yes, help yourself. They are not edible.|Oui, aidez-vous. Ils ne sont pas comestibles.
CC|CC
tail|queue
Lolight2|Lolight2
I remember this one... don't you? Well...|Je me souviens de celui-ci... pas vous ? Bien...
5|5
122626|122626
)|)
Disable Agility Effect?|Désactiver l'effet d'agilité ?
ear_r_offset|ear_r_offset
When checked, enables Pearlcat to carry a backspear.|Lorsqu'il est coché, permet à Pearlcat de porter une contre-lance.
Trigger Player|Joueur déclencheur
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|Le JAUNE symbolise la protection. Chaque perle jaune stockée fournira une charge de bouclier
strings.txt|chaînes.txt
pearlcat_spire9|pearlcat_spire9
inventory_ui_offset|inventaire_ui_offset
oa_max_time|oa_max_time
by|par
You... I didn't forget...|Tu... Je n'ai pas oublié...
oa_daze_max_speed|oa_daze_max_speed
\nCorridorClimb |\nCorridorCrimb
Laser Windup TIme|TEMPS D'ENROULEMENT DU LASER
I would guess they will grow up into quite the scholar themself, someday...|Je suppose qu'ils deviendront eux-mêmes des érudits, un jour...
BigGlyph8|BigGlyph8
Assembly-CSharp|Assemblage-CSharp
NON-MSC|NON MSC
LW_Grotto|LW_Grotto
Pearl Threat Music?|Musique de menace de perle ?
Disable Cosmetics?|Désactiver les cosmétiques ?
Button North|Bouton Nord
Grab a creature and hold (GRAB) with an active green pearl to revive them|Saisissez une créature et maintenez (GRAB) avec une perle verte active pour la faire revivre
Sidera |Sidéra
Prefer to use the custom keybinds below for spear creation.|Préférez utiliser les raccourcis clavier personnalisés ci-dessous pour la création de lance.
Noir |Noir
When checked, disables the shield effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet de bouclier accordé par une perle active.
Disable Spear Effect?|Désactiver l'effet lance ?
When checked, all tutorials will be disabled.|Lorsque cette case est cochée, tous les didacticiels seront désactivés.
daze_duration|daze_duration
I do enjoy the company though... it gets lonely out here.|J'apprécie la compagnie cependant... on se sent seul ici.
body|corps
ACK|ACK
4: |4 :
pearlactiveplaceholder|espace réservé actif
\nThrowSkill |\nCompétence de lancer
pearlcat_spire2|pearlcat_spire2
Left Bumper|Pare-chocs gauche
pearlcat_8|perlecat_8
pearlcat_3|perlecat_3
RW_Outro_Theme_B|RW_Outro_Theme_B
Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|Les charges sont consommées pour fournir une protection. Chaque perle reconstitue individuellement sa charge après un certain temps
pearlcat_hudcooldown|pearlcat_hudcooldown
Hello again.|Rebonjour.
PEBBLESWAIT|GALETSATTENDRE
Extra Cheats|Astuces supplémentaires
Button South|Bouton Sud
View|Voir
License|Licence
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Lorsqu'elle est cochée, les cosmétiques de Pearlcat seront désactivés, destinés à autoriser les sprites personnalisés via DMS. Cela n'inclut pas les perles elles-mêmes.
pearlcat_spire4|pearlcat_spire4
pearlcatScarfA0|pearlcatÉcharpeA0
Slugcat_Pearlcat|Slugcat_Pearlcat
I can only hope you have not come... to hurt me more.|Je ne peux qu'espérer que tu n'es pas venu... pour me faire plus de mal.
But it's best not to dwell on the past, don't you agree <PlayerName>?|Mais il vaut mieux ne pas ressasser le passé, n'est-ce pas <PlayerName> ?
DESTROY|DÉTRUIRE
Hide Pearls?|Cacher les perles ?
.NETFramework,Version=v4.8|.NETFramework,Version=v4.8
Cloak|Manteau
You have a knack for finding these pearls, yes?|Vous avez le don de trouver ces perles, n'est-ce pas ?
feet|pieds
I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|Je suppose que la seule chose que vous appréciez dans ces perles est la pureté de leur treillis ? Je vais vous remplacer par un bien plus raffiné que celui-ci.
I see you've returned, yet again.|Je vois que tu es revenu, encore une fois.
q|q
Basic|Basique
LF|LF
Start Shelter Override|Démarrage de l'annulation de l'abri
HologramBehindTerrain|HologrammeDerrièreTerrain
- Dialogue, SFX|- Dialogues, SFX
TurtleMan27|TortueMan27
T1_CAR0|T1_CAR0
Disable Revive Effect?|Désactiver l'effet Revive ?
ModManager.RefreshModsLists:\n|ModManager.RefreshModsLists :\n
ear_l_offset|ear_l_offset
 - |-
AS|COMME
Hides the visuals of inactive peparls and turns you into... cat.|Cache les visuels des perles inactives et vous transforme en... chat.
\nRunspeedFac |\nRunspeedFac
Right Bumper|Pare-chocs droit
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Nombre de perles d'agilité (bleues). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
Oracle Hooks Error:\n|Erreur de crochets Oracle :\n
Geahgeah |Geahgeah
...you can manipulate our storage medium in unforseen ways...|...vous pouvez manipuler notre support de stockage de manière imprévue...
oa_cutoff_dist|oa_cutoff_dist
Keybind for Player 4.|Keybind pour le joueur 4.
pearlcat_9|perlecat_9
Let us see what- oh, again?|Voyons quoi- oh, encore une fois ?
To cycle between pearls, use (|Pour passer d'une perle à l'autre, utilisez (
Difficulty|Difficulté
Efi|Efi
You. Again. I still remember what you did...|Toi. Encore. Je me souviens encore de ce que tu as fait...
Commons|Chambre des communes
SS_AI|SS_AI
Given your unique abilities, if you are curious as to the contents of those pearls -|Compte tenu de vos capacités uniques, si vous êtes curieux de connaître le contenu de ces perles -
Hello, again. You are very curious. Very curious indeed.|Rebonjour. Vous êtes très curieux. Très curieux en effet.
pearlactive|perleactive
Button West|Bouton Ouest
Oh, hello <PlayerName>!|Oh, bonjour <PlayerName> !
Press (JUMP + GRAB) while in the air to perform a double jump|Appuyez sur (JUMP + GRAB) en l'air pour effectuer un double saut
oa_cutoff_max_speed|oa_cutoff_max_speed
active_object_offset|décalage_objet_actif
sweat|sueur
- Artwork|- Ouvrages d'art
Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|Temps en images pour que le laser d'une perle rouge se déclenche après avoir acquis une cible. 1,5 seconde par défaut.
ear_l|comte
Number of revive pearls (green). Effective only when Inventory Override? is checked.|Nombre de perles de relance (vertes). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
.txt|.SMS
When checked, disables the spear creation effect granted by an active pearl.|Lorsque coché, désactive l'effet de création de lance accordé par une perle active.
And who is your little friend? They are quite adorable!|Et qui est ton petit ami ? Ils sont tout à fait adorables !
PlayerArm|PlayerArm
The choice is yours.|Le choix t'appartient.
When checked, some abilties will show the inventory when recharged or depleted.|Lorsqu'elles sont cochées, certaines capacités affichent l'inventaire lorsqu'elles sont chargées ou épuisées.
pearlcat_spire3|pearlcat_spire3
Revive Pearl Count|Raviver le nombre de perles
oa_min_fric_speed|oa_min_fric_speed
Another? And I shall read this one to you as well...|Un autre? Et je vais vous lire celui-ci aussi...
Work|Travail
And a third? So it is...|Et un troisième ? Donc c'est...
T1_CAR1|T1_CAR1
Keyboard|Clavier
Number of camo pearls (black). Effective only when Inventory Override? is checked.|Nombre de perles camo (noires). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
300|300
I have tried to reconstruct it from memory many times, fruitlessly.|J'ai essayé de le reconstituer de mémoire plusieurs fois, sans succès.
OnModsInit:\n|OnModsInit :\n
TitleCard_Pearlcat|TitleCard_Pearlcat
2: |2 :
The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|Le pouvoir que vous possédez, c'est fascinant. Je n'ai jamais rien vu de tel de votre espèce.
Disable Tutorials?|Désactiver les didacticiels ?
.NET Framework 4.8|.NET Framework 4.8
Failed to parse color {objectType} : {ex.Message}|Impossible d'analyser la couleur {objectType} : {ex.Message}
GateHologram|PorteHologramme
Cheats|Astuces
Disable Rage Effect?|Désactiver l'effet de rage ?
Shield Pearl Count|Nombre de perles de bouclier
Intro_Roll_C_|Intro_Roll_C_
Your biology... it is both familiar and foreign to me. How curious.|Votre biologie... elle m'est à la fois familière et étrangère. Quelle curiosité.
A curious scholar with the unusual ability to harness pearls to their advantage.<LINE><LINE>Configure inputs, difficulty, cheats and more via the Remix config!<LINE><LINE>More Slugcats is optional, but strongly recommended.|Un érudit curieux avec la capacité inhabituelle d'exploiter les perles à leur avantage.<LINE><LINE>Configurez les entrées, la difficulté, les astuces et plus via la configuration Remix !<LINE><LINE>Plus de Slugcats est facultatif, mais fortement recommandé.
tail_segment_velocities|tail_segment_velocities
pearlcat_2|perlecat_2
PostModsInit:\n|PostModsInit :\n
SL|SL
This one again? I have better things to do... but...|Encore celui-ci ? J'ai mieux à faire... mais...
Something new to read... it has been too long...|Du nouveau à lire... ça faisait trop longtemps...
moreslugcats|plus de slugcats
haloGlyph6|haloGlyphe6
pearlcat_4|perlecat_4
Oh, and for direction - there is a gate to the far west of here, where the ground fissues...|Oh, et pour la direction - il y a une porte à l'extrême ouest d'ici, où le sol se fissure...
), or the triggers on controller|), ou les déclencheurs sur le contrôleur
Spear Pearl Count|Nombre de perles de lance
BigGlyph11|BigGlyphe11
sleeve|manche
Custom Spear Keybind?|Un lien de lance personnalisé ?
Midground|Milieu de terrain
TheSacrifice|Le sacrifice
Get... get away... strange... thing.|Sortez... partez... étrange... chose.
DschockHorizontalRight|DschockHorizontalDroit
You must be very brave to have made it all the way here. Very brave indeed...|Vous devez être très courageux pour avoir fait tout le chemin jusqu'ici. Vraiment très courageux...
T1_CAR3|T1_CAR3
Feet|Pieds
The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|L'étendue au-delà serait un endroit sûr pour élever votre famille - et rester loin de mon entreprise.
Background|Arrière-plan
There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|Il n'y a rien que je puisse faire pour vous arrêter, alors voici ma demande :<LINE>Laissez-moi tranquille ou arrêtez-la rapidement.
mergedmods|mods fusionnés
LC_T1_S01|LC_T1_S01
Water|Eau
- Floppy Ears, Scarf|- Oreilles souples, écharpe
Hello again, <PlayerName>!|Re-bonjour, <PlayerName> !
Back again? You do visit often...|De retour? Vous visitez souvent...
pearlcat_structure2|pearlcat_structure2
TEXT ERROR|ERREUR DE TEXTE
.png|.png
pearlcat_5|perlecat_5
MergeFix Error:\n|Erreur MergeFix :\n
head|diriger
com.rainworldgame.garrakx.crs.mod|com.rainworldgame.garrakx.crs.mod
And why... to me?|Et pourquoi... à moi ?
I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|Je suppose que, vu que vous ne pouvez pas lire les informations qui y sont stockées, je peux les lire pour vous, si vous le souhaitez.
---------------------------------------------------------------|-------------------------------------------------- --------------
Pearlcat|Perlecat
pearlcat_structure5|pearlcat_structure5
pearlcat_hudshadow|pearlcat_hudshadow
LW_Coast|LW_Coast
The Pearlcat|Le chat perlé
\nPoleClimb |\nEscalade au poteau
Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|Leur curiosité insatiable, Pearlcat s'aventure une fois de plus dans<LINE>pour élargir sa collection
Joystick[0-9]Button|Joystick [0-9] Bouton
Keybind to swap to the stored pearl to the left. Limited to Player 1.|Keybind pour passer à la perle stockée à gauche. Limité au joueur 1.
Pebbles_AS_PearlGreen|Galets_AS_PearlGreen
You're welcome to stay a while... your ability is fascinating.|Vous êtes les bienvenus pour rester un moment... votre capacité est fascinante.
I have nothing for you, I'm afraid... but I hope you find the answers you seek.|Je n'ai rien pour toi, j'en ai peur... mais j'espère que tu trouveras les réponses que tu cherches.
Rage Pearl Count|Nombre de perles de rage
What do you want? To take away more of my life...?|Que veux-tu? Pour m'enlever plus de ma vie...?
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Lorsqu'elle est cochée, remplace les perles de départ par l'option ci-dessous. Uniquement efficace au début d'une nouvelle partie, contrairement à Inventory Override ?
BigGlyph6|BigGlyph6
WillowWisp|WillowWisp
Swap Input|Permuter l'entrée
Input a shelter name to have it override where Pearlcat starts a new game.|Entrez un nom d'abri pour qu'il remplace l'endroit où Pearlcat commence une nouvelle partie.
pearlcat_daysky|pearlcat_daysky
 SAVE|SAUVEGARDER
oa_cutoff_min_speed|oa_cutoff_min_speed
Oh, hello! Hello!|Oh salut! Bonjour!
You. I didn't forget...|Toi. Je n'ai pas oublié...
Cloud|Nuage
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Un érudit d'origine obscure, armé d'une énergie énigmatique et d'une soif de connaissances.<LINE>Physiquement fragile, mais avec des perles comme alliées - que découvrirez-vous au cours de vos voyages ?
soundeffects/ambient|effets sonores/ambiance
pearlcat|chat perlé
pearlcat_glyphcooldown|pearlcat_glyphcooldown
Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|Dégâts que le laser de chaque perle rouge fait par tir. Dégâts de la lance du survivant = 1,0
T1_S01|T1_S01
Laser Damage|Dégâts laser
slime-cubed.slugbase|slime-cubed.slugbase
Version|Version
pearlcat_structure3|pearlcat_structure3
pearlcat_flyingclouds|pearlcat_flyingclouds
... |...
Enables custom keybinds below, as opposed to the default (UP + PICKUP).|Active les raccourcis clavier personnalisés ci-dessous, par opposition à la valeur par défaut (UP + PICKUP).
scarf|foulard
Waiver|Renoncer
Accent|Accent
1: |1:
pupear_r|pupear_r
oa_min_speed|oa_min_speed
Welcome back, I suppose.|Bienvenue à nouveau, je suppose.
-----------------------------------------|-----------------------------------------
strange|étrange
SS_S04|SS_S04
pearlcat_spear|pearlcat_spear
Visibility Multiplier|Multiplicateur de visibilité
Music|Musique
JaggedSquare|JaggedCarré
-------------------|-------------------
Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|Nombre de perles de bouclier (jaunes). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|Nombre de perles de création de lance (blanches). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
Looping SFX Error, Outsider often likes to cause this:\n|Erreur SFX en boucle, Outsider aime souvent provoquer ceci :\n
pixel|pixels
Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|Temps en images pour que le laser d'une perle rouge se recharge après le tir. 1,5 seconde par défaut.
Storage limit reached (|Limite de stockage atteinte (
Player 2|Joueur 2
Clearly artificial creations. But from where? Sent by who?|Des créations clairement artificielles. Mais d'où ? Envoyé par qui ?
I do not know what to make of this.|Je ne sais pas quoi penser de cela.
3.0|3.0
So curious... I wonder what it is you're searching for?|Tellement curieux... Je me demande ce que vous cherchez ?
Prefer to use the custom keybinds below for agility double jump.|Préférez utiliser les raccourcis clavier personnalisés ci-dessous pour le double saut d'agilité.
NA_19 - Halcyon Memories|NA_19 - Souvenirs d'Halcyon
bro.mergefix|bro.mergefix
All times here are in frames.\n40 frames = 1 second.|Toutes les heures ici sont exprimées en images.\n40 images = 1 seconde.
T1_END|T1_END
I do enjoy the company of you and your friend though, <PlayerName>.|J'apprécie cependant votre compagnie et celle de votre ami, <PlayerName>.
Sleeve|Manche
Pebbles_SS_Pearlcat|Galets_SS_Pearlcat
legs|jambes
When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|Lorsqu'elles sont cochées, les perles n'accordent plus de modifications de statistiques, actives ou non, et les statistiques de base sont définies pour être similaires à Hunter.
SB|SB
APPLIED MERGEFIX|MERGEFIX APPLIQUÉ
You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|Tu m'as fait bien peur ! Je ne reçois pas souvent de visiteurs ces jours-ci ; <LINE> encore moins de visiteurs comme vous, à qui je peux parler...
YOU!|TOI!
BigGlyph2|BigGlyph2
pearlcat_hudcircle|pearlcat_hudcircle
CloudDistant|NuageDistant
_textures|_textures
HUD|HUD
arm|bras
Please... this all I have left... you have so much... ...why take mine?|S'il te plait... c'est tout ce qu'il me reste... tu as tellement... ...pourquoi prendre le mien ?
...that pearl you carry, the purple one, where did you find it?|...cette perle que tu portes, la violette, où l'as-tu trouvée ?
_sprites|_sprites
\nDoes not save over the current inventory - it is returned to when unchecked.|\N'enregistre pas sur l'inventaire actuel - il y revient lorsqu'il n'est pas coché.
If only I had my memories, I might have a clue...|Si seulement j'avais mes souvenirs, j'aurais peut-être une idée...
\r\n|\r\n
Compact Inventory HUD?|HUD d'inventaire compact ?
oa_max_fric_mult|oa_max_fric_mult
Atlas not found! ({uniqueName})|Atlas introuvable ! ({nom unique})
Store Input|Stocker l'entrée
Player 3|Joueur 3
Pearlpup Respawn?|Réapparition de Pearlpup ?
PEARLCAT WARP END|FIN DE CHAÎNE PEARLCAT
) & use the (LEFT) & (RIGHT) directional inputs|) et utilisez les entrées directionnelles (GAUCHE) et (DROITE)
...one which still means a lot to me.|...celui qui compte encore beaucoup pour moi.
Pebbles_AS_PearlYellow|Galets_AS_PearlYellow
But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|Mais... la marque que vous possédez est très inhabituelle.<LINE>Pas quelque chose que n'importe qui dans le groupe local pourrait accorder...
Disable Shield Effect?|Désactiver l'effet bouclier ?
And now here you are, with a perfect copy.|Et maintenant vous voilà, avec une copie parfaite.
...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...Oh? Prenez-les, les données qu'ils contiennent ne valent rien pour moi. Je suppose qu'ils vous seraient beaucoup plus utiles...
1.0.0.0|1.0.0.0
pearlcat_light2|pearlcat_light2
pearlcat_0|pearlcat_0
General|Général
GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|Le VERT symbolise la vitalité. Chaque perle verte stockée peut faire revivre une créature par cycle, y compris vous
Keybind for Keyboard.|Keybind pour clavier.
When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|Lorsqu'elle est cochée, la plupart des perles (lorsqu'elles sont actives) forceront le thème de la menace pour toutes les régions sur le thème de la région dont elles sont originaires.
Something else new? Allow me to see...|Autre nouveauté ? Laisse-moi voir...
pearlcat_1|perlecat_1
#|#
MSC|MSC
SH|SH
I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|Je suis toujours plus qu'heureux de lire toutes les perles que vous m'apportez ;<LINE>surtout compte tenu de vos capacités uniques.
Hips|Hanches
pearlcat_6|perlecat_6
To retrieve pearls, have an empty main hand, and hold (|Pour récupérer des perles, ayez une main principale vide et maintenez (
If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to ppass the time.|S'il vous arrive d'avoir un moment à perdre, je serais plus qu'heureux de lire ces perles...<LINE>Il n'y a pas grand-chose d'autre à faire pour passer le temps.
pearlcat_structure4|pearlcat_structure4
Body|Corps
And just who might you be?|Et qui pourriez-vous être ?
Keybind for Player 2.|Keybind pour le joueur 2.
PEARLCAT WARP|PERLE CHAT WARP
3600|3600
_windDir|ventSor
And just who might you two be?|Et qui pourriez-vous être ?
Disable Minor Effects?|Désactiver les effets mineurs ?
pupear_l|pupear_l
Head|Diriger
BigGlyph10|BigGlyphe10
Slugcat_Pearlcat_Ascended|Slugcat_Pearlcat_Ascended
DS|DS
Nevermind... this anger is useless...|Peu importe... cette colère ne sert à rien...
OE_SEXTRA|OE_SEXTRA
Number of rage pearls (red). Effective only when Inventory Override? is checked.|Nombre de perles de rage (rouge). Efficace uniquement lorsque le remplacement de l'inventaire ? est vérifié.
Shield Duration|Durée du bouclier
Inventory Pings?|Ping d'inventaire ?
_|_
Think of this mutually, I can 'see' a little further outside this can...|Pensez-y mutuellement, je peux 'voir' un peu plus loin à l'extérieur de ce bidon...
Face|Affronter
GATE_UW_LC|GATE_UW_LC
Special thanks to the following people!|Remerciements particuliers aux personnes suivantes !
Hold (|Prise (
Legs|Jambes
ad2424|ad2424
...and you can gather more of that data you so clearly desire.|... et vous pouvez recueillir plus de données que vous désirez si clairement.
Max Pearl Count|Nombre maximum de perles
oa_max_fric_speed|oa_max_fric_speed
Balagaga|Balagaga
loadedsoundeffects/ambient|effets sonores chargés / ambiance
Brought me something to read? Or just wasting my time, as per usual?|M'a apporté quelque chose à lire ? Ou juste perdre mon temps, comme d'habitude ?
Back again? I hope you have brought me something this time.|De retour? J'espère que vous m'avez apporté quelque chose cette fois.
pearlcat_7|perlecat_7
I assure you it will be a more than suitable replacement for your primitive needs.|Je vous assure que ce sera un remplacement plus que convenable pour vos besoins primitifs.
Pebbles_AS_PearlBlack|Galets_AS_PearlBlack
Chimney Canopy|Auvent de cheminée
I do not have much else to occupy my time with these days...|Je n'ai pas grand-chose d'autre pour occuper mon temps ces jours-ci...
pearlcat_structure1|pearlcat_structure1
warp|chaîne
LizardBubble6|LézardBulle6
pearlcat_structure6|pearlcat_structure6
pearlcat_topshutter|pearlcat_topshutter
GravityDisruptor|Perturbateur de gravité
GATE_SL_MS|GATE_SL_MS
L-Stick|Bâton en L
Shield Recharge Time|Temps de recharge du bouclier
oa_min_fric_mult|oa_min_fric_mult
oa_max_speed|oa_max_speed
pearl|perle
T1_CAR2|T1_CAR2
pearlcatScarfC0|pearlcatÉcharpeC0
ear_r|oreille_r
Custom Keybind?|Raccourci clavier personnalisé ?
If you do not plan to provide me with any meaningful data, that is your best course of action;|Si vous ne prévoyez pas de me fournir des données significatives, c'est votre meilleur plan d'action ;
Custom Agility Keybind?|Keybind d'agilité personnalisé ?
mayhemmm|le chaos
HI|SALUT
Transit System|Système de transport en commun
