CANNOT PLAY\n|NÃO PODE JOGAR\n
Pearl Threat Music?|Música de ameaça de pérola?
Disable Cosmetics?|Desativar cosméticos?
Button North|Botão Norte
Grab a creature and hold (GRAB) with an active green pearl to revive them|Pegue uma criatura e segure (GRAB) com uma pérola verde ativa para revivê-la
Sidera |Sidera
Prefer to use the custom keybinds below for spear creation.|Prefira usar os atalhos de teclado personalizados abaixo para a criação da lança.
Noir |noir
When checked, disables the shield effect granted by an active pearl.|Quando marcada, desativa o efeito de escudo concedido por uma pérola ativa.
Disable Spear Effect?|Desativar o efeito de lança?
When checked, all tutorials will be disabled.|Quando marcada, todos os tutoriais serão desativados.
daze_duration|daze_duration
I do enjoy the company though... it gets lonely out here.|Mas eu gosto da companhia... fica solitário aqui fora.
body|corpo
ACK|ACK
4: |4:
pearlactiveplaceholder|marcador de posição pearlactive
\nThrowSkill |\nThrowSkill
pearlcat_spire2|pearlcat_spire2
Left Bumper|Pára-choques Esquerdo
pearlcat_8|pearlcat_8
pearlcat_3|pearlcat_3
RW_Outro_Theme_B|RW_Outro_Tema_B
Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|As cargas são consumidas para fornecer proteção. Cada pérola reabastece individualmente sua carga após algum tempo
pearlcat_hudcooldown|pearlcat_hudcooldown
Hello again.|Olá de novo.
PEBBLESWAIT|PEBBLESWAIT
Extra Cheats|Truques extras
Button South|Botão Sul
View|Visualizar
License|Licença
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Quando marcado, os cosméticos de Pearlcat serão desativados, destinados a permitir sprites personalizados via DMS. Isso não inclui as próprias pérolas.
pearlcat_spire4|pearlcat_spire4
pearlcatScarfA0|pearlcatScarfA0
Slugcat_Pearlcat|Slugcat_Pearlcat
I can only hope you have not come... to hurt me more.|Só espero que não tenha vindo... para me machucar mais.
But it's best not to dwell on the past, don't you agree <PlayerName>?|Mas é melhor não ficar pensando no passado, não concorda <PlayerName>?
DESTROY|DESTRUIR
Hide Pearls?|Esconder Pérolas?
.NETFramework,Version=v4.8|.NETFramework,Versão=v4.8
Cloak|Capa
You have a knack for finding these pearls, yes?|Você tem jeito para encontrar essas pérolas, não é?
feet|pés
I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|Suponho que a única coisa que você valoriza nessas pérolas é a pureza de sua estrutura? Vou substituí-lo por um muito mais refinado do que este.
I see you've returned, yet again.|Vejo que você voltou, mais uma vez.
q|q
Basic|básico
LF|LF
Start Shelter Override|Iniciar Substituição de Abrigo
HologramBehindTerrain|Holograma Atrás do Terreno
- Dialogue, SFX|- Diálogo, SFX
TurtleMan27|TurtleMan27
T1_CAR0|T1_CAR0
Disable Revive Effect?|Desativar o efeito Revive?
ModManager.RefreshModsLists:\n|ModManager.RefreshModsLists:\n
ear_l_offset|ear_l_offset
 - |-
AS|COMO
Hides the visuals of inactive peparls and turns you into... cat.|Esconde o visual das pérolas inativas e te transforma em... gato.
\nRunspeedFac |\nRunspeedFac
Right Bumper|Pára-choques direito
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Número de pérolas de agilidade (azul). Efetivo somente quando Substituição de estoque? está checado.
Oracle Hooks Error:\n|Erro do Oracle Hooks:\n
Geahgeah |Geahgeah
...you can manipulate our storage medium in unforseen ways...|...você pode manipular nosso meio de armazenamento de maneiras imprevistas...
oa_cutoff_dist|oa_cutoff_dist
Keybind for Player 4.|Tecla de atalho para o jogador 4.
pearlcat_9|pearlcat_9
Let us see what- oh, again?|Vamos ver o que- oh, de novo?
To cycle between pearls, use (|Para alternar entre as pérolas, use (
Difficulty|Dificuldade
Efi|Efi
You. Again. I still remember what you did...|Você. De novo. Ainda me lembro do que você fez...
Commons|Comuns
SS_AI|SS_AI
Given your unique abilities, if you are curious as to the contents of those pearls -|Dadas as suas habilidades únicas, se você está curioso sobre o conteúdo dessas pérolas -
Hello, again. You are very curious. Very curious indeed.|Olá de novo. Você é muito curioso. Muito curioso mesmo.
pearlactive|perolado
Button West|Botão Oeste
Oh, hello <PlayerName>!|Olá, <PlayerName>!
Press (JUMP + GRAB) while in the air to perform a double jump|Pressione (JUMP + GRAB) enquanto estiver no ar para executar um salto duplo
oa_cutoff_max_speed|oa_cutoff_max_speed
active_object_offset|active_object_offset
sweat|suor
- Artwork|- Obra de arte
Time in frames for a red pearl's laser to fire after acquiring a target. Default 1.5 seconds.|Tempo em quadros para o laser de uma pérola vermelha disparar após a aquisição de um alvo. Padrão 1,5 segundos.
ear_l|conde
Number of revive pearls (green). Effective only when Inventory Override? is checked.|Número de pérolas reviver (verde). Efetivo somente quando Substituição de estoque? está checado.
.txt|.TXT
When checked, disables the spear creation effect granted by an active pearl.|Quando marcado, desativa o efeito de criação de lança concedido por uma pérola ativa.
And who is your little friend? They are quite adorable!|E quem é seu amiguinho? Eles são bem adoráveis!
PlayerArm|PlayerArm
The choice is yours.|A escolha é sua.
When checked, some abilties will show the inventory when recharged or depleted.|Quando marcadas, algumas habilidades mostrarão o inventário quando carregadas ou esgotadas.
pearlcat_spire3|pearlcat_spire3
Revive Pearl Count|Revive a Contagem de Pérolas
oa_min_fric_speed|oa_min_fric_speed
Another? And I shall read this one to you as well...|Outro? E vou ler este para você também...
Work|Trabalhar
And a third? So it is...|E um terceiro? Então é...
T1_CAR1|T1_CAR1
Keyboard|Teclado
Number of camo pearls (black). Effective only when Inventory Override? is checked.|Quantidade de pérolas camufladas (pretas). Efetivo somente quando Substituição de estoque? está checado.
300|300
I have tried to reconstruct it from memory many times, fruitlessly.|Eu tentei reconstruí-lo de memória muitas vezes, inutilmente.
OnModsInit:\n|OnModsInit:\n
TitleCard_Pearlcat|TitleCard_Pearlcat
2: |2:
The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|O poder que você possui, é fascinante. Nunca vi nada parecido vindo de sua espécie.
Disable Tutorials?|Desativar tutoriais?
.NET Framework 4.8|.NET Framework 4.8
Failed to parse color {objectType} : {ex.Message}|Falha ao analisar a cor {objectType}: {ex.Message}
GateHologram|GateHologram
Cheats|Fraudes
Disable Rage Effect?|Desativar o efeito de raiva?
Shield Pearl Count|Contagem de pérolas de escudo
Intro_Roll_C_|Intro_Roll_C_
Your biology... it is both familiar and foreign to me. How curious.|Sua biologia... é familiar e estranha para mim. Que curioso.
A curious scholar with the unusual ability to harness pearls to their advantage.<LINE><LINE>Configure inputs, difficulty, cheats and more via the Remix config!<LINE><LINE>More Slugcats is optional, but strongly recommended.|Um estudioso curioso com a habilidade incomum de aproveitar as pérolas a seu favor.<LINE><LINE>Configurar entradas, dificuldade, trapaças e muito mais através da configuração do Remix!<LINE><LINE>Mais Slugcats é opcional, mas fortemente recomendado.
tail_segment_velocities|tail_segment_velocidades
pearlcat_2|pearlcat_2
PostModsInit:\n|PostModsInit:\n
SL|SL
This one again? I have better things to do... but...|Este de novo? Tenho coisas melhores para fazer, mas...
Something new to read... it has been too long...|Algo novo para ler... já faz muito tempo...
moreslugcats|mais lesmas
haloGlyph6|haloGlyph6
pearlcat_4|pearlcat_4
Oh, and for direction - there is a gate to the far west of here, where the ground fissues...|Ah, e para orientação - há um portão no extremo oeste daqui, onde o solo se divide...
), or the triggers on controller|), ou os gatilhos no controlador
Spear Pearl Count|Contagem de pérolas de lança
BigGlyph11|BigGlyph11
sleeve|manga
Custom Spear Keybind?|Teclado Spear personalizado?
Midground|Midground
TheSacrifice|O sacrifício
Get... get away... strange... thing.|Afaste-se... afaste-se... coisa estranha.
DschockHorizontalRight|DschockHorizontalDireita
You must be very brave to have made it all the way here. Very brave indeed...|Você deve ser muito corajoso para chegar até aqui. Muito corajoso mesmo...
T1_CAR3|T1_CAR3
Feet|Pés
The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|A vastidão além seria um lugar seguro para você criar sua família - e ficar longe dos meus negócios.
Background|Fundo
There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|Não há nada que eu possa fazer para impedi-lo, então aqui está o meu pedido:<LINE>Deixe-me em paz ou acabe com isso rapidamente.
mergedmods|mods mesclados
LC_T1_S01|LC_T1_S01
head|cabeça
com.rainworldgame.garrakx.crs.mod|com.rainworldgame.garrakx.crs.mod
And why... to me?|E por que... para mim?
I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|Suponho que, visto que você não pode ler as informações armazenadas neles, posso lê-los para você, se desejar.
---------------------------------------------------------------|-------------------------------------------------- -------------
Pearlcat|Pearlcat
pearlcat_structure5|pearlcat_structure5
pearlcat_hudshadow|pearlcat_hudshadow
LW_Coast|LW_Coast
The Pearlcat|o Pearlcat
\nPoleClimb |\nPoleClimb
Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|Sua curiosidade insaciável, Pearlcat se aventura mais uma vez em <LINE>em busca de expandir sua coleção
Joystick[0-9]Button|Joystick[0-9]Botão
Keybind to swap to the stored pearl to the left. Limited to Player 1.|Keybind para trocar para a pérola armazenada à esquerda. Limitado ao Jogador 1.
Pebbles_AS_PearlGreen|Pebbles_AS_PearlGreen
You're welcome to stay a while... your ability is fascinating.|Fique à vontade para ficar um pouco... sua habilidade é fascinante.
I have nothing for you, I'm afraid... but I hope you find the answers you seek.|Não tenho nada para você, infelizmente... mas espero que encontre as respostas que procura.
Rage Pearl Count|Contagem de pérolas de raiva
What do you want? To take away more of my life...?|O que você quer? Tirar mais da minha vida...?
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|Quando marcada, substitui as pérolas iniciais pela opção abaixo. Eficaz apenas no início de um novo jogo, ao contrário do Inventory Override?
BigGlyph6|BigGlyph6
WillowWisp|WillowWisp
Swap Input|Trocar entrada
Input a shelter name to have it override where Pearlcat starts a new game.|Insira um nome de abrigo para substituí-lo onde Pearlcat inicia um novo jogo.
pearlcat_daysky|pearlcat_daysky
 SAVE|SALVAR
oa_cutoff_min_speed|oa_cutoff_min_speed
Oh, hello! Hello!|Olá! Olá!
You. I didn't forget...|Você. eu não esqueci...
Cloud|Nuvem
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|Um estudioso de origem obscura, armado com uma energia enigmática e uma sede de conhecimento.<LINE>Fisicamente frágil, mas com as pérolas como aliadas - o que você descobrirá em suas viagens?
soundeffects/ambient|efeitos sonoros/ambiente
pearlcat|pérola
pearlcat_glyphcooldown|pearlcat_glyphcooldown
Damage each red pearl's laser does per shot. Survivor spear damage = 1.0|Dano que o laser de cada pérola vermelha causa por tiro. Dano da lança do sobrevivente = 1,0
T1_S01|T1_S01
Laser Damage|Danos a laser
slime-cubed.slugbase|slime-cubed.slugbase
Version|Versão
pearlcat_structure3|pearlcat_structure3
pearlcat_flyingclouds|pearlcat_flyingclouds
... |...
Enables custom keybinds below, as opposed to the default (UP + PICKUP).|Ativa combinações de teclas personalizadas abaixo, em oposição ao padrão (UP + PICKUP).
scarf|lenço
Waiver|Renúncia
Accent|Sotaque
1: |1:
pupear_r|pupear_r
oa_min_speed|oa_min_speed
Welcome back, I suppose.|Bem-vindo de volta, suponho.
-----------------------------------------|-----------------------------------------
strange|estranho
SS_S04|SS_S04
pearlcat_spear|pearlcat_spear
Visibility Multiplier|Multiplicador de Visibilidade
Music|Música
JaggedSquare|Quadrado Denteado
-------------------|-------------------
Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|Número de pérolas de escudo (amarelo). Efetivo somente quando Substituição de estoque? está checado.
Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|Número de pérolas de criação de lança (brancas). Efetivo somente quando Substituição de estoque? está checado.
Looping SFX Error, Outsider often likes to cause this:\n|Looping SFX Error, Outsider geralmente gosta de causar isso:\n
pixel|pixel
Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|Tempo em quadros para o laser de uma pérola vermelha recarregar após o disparo. Padrão 1,5 segundos.
Storage limit reached (|Limite de armazenamento atingido (
Player 2|jogador 2
Clearly artificial creations. But from where? Sent by who?|Criações claramente artificiais. Mas de onde? Enviado por quem?
I do not know what to make of this.|Eu não sei o que fazer com isso.
3.0|3.0
So curious... I wonder what it is you're searching for?|Tão curioso... Eu me pergunto o que é que você está procurando?
Prefer to use the custom keybinds below for agility double jump.|Prefira usar os atalhos de teclado personalizados abaixo para salto duplo de agilidade.
NA_19 - Halcyon Memories|NA_19 - Memórias Halcyon
bro.mergefix|bro.mergefix
All times here are in frames.\n40 frames = 1 second.|Todos os tempos aqui estão em quadros.\n40 quadros = 1 segundo.
T1_END|T1_END
I do enjoy the company of you and your friend though, <PlayerName>.|Eu gosto da companhia de você e de seu amigo, <PlayerName>.
Sleeve|Manga
Pebbles_SS_Pearlcat|Pebbles_SS_Pearlcat
legs|pernas
When checked, pearls will no longer grant stat changes, active or otherwise, and base stats are set to be similar to Hunter.|Quando marcadas, as pérolas não concedem mais alterações de estatísticas, ativas ou não, e as estatísticas básicas são definidas para serem semelhantes a Hunter.
SB|SB
APPLIED MERGEFIX|MERGEFIX APLICADO
You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|Você me deu um baita susto! Não recebo visitas com frequência ultimamente;<LINE>muito menos visitantes como você, com quem posso conversar...
YOU!|VOCÊ!
BigGlyph2|BigGlyph2
pearlcat_hudcircle|pearlcat_hudcircle
CloudDistant|Nuvem Distante
_textures|_texturas
HUD|HUD
Please... this all I have left... you have so much... ...why take mine?|Por favor... isso tudo que me resta... você tem tanto... ...por que tirar o meu?
...that pearl you carry, the purple one, where did you find it?|...aquela pérola que você carrega, a roxa, onde você achou?
_sprites|_sprites
\nDoes not save over the current inventory - it is returned to when unchecked.|\Não salva sobre o inventário atual - ele é retornado quando desmarcado.
If only I had my memories, I might have a clue...|Se eu tivesse minhas memórias, eu poderia ter uma pista...
\r\n|\r\n
Compact Inventory HUD?|HUD de inventário compacto?
oa_max_fric_mult|oa_max_fric_mult
Atlas not found! ({uniqueName})|Atlas não encontrado! ({Nome único})
Store Input|Armazenar entrada
Player 3|jogador 3
Pearlpup Respawn?|Ressurgimento do Pearlpup?
PEARLCAT WARP END|PEARLCAT WARP END
) & use the (LEFT) & (RIGHT) directional inputs|) e use as entradas direcionais (ESQUERDA) e (DIREITA)
...one which still means a lot to me.|...um que ainda significa muito para mim.
Pebbles_AS_PearlYellow|Pebbles_AS_PearlYellow
But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|Mas... a marca que você possui, é muito incomum.<LINE>Não é algo que alguém do grupo local possa conceder...
Disable Shield Effect?|Desativar efeito de escudo?
And now here you are, with a perfect copy.|E agora aqui está você, com uma cópia perfeita.
...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...oh? Pegue-os, os dados que eles contêm são inúteis para mim. Suponho que seriam muito mais úteis para você...
1.0.0.0|1.0.0.0
pearlcat_light2|pearlcat_light2
pearlcat_0|pearlcat_0
General|Em geral
GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|VERDE simboliza vitalidade. Cada pérola verde armazenada pode reviver uma criatura por ciclo, incluindo você
Keybind for Keyboard.|Teclado para teclado.
When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|Quando marcada, a maioria das pérolas (quando ativas) forçará o tema de ameaça para todas as regiões ao tema da região de origem.
Something else new? Allow me to see...|Algo mais novo? Permita-me ver...
pearlcat_1|pearlcat_1
#|#
MSC|MSC
SH|SH
I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|Ainda fico mais do que feliz em ler as pérolas que você me traz;<LINE>especialmente devido às suas habilidades únicas.
Hips|Quadris
pearlcat_6|pearlcat_6
To retrieve pearls, have an empty main hand, and hold (|Para recuperar as pérolas, mantenha a mão principal vazia e segure (
If you happen to have a moment to spare, I'd be more than happy to read those pearls...<LINE>There is not much else to do to ppass the time.|Se acontecer de você ter um momento de sobra, eu ficaria mais do que feliz em ler essas pérolas...<LINE>Não há muito mais a fazer para passar o tempo.
pearlcat_structure4|pearlcat_structure4
Body|Corpo
And just who might you be?|E quem poderia ser você?
Keybind for Player 2.|Tecla de atalho para o jogador 2.
PEARLCAT WARP|PEARLCAT WARP
3600|3600
_windDir|ventoSor
And just who might you two be?|E quem vocês dois podem ser?
Disable Minor Effects?|Desativar efeitos menores?
pupear_l|pupear_l
Head|Cabeça
BigGlyph10|BigGlyph10
Slugcat_Pearlcat_Ascended|Slugcat_Pearlcat_Ascended
DS|DS
Nevermind... this anger is useless...|Deixa pra lá... essa raiva é inútil...
OE_SEXTRA|OE_SEXTRA
Number of rage pearls (red). Effective only when Inventory Override? is checked.|Número de pérolas de raiva (vermelhas). Efetivo somente quando Substituição de estoque? está checado.
Shield Duration|Duração do escudo
Inventory Pings?|Pings de inventário?
_|_
Think of this mutually, I can 'see' a little further outside this can...|Pense nisso mutuamente, eu posso 'ver' um pouco mais além dessa lata...
Face|Face
GATE_UW_LC|GATE_UW_LC
Special thanks to the following people!|Agradecimentos especiais às seguintes pessoas!
Hold (|Segurar (
Legs|pernas
ad2424|ad2424
...and you can gather more of that data you so clearly desire.|...e você pode coletar mais desses dados que você tão claramente deseja.
Max Pearl Count|Contagem Máxima de Pérolas
oa_max_fric_speed|oa_max_fric_speed
Balagaga|balagaga
loadedsoundeffects/ambient|efeitos sonoros carregados/ambiente
Brought me something to read? Or just wasting my time, as per usual?|Trouxe-me algo para ler? Ou apenas perdendo meu tempo, como de costume?
Back again? I hope you have brought me something this time.|De volta? Espero que você tenha me trazido algo desta vez.
pearlcat_7|pearlcat_7
I assure you it will be a more than suitable replacement for your primitive needs.|Garanto que será um substituto mais do que adequado para suas necessidades primitivas.
Pebbles_AS_PearlBlack|Pebbles_AS_PearlBlack
Chimney Canopy|Cobertura de chaminé
I do not have much else to occupy my time with these days...|Não tenho muito mais com o que ocupar meu tempo hoje em dia...
pearlcat_structure1|pearlcat_structure1
warp|urdidura
LizardBubble6|LizardBubble6
pearlcat_structure6|pearlcat_structure6
pearlcat_topshutter|pearlcat_topshutter
GravityDisruptor|Disruptor de gravidade
GATE_SL_MS|GATE_SL_MS
L-Stick|L-stick
Shield Recharge Time|Tempo de recarga do escudo
oa_min_fric_mult|oa_min_fric_mult
oa_max_speed|oa_max_speed
pearl|pérola
T1_CAR2|T1_CAR2
pearlcatScarfC0|pearlcatScarfC0
ear_r|orelha_r
Custom Keybind?|Tecla de atalho personalizada?
If you do not plan to provide me with any meaningful data, that is your best course of action;|Se você não planeja me fornecer nenhum dado significativo, esse é o seu melhor curso de ação;
Custom Agility Keybind?|Atalho de teclado Agility personalizado?
mayhemmm|desordemmm
HI|OI
Transit System|Sistema de trânsito
Time in frames the yellow pearl shield lasts after activating. Default 1.5 seconds.|Tempo em quadros que o escudo perolado amarelo dura após a ativação. Padrão 1,5 segundos.
store_object_delay|store_object_delay
BigGlyph12|BigGlyph12
) or (|) ou (
pearlcatFeetA0|pearlcatFeetA0
Keybind for Player 3.|Tecla de atalho para o jogador 3.
DrainageSystemPlus|Sistema de Drenagem Plus
RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|VERMELHO simboliza o poder. Com uma pérola vermelha ativa, a criatura hostil mais próxima será o alvo
Ah, yet another one? You are even better at finding these than I imagined...|Ah, mais um? Você é ainda melhor em encontrá-los do que eu imaginava...
) & (|) & (
Swap Right|Trocar Direito
SPECEVENT|EVENTO ESPECIAL
pearlcat_spire5|pearlcat_spire5
...there.|...lá.
DistantBkgObject|DistantBkgObject
GW|GW
Release|Liberar
Futile_White|Fútil_Branco
BM_SB_SUBWAY|BM_SB_SUBWAY
When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|Quando marcada, Pearlpup reaparecerá no próximo abrigo no ciclo seguinte sempre que forem perdidos.
You would be a hard one to forget after all, <PlayerName>!|Afinal, você seria difícil de esquecer, <PlayerName>!
HowlingRift|HowlingRift
Starting Inventory Override?|Iniciando Substituição de Estoque?
UW|UW
I think I may still have some use left after all!~|Acho que ainda posso ter alguma utilidade, afinal!~
Foreground|Primeiro plano
OVERRODE MSC LOAD ORDER - MOD LOAD ORDER:|OVERRODE MSC LOAD ORDER - MOD LOAD ORDER:
Read this one too? Yes, yes, here it is...|Leu este também? Sim, sim, aqui está...
